Emission_Category,Energy_Consumption,Ground_Travel_Emissions_Category,Consumption_Type,City,RenewalEnergy,Vendor,Date,Business_Travel_Type,Emission_Type,Emission_Source,Country,Cost_Center_Name,Electricity_Consumption_Value,Energy_Consumption_Value,Emission_Value,Emissions_from_Business_Travel,GTE_Value,Carbon_Intensity
Travel,Biomass,Subway,Electricity,Paris,True,United Airlines,2022-01-23, Rental Car,Fleet Vehicle,Travel,France,AMER HR,18,0,100,31000,1500,0.61
Vehicle,Geothermal,Personal Car,Electricity,New York,True,United Airlines,2022-03-04,Private Jet,Hotel Stay,Vehicle,United States of America,APAC Sales,6,0,400,31000,2300,0.69
Comercial Building,Hydroelectricity,,Electricity,Tokyo,True,British Airways,2020-12-25,Air Travel,Comercial Building,Comercial Building,Japan,EMEA Sales,4,0,100,7000,,0.45
Vehicle,Solar,,Electricity,Tokyo,True,United Airlines,2021-12-16,Air Travel,Air Travel,Vehicle,Japan,EMEA Sales,1,0,200,15000,,0.67
Travel,Fuel Oil,,Energy,Dublin,False,Delta,2022-03-03,Private Jet,Other,Travel,Ireland,APAC Sales,0,12,150,31000,,0.49
Data Center Facility,Diesel,,Energy,San Fransisco ,False,Delta,2022-02-14,Ground Travel,Data Center Facility,Equipment,United States of America,EMEA Sales,0,1,400,31000,,0.65
Equipment,Solar,,Electricity,Tokyo,True,Delta,2020-01-27,Hotel Stay,Equipment,Equipment,Japan,General COO,10,0,200,7000,,0.24
Travel,Solar,,Electricity,Paris,True,United Airlines,2021-12-28,Ground Travel,Private Jet,Travel,France,General COO,21,0,100,15000,,0.66
Company Shuttle,Heat,Taxi,Electricity,San Fransisco ,False,KLM,2022-03-04,Air Travel,Company Shuttle ,Travel,United States of America,EMEA Sales,20,0,500,31000,,0.4
Comercial Building,Biomass,,Electricity,New York,True,United Airlines,2022-04-05,Private Jet,Comercial Building,Comercial Building,United States of America,LATAM Sales,12,0,400,31000,,0.49
Travel,Steam,,Electricity,San Fransisco ,False,British Airways,2020-02-07,Ground Travel,Other,Travel,United States of America,EMEA Sales,4,0,500,7000,,0.65
Vehicle,Solar,Subway,Electricity,Tokyo,True,United Airlines,2021-09-06,Private Jet,Hotel Stay,Vehicle,Japan,APAC Marketing,23,0,150,15000,900,0.43
Equipment,Solar,,Electricity,San Fransisco ,True,Delta,2022-01-12,Ground Travel,Equipment,Equipment,United States of America,General COO,9,0,500,31000,,0.67
Travel,Cooling,,Electricity,Dublin,False,United Airlines,2022-01-02,Air Travel,Private Jet,Travel,Ireland,EMEA Sales,15,0,100,31000,,0.01
Vehicle,Biomass,Rental Car,Electricity,New York,True,Emirates,2021-08-06,Air Travel,Ground Travel,Vehicle,United States of America,APAC Sales,12,0,400,15000,2000,0.26
Travel,Cooling,Taxi,Electricity,Paris,False,KLM,2020-04-15,Ground Travel,Fleet Vehicle,Travel,France,EMEA Sales,22,0,200,7000,1000,0.45
Data Center Facility,Wind,,Electricity,San Fransisco ,True,Delta,2022-03-04,Air Travel,Data Center Facility,Data Center Facility,United States of America,APAC Sales,10,0,400,31000,,0.44
Vehicle,Solar,,Electricity,New York,True,Delta,2022-01-22, Rental Car,Air Travel,Vehicle,United States of America,LATAM Sales,21,0,500,31000,,0.69
Travel,Biomass,Subway,Electricity,Tokyo,True,United Airlines,2022-01-02,Private Jet,Fleet Vehicle,Travel,Japan,AMER Sales,13,0,200,31000,1000,0.65
Vehicle,Diesel,Personal Car,Energy,San Fransisco ,False,United Airlines,2020-07-27,Private Jet,Hotel Stay,Vehicle,United States of America,APAC Sales,0,10,500,7000,1200,0.67
Company Shuttle,Fuel Oil,Subway,Energy,Paris,False,Delta,2022-03-22,Ground Travel,Company Shuttle ,Travel,France,AMER HR,0,3,100,31000,,0.63
Vehicle,Wind,Taxi,Electricity,San Fransisco ,True,British Airways,2021-05-31, Rental Car,Ground Travel,Vehicle,United States of America,APAC Sales,15,0,500,15000,1500,0.42
Vehicle,Natural Gas,,Energy,Tokyo,False,United Airlines,2022-02-12,Air Travel,Air Travel,Vehicle,Japan,EMEA Sales,0,5,200,31000,,0.24
Equipment,Hydroelectricity,,Electricity,New York,True,Delta,2020-11-26,Private Jet,Equipment,Equipment,United States of America,EMEA Sales,16,0,400,7000,,0.44
Comercial Building,Solar,,Electricity,Dublin,True,United Airlines,2021-04-26,Ground Travel,Comercial Building,Comercial Building,Ireland,EMEA Sales,19,0,100,15000,,0.2
Travel,Fuel Oil,,Energy,San Fransisco ,False,Delta,2022-04-01,Air Travel,Private Jet,Travel,United States of America,General COO,0,6,500,31000,,0.67
Data Center Facility,Hydroelectricity,,Electricity,New York,True,United Airlines,2022-01-05,Ground Travel,Data Center Facility,Data Center Facility,United States of America,LATAM Sales,20,0,400,31000,,0.28
Travel,Solar,,Electricity,San Fransisco ,True,KLM,2021-01-13,Hotel Stay,Other,Travel,United States of America,EMEA Sales,19,0,500,15000,,0.49
Comercial Building,Solar,,Electricity,Tokyo,True,United Airlines,2022-02-23,Private Jet,Comercial Building,Comercial Building,Japan,APAC Sales,18,0,150,31000,,0.01
Travel,Wind,,Electricity,Paris,True,Delta,2020-10-11,Ground Travel,Other,Travel,France,General COO,22,0,100,7000,,0.42
Vehicle,Biomass,Limousine,Electricity,New York,True,British Airways,2022-04-27,Air Travel,Ground Travel,Vehicle,United States of America,APAC Sales,22,0,400,31000,1200,0.67
Data Center Facility,Hydroelectricity,,Electricity,San Fransisco ,True,Delta,2021-09-18,Private Jet,Data Center Facility,Equipment,United States of America,APAC Marketing,12,0,400,15000,,0.69
Vehicle,Biomass,Personal Car,Electricity,Paris,True,Emirates,2022-01-26, Rental Car,Hotel Stay,Vehicle,France,AMER HR,17,0,200,31000,2000,0.23
Equipment,Cooling,,Electricity,Tokyo,False,British Airways,2020-10-02,Air Travel,Equipment,Equipment,Japan,APAC Sales,16,0,200,7000,,0.42
Company Shuttle,Wind,Subway,Electricity,San Fransisco ,True,KLM,2022-02-10,Air Travel,Company Shuttle ,Travel,United States of America,EMEA Sales,17,0,500,31000,,0.4
Travel,Solar,,Electricity,Tokyo,True,Delta,2021-11-23,Ground Travel,Private Jet,Travel,Japan,General COO,1,0,400,15000,,0.61
Vehicle,Wind,,Electricity,Dublin,True,United Airlines,2022-01-25,Private Jet,Air Travel,Vehicle,Ireland,APAC Sales,13,0,150,31000,,0.6
Travel,Diesel,Personal Car,Energy,San Fransisco ,False,United Airlines,2020-05-06,Ground Travel,Fleet Vehicle,Travel,United States of America,LATAM Sales,0,10,500,7000,900,0.6
Travel,Solar,Subway,Electricity,Paris,True,Delta,2022-03-04,Air Travel,Fleet Vehicle,Travel,France,EMEA Sales,23,0,100,31000,2300,0.6
Data Center Facility,Fuel Oil,,Energy,New York,False,United Airlines,2021-11-25,Ground Travel,Data Center Facility,Equipment,United States of America,EMEA Sales,0,12,400,15000,,0.4
Travel,Solar,,Electricity,New York,True,United Airlines,2022-01-21,Private Jet,Other,Travel,United States of America,APAC Sales,12,0,500,31000,,0.29
Travel,Wind,,Electricity,Tokyo,True,Delta,2020-02-02,Air Travel,Private Jet,Travel,Japan,EMEA Sales,5,0,200,7000,,0.61
Vehicle,Solar,Taxi,Electricity,Paris,True,United Airlines,2022-02-11,Private Jet,Hotel Stay,Vehicle,France,General COO,20,0,100,31000,1500,0.62
Comercial Building,Diesel,,Energy,Dublin,False,Emirates,2022-03-07,Air Travel,Comercial Building,Comercial Building,Ireland,EMEA Sales,0,4,100,31000,,0.08
Company Shuttle,Wind,Personal Car,Electricity,San Fransisco ,True,British Airways,2021-12-21,Ground Travel,Company Shuttle ,Travel,United States of America,EMEA Sales,2,0,500,15000,,0.41
Vehicle,Hydroelectricity,Subway,Electricity,Tokyo,True,United Airlines,2020-05-05, Rental Car,Ground Travel,Vehicle,Japan,LATAM Sales,6,0,100,7000,2300,0.28
Vehicle,Solar,,Electricity,San Fransisco ,True,Delta,2022-02-24,Ground Travel,Air Travel,Vehicle,United States of America,APAC Sales,23,0,400,31000,,0.61
Equipment,Cooling,,Electricity,New York,False,KLM,2022-04-13,Private Jet,Equipment,Equipment,United States of America,APAC Sales,18,0,400,31000,,0.64
Equipment,Natural Gas,,Energy,San Fransisco ,False,Delta,2020-05-14,Air Travel,Equipment,Equipment,United States of America,AMER Sales,0,5,500,7000,,0.66
Data Center Facility,Fuel Oil,,Energy,Paris,False,United Airlines,2022-02-16,Ground Travel,Data Center Facility,Data Center Facility,France,EMEA Sales,0,9,200,31000,,0.47
Travel,Biomass,,Electricity,New York,True,Delta,2021-03-27,Private Jet,Other,Travel,United States of America,AMER HR,15,0,400,15000,,0.66
Vehicle,Hydroelectricity,Rental Car,Electricity,Tokyo,True,British Airways,2022-03-15,Hotel Stay,Hotel Stay,Vehicle,Japan,EMEA Sales,11,0,200,31000,900,0.48
Vehicle,Solar,,Electricity,San Fransisco ,True,United Airlines,2021-02-04,Air Travel,Air Travel,Vehicle,United States of America,EMEA Sales,10,0,500,15000,,0.45
Company Shuttle,Wind,Personal Car,Electricity,San Fransisco ,True,United Airlines,2022-01-14,Air Travel,Company Shuttle ,Travel,United States of America,APAC Sales,17,0,500,31000,,0.63
Travel,Biomass,Personal Car,Electricity,Paris,True,Delta,2020-01-21,Ground Travel,Fleet Vehicle,Travel,France,APAC Marketing,18,0,400,7000,1000,0.02
Vehicle,Diesel,Limousine,Energy,New York,False,United Airlines,2022-01-11,Private Jet,Ground Travel,Vehicle,United States of America,LATAM Sales,0,2,400,31000,2000,0.42
Travel,Solar,,Electricity,Dublin,True,KLM,2021-11-09, Rental Car,Private Jet,Travel,Ireland,APAC Sales,3,0,150,15000,,0.02
Comercial Building,Biomass,,Electricity,Tokyo,True,British Airways,2022-03-27,Ground Travel,Comercial Building,Comercial Building,Japan,EMEA Sales,21,0,150,31000,,0.67
Vehicle,Wind,,Electricity,San Fransisco ,True,Delta,2020-08-09,Private Jet,Air Travel,Vehicle,United States of America,EMEA Sales,9,0,400,7000,,0.46
Vehicle,Solar,Subway,Electricity,San Fransisco ,True,United Airlines,2022-02-26,Ground Travel,Hotel Stay,Vehicle,United States of America,APAC Sales,16,0,500,31000,1200,0.65
Data Center Facility,Cooling,,Electricity,Tokyo,False,United Airlines,2021-06-13,Air Travel,Data Center Facility,Data Center Facility,Japan,General COO,17,0,150,15000,,0.4
Company Shuttle,Solar,Personal Car,Electricity,Paris,True,United Airlines,2022-03-18,Private Jet,Company Shuttle ,Travel,France,EMEA Sales,3,0,100,31000,,0.25
Comercial Building,Solar,,Electricity,Dublin,True,Delta,2020-05-23,Air Travel,Comercial Building,Comercial Building,Ireland,General COO,8,0,100,7000,,0.28
Travel,Biomass,,Electricity,New York,True,Emirates,2022-04-25,Ground Travel,Other,Travel,United States of America,APAC Sales,17,0,400,31000,,0.69
Equipment,Solar,,Electricity,New York,True,KLM,2020-12-28, Rental Car,Equipment,Equipment,United States of America,EMEA Sales,2,0,500,7000,,0.2
Vehicle,Hydroelectricity,Subway,Electricity,Paris,True,United Airlines,2021-02-27,Private Jet,Ground Travel,Vehicle,France,EMEA Sales,3,0,200,15000,1000,0.68
Travel,Wind,Taxi,Electricity,Tokyo,True,Delta,2022-02-16,Air Travel,Fleet Vehicle,Travel,Japan,LATAM Sales,22,0,200,31000,1500,0.25
Travel,Hydroelectricity,,Electricity,San Fransisco ,True,Delta,2022-03-09,Hotel Stay,Private Jet,Travel,United States of America,EMEA Sales,9,0,500,31000,,0.44
Vehicle,Fuel Oil,Subway,Energy,San Fransisco ,False,United Airlines,2020-05-25,Ground Travel,Hotel Stay,Vehicle,United States of America,General COO,0,12,500,7000,1000,0.64
Equipment,Solar,,Electricity,New York,True,British Airways,2022-04-08,Ground Travel,Equipment,Equipment,United States of America,APAC Sales,14,0,400,31000,,0.43
Travel,Steam,,Electricity,Tokyo,False,United Airlines,2022-03-08,Private Jet,Other,Travel,Japan,EMEA Sales,21,0,200,31000,,0.02
Travel,Natural Gas,,Energy,San Fransisco ,False,Delta,2021-04-14,Air Travel,Private Jet,Travel,United States of America,AMER HR,0,6,400,15000,,0.43
Data Center Facility,Fuel Oil,,Energy,San Fransisco ,False,United Airlines,2022-04-07,Air Travel,Data Center Facility,Equipment,United States of America,General COO,0,1,500,31000,,0.64
Vehicle,Diesel,,Energy,Paris,False,Delta,2020-08-24,Ground Travel,Air Travel,Vehicle,France,APAC Sales,0,6,100,7000,,0.68
Travel,Wind,Personal Car,Electricity,Dublin,True,United Airlines,2022-01-29, Rental Car,Fleet Vehicle,Travel,Ireland,AMER Sales,16,0,150,31000,2000,0.07
Company Shuttle,Biomass,Taxi,Electricity,San Fransisco ,True,KLM,2021-02-19,Air Travel,Company Shuttle ,Travel,United States of America,EMEA Sales,5,0,500,15000,,0.63
Vehicle,Solar,Subway,Electricity,Tokyo,True,Emirates,2022-02-12,Ground Travel,Ground Travel,Vehicle,Japan,EMEA Sales,18,0,200,31000,2300,0.6
Comercial Building,Biomass,,Electricity,New York,True,United Airlines,2021-10-11,Air Travel,Comercial Building,Comercial Building,United States of America,EMEA Sales,3,0,400,15000,,0.65
Travel,Wind,,Electricity,San Fransisco ,True,Delta,2020-07-28,Private Jet,Other,Travel,United States of America,LATAM Sales,11,0,500,7000,,0.41
Data Center Facility,Cooling,,Electricity,Tokyo,False,United Airlines,2022-01-04,Ground Travel,Data Center Facility,Data Center Facility,Japan,APAC Marketing,23,0,400,31000,,0.41
Travel,Solar,,Electricity,Paris,True,British Airways,2022-01-30,Private Jet,Private Jet,Travel,France,EMEA Sales,15,0,100,31000,,0.42
Vehicle,Solar,Personal Car,Electricity,New York,True,British Airways,2020-09-07,Air Travel,Hotel Stay,Vehicle,United States of America,General COO,3,0,400,7000,1500,0.22
Vehicle,Hydroelectricity,,Electricity,Dublin,True,United Airlines,2021-09-30,Private Jet,Air Travel,Vehicle,Ireland,EMEA Sales,4,0,100,15000,,0.43
Comercial Building,Biomass,,Electricity,Paris,True,KLM,2022-04-04,Private Jet,Comercial Building,Comercial Building,France,AMER HR,1,0,200,31000,,0.44
Vehicle,Diesel,Personal Car,Energy,San Fransisco ,False,United Airlines,2022-03-24,Air Travel,Ground Travel,Vehicle,United States of America,LATAM Sales,0,3,400,31000,1200,0.64
Travel,Solar,Rental Car,Electricity,New York,True,Delta,2020-11-24,Hotel Stay,Fleet Vehicle,Travel,United States of America,APAC Sales,14,0,400,7000,900,0.65
Company Shuttle,Fuel Oil,Taxi,Energy,Tokyo,False,Delta,2021-05-09, Rental Car,Company Shuttle ,Travel,Japan,EMEA Sales,0,10,200,15000,,0.26
Equipment,Wind,,Electricity,San Fransisco ,True,Delta,2022-03-28,Private Jet,Equipment,Equipment,United States of America,APAC Sales,11,0,500,31000,,0.47
Equipment,Solar,,Electricity,Tokyo,True,United Airlines,2022-03-08,Ground Travel,Equipment,Equipment,Japan,EMEA Sales,10,0,150,31000,,0.6
Travel,Hydroelectricity,,Electricity,New York,True,Delta,2020-10-21,Ground Travel,Private Jet,Travel,United States of America,General COO,20,0,500,7000,,0.4
Vehicle,Solar,,Electricity,San Fransisco ,True,United Airlines,2021-08-23,Ground Travel,Air Travel,Vehicle,United States of America,APAC Sales,3,0,500,15000,,0.68
Travel,Solar,,Electricity,San Fransisco ,True,British Airways,2022-04-29,Private Jet,Other,Travel,United States of America,APAC Sales,1,0,500,31000,,0.42
Data Center Facility,Solar,,Electricity,Paris,True,Delta,2022-04-25,Air Travel,Data Center Facility,Equipment,France,APAC Sales,8,0,100,31000,,0.61
Vehicle,Fuel Oil,Limousine,Energy,Dublin,False,United Airlines,2020-01-13,Ground Travel,Ground Travel,Vehicle,Ireland,EMEA Sales,0,1,150,7000,1200,0.66
Vehicle,Wind,Personal Car,Electricity,San Fransisco ,True,KLM,2022-04-30,Private Jet,Hotel Stay,Vehicle,United States of America,LATAM Sales,16,0,400,31000,2300,0.66
Comercial Building,Diesel,,Energy,Paris,False,United Airlines,2021-02-05,Air Travel,Comercial Building,Comercial Building,France,General COO,0,7,100,15000,,0.68
Travel,Natural Gas,Taxi,Energy,Tokyo,False,Delta,2022-03-11, Rental Car,Fleet Vehicle,Travel,Japan,APAC Sales,0,9,150,31000,2000,0.67
Company Shuttle,Biomass,Subway,Electricity,New York,True,United Airlines,2022-01-31,Air Travel,Company Shuttle ,Travel,United States of America,APAC Marketing,17,0,400,31000,,0.6
Vehicle,Solar,,Electricity,San Fransisco ,True,British Airways,2021-04-25,Ground Travel,Air Travel,Vehicle,United States of America,EMEA Sales,6,0,500,15000,,0.42
Travel,Wind,Personal Car,Electricity,New York,True,Emirates,2022-03-19,Air Travel,Fleet Vehicle,Travel,United States of America,AMER Sales,21,0,400,31000,1000,0.28
Vehicle,Solar,Subway,Electricity,San Fransisco ,True,Delta,2020-08-27,Private Jet,Ground Travel,Vehicle,United States of America,EMEA Sales,18,0,500,7000,900,0.64
Travel,Solar,,Electricity,Tokyo,True,United Airlines,2022-01-07,Air Travel,Other,Travel,Japan,APAC Sales,13,0,100,31000,,0.65
Company Shuttle,Biomass,Personal Car,Electricity,Dublin,True,KLM,2021-08-01,Private Jet,Company Shuttle ,Travel,Ireland,AMER HR,9,0,100,15000,,0.09
Data Center Facility,Hydroelectricity,,Electricity,New York,True,United Airlines,2022-04-20,Ground Travel,Data Center Facility,Data Center Facility,United States of America,APAC Sales,21,0,400,31000,,0.43
Equipment,Heat,,Electricity,San Fransisco ,False,Delta,2020-01-20,Ground Travel,Equipment,Equipment,United States of America,General COO,15,0,500,7000,,0.6
Vehicle,Solar,Taxi,Electricity,Paris,True,British Airways,2022-03-04,Air Travel,Hotel Stay,Vehicle,France,LATAM Sales,14,0,100,31000,1500,0.22
Travel,Fuel Oil,,Energy,Tokyo,False,Emirates,2021-11-21,Ground Travel,Private Jet,Travel,Japan,EMEA Sales,0,7,200,15000,,0.44
Comercial Building,Cooling,,Electricity,Paris,False,Delta,2020-01-05, Rental Car,Comercial Building,Comercial Building,France,EMEA Sales,8,0,200,7000,,0.43
Vehicle,Cooling,Subway,Electricity,New York,False,United Airlines,2022-04-14,Air Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,21,0,400,31000,1000,0.67
Equipment,Hydroelectricity,,Electricity,San Fransisco ,True,United Airlines,2022-01-14,Private Jet,Equipment,Equipment,United States of America,EMEA Sales,15,0,400,31000,,0.48
Travel,Solar,,Electricity,Tokyo,True,United Airlines,2021-02-05,Private Jet,Private Jet,Travel,Japan,EMEA Sales,1,0,150,15000,,0.23
Travel,Solar,,Electricity,San Fransisco ,True,KLM,2020-12-07,Ground Travel,Other,Travel,United States of America,APAC Sales,11,0,500,7000,,0.61
Vehicle,Biomass,Subway,Electricity,New York,True,United Airlines,2022-02-10,Air Travel,Ground Travel,Vehicle,United States of America,APAC Marketing,23,0,500,31000,2000,0.44
Data Center Facility,Geothermal,,Electricity,Paris,True,British Airways,2022-02-01,Ground Travel,Data Center Facility,Equipment,France,General COO,11,0,100,31000,,0.66
Vehicle,Biomass,,Electricity,Tokyo,True,Delta,2021-04-21,Private Jet,Air Travel,Vehicle,Japan,EMEA Sales,6,0,200,15000,,0.4
Travel,Wind,Subway,Electricity,San Fransisco ,True,Delta,2020-05-27,Air Travel,Fleet Vehicle,Travel,United States of America,APAC Sales,5,0,500,7000,2300,0.4
Company Shuttle,Diesel,Limousine,Energy,San Fransisco ,False,United Airlines,2022-01-02,Hotel Stay,Company Shuttle ,Travel,United States of America,EMEA Sales,0,3,500,31000,,0.65
Comercial Building,Fuel Oil,,Energy,Tokyo,False,Delta,2022-04-09,Private Jet,Comercial Building,Comercial Building,Japan,AMER HR,0,4,200,31000,,0.66
Comercial Building,Diesel,,Energy,New York,False,United Airlines,2021-07-23, Rental Car,Comercial Building,Comercial Building,United States of America,General COO,0,5,400,15000,,0.61
Travel,Hydroelectricity,,Electricity,Dublin,True,Delta,2020-07-21,Air Travel,Other,Travel,Ireland,EMEA Sales,20,0,100,7000,,0.03
Equipment,Solar,,Electricity,Paris,True,United Airlines,2022-01-11,Ground Travel,Equipment,Equipment,France,LATAM Sales,13,0,100,31000,,0.68
Data Center Facility,Solar,,Electricity,Dublin,True,Emirates,2022-03-26,Ground Travel,Data Center Facility,Equipment,Ireland,APAC Sales,23,0,150,31000,,0.03
Vehicle,Biomass,Taxi,Electricity,Tokyo,True,KLM,2022-02-28,Private Jet,Hotel Stay,Vehicle,Japan,EMEA Sales,15,0,200,31000,1200,0.29
Company Shuttle,Wind,Personal Car,Electricity,San Fransisco ,True,United Airlines,2021-02-23,Air Travel,Company Shuttle ,Travel,United States of America,EMEA Sales,22,0,400,15000,,0.4
Travel,Wind,,Electricity,New York,True,British Airways,2022-02-10,Private Jet,Private Jet,Travel,United States of America,LATAM Sales,16,0,400,31000,,0.28
Travel,Natural Gas,Personal Car,Energy,San Fransisco ,False,United Airlines,2020-01-26,Air Travel,Fleet Vehicle,Travel,United States of America,APAC Sales,0,12,500,7000,900,0.68
Vehicle,Wind,,Electricity,Paris,True,Delta,2022-04-20,Ground Travel,Air Travel,Vehicle,France,EMEA Sales,5,0,100,31000,,0.09
Vehicle,Solar,Subway,Electricity,Tokyo,True,Delta,2020-07-24,Hotel Stay,Ground Travel,Vehicle,Japan,General COO,23,0,150,7000,1000,0.1
Company Shuttle,Hydroelectricity,Rental Car,Electricity,San Fransisco ,True,Delta,2022-02-07,Private Jet,Company Shuttle ,Travel,United States of America,AMER Sales,5,0,500,31000,,0.65
Vehicle,Diesel,,Energy,San Fransisco ,False,United Airlines,2021-12-26,Air Travel,Air Travel,Vehicle,United States of America,EMEA Sales,0,12,500,15000,,0.44
Travel,Cooling,Personal Car,Electricity,Paris,False,British Airways,2022-02-27, Rental Car,Fleet Vehicle,Travel,France,APAC Sales,17,0,200,31000,2000,0.44
Travel,Biomass,,Electricity,New York,True,United Airlines,2021-11-01,Ground Travel,Other,Travel,United States of America,APAC Sales,19,0,400,15000,,0.47
Vehicle,Solar,Personal Car,Electricity,New York,True,Delta,2020-03-09,Air Travel,Hotel Stay,Vehicle,United States of America,LATAM Sales,11,0,400,7000,2300,0.61
Equipment,Wind,,Electricity,Dublin,True,KLM,2022-03-13,Ground Travel,Equipment,Equipment,Ireland,General COO,14,0,100,31000,,0.23
Comercial Building,Biomass,,Electricity,San Fransisco ,True,United Airlines,2022-01-06,Ground Travel,Comercial Building,Comercial Building,United States of America,EMEA Sales,15,0,400,31000,,0.69
Vehicle,Steam,Taxi,Electricity,San Fransisco ,False,United Airlines,2020-03-14,Air Travel,Ground Travel,Vehicle,United States of America,APAC Sales,2,0,500,7000,1500,0.49
Data Center Facility,Solar,,Electricity,Tokyo,True,Delta,2022-03-28,Private Jet,Data Center Facility,Data Center Facility,Japan,APAC Marketing,15,0,200,31000,,0.68
Travel,Solar,,Electricity,New York,True,Emirates,2021-01-09,Private Jet,Private Jet,Travel,United States of America,EMEA Sales,12,0,400,15000,,0.25
Vehicle,Hydroelectricity,,Electricity,San Fransisco ,True,Delta,2022-03-28,Air Travel,Air Travel,Vehicle,United States of America,APAC Sales,18,0,500,31000,,0.64
Travel,Fuel Oil,,Energy,Tokyo,False,British Airways,2021-01-09,Ground Travel,Private Jet,Travel,Japan,AMER HR,0,5,400,15000,,0.45
Travel,Cooling,,Electricity,Paris,False,Delta,2020-11-27, Rental Car,Other,Travel,France,EMEA Sales,8,0,100,7000,,0.23
Vehicle,Wind,Subway,Electricity,San Fransisco ,True,KLM,2022-03-17,Ground Travel,Ground Travel,Vehicle,United States of America,APAC Sales,14,0,500,31000,900,0.44
Vehicle,Solar,Subway,Electricity,Paris,True,United Airlines,2022-02-12,Air Travel,Hotel Stay,Vehicle,France,EMEA Sales,2,0,200,31000,1500,0.44
Company Shuttle,Diesel,Subway,Energy,Tokyo,False,United Airlines,2021-07-28,Ground Travel,Company Shuttle ,Travel,Japan,General COO,0,8,200,15000,,0.67
Travel,Solar,Limousine,Electricity,New York,True,Delta,2022-04-13,Private Jet,Fleet Vehicle,Travel,United States of America,LATAM Sales,19,0,500,31000,1200,0.45
Equipment,Fuel Oil,,Energy,Dublin,False,United Airlines,2022-04-26,Hotel Stay,Equipment,Equipment,Ireland,EMEA Sales,0,5,150,31000,,0.05
Comercial Building,Natural Gas,,Energy,Tokyo,False,British Airways,2020-01-18,Private Jet,Comercial Building,Comercial Building,Japan,EMEA Sales,0,9,150,7000,,0.27
Data Center Facility,Solar,,Electricity,San Fransisco ,True,United Airlines,2022-03-03,Private Jet,Data Center Facility,Data Center Facility,United States of America,EMEA Sales,16,0,400,31000,,0.6
Equipment,Hydroelectricity,,Electricity,San Fransisco ,True,United Airlines,2020-10-15,Air Travel,Equipment,Equipment,United States of America,APAC Sales,19,0,500,7000,,0.4
Data Center Facility,Solar,,Electricity,New York,True,Delta,2022-04-01,Air Travel,Data Center Facility,Equipment,United States of America,General COO,14,0,400,31000,,0.68
Travel,Solar,,Electricity,Paris,True,Delta,2021-01-20, Rental Car,Other,Travel,France,APAC Sales,7,0,400,15000,,0.68
Travel,Wind,,Electricity,San Fransisco ,True,KLM,2022-01-14,Private Jet,Private Jet,Travel,United States of America,EMEA Sales,12,0,500,31000,,0.64
Comercial Building,Solar,,Electricity,New York,True,British Airways,2020-11-02,Air Travel,Comercial Building,Comercial Building,United States of America,LATAM Sales,1,0,400,7000,,0.29
Travel,Wind,Taxi,Electricity,Tokyo,True,United Airlines,2022-03-09,Ground Travel,Fleet Vehicle,Travel,Japan,APAC Marketing,10,0,100,31000,2000,0.46
Vehicle,Fuel Oil,,Energy,San Fransisco ,False,Delta,2021-08-22,Ground Travel,Air Travel,Vehicle,United States of America,EMEA Sales,0,6,500,15000,,0.6
Vehicle,Hydroelectricity,Personal Car,Electricity,Dublin,True,Emirates,2022-04-05,Private Jet,Ground Travel,Vehicle,Ireland,AMER HR,14,0,100,31000,1000,0.44
Vehicle,Solar,Subway,Electricity,New York,True,United Airlines,2021-05-05,Air Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,15,0,400,15000,1200,0.69
Company Shuttle,Cooling,Personal Car,Electricity,Paris,False,United Airlines,2022-02-12,Ground Travel,Company Shuttle ,Travel,France,APAC Sales,9,0,100,31000,,0.66
Travel,Diesel,Personal Car,Energy,Tokyo,False,Delta,2020-01-02,Private Jet,Fleet Vehicle,Travel,Japan,AMER Sales,0,6,200,7000,2300,0.6
Company Shuttle,Biomass,Subway,Electricity,San Fransisco ,True,United Airlines,2022-01-16, Rental Car,Company Shuttle ,Travel,United States of America,APAC Sales,18,0,400,31000,,0.4
Vehicle,Biomass,Personal Car,Electricity,Paris,True,Delta,2020-03-17,Air Travel,Ground Travel,Vehicle,France,APAC Sales,23,0,100,7000,1500,0.6
Travel,Biomass,,Electricity,Tokyo,True,KLM,2021-04-20,Ground Travel,Private Jet,Travel,Japan,EMEA Sales,12,0,150,15000,,0.42
Comercial Building,Fuel Oil,,Energy,New York,False,British Airways,2022-01-13,Private Jet,Comercial Building,Comercial Building,United States of America,General COO,0,8,400,31000,,0.45
Equipment,Biomass,,Electricity,Dublin,True,United Airlines,2022-04-10,Air Travel,Equipment,Equipment,Ireland,EMEA Sales,16,0,150,31000,,0.02
Travel,Hydroelectricity,,Electricity,San Fransisco ,True,United Airlines,2020-05-07,Ground Travel,Other,Travel,United States of America,EMEA Sales,22,0,500,7000,,0.67
Data Center Facility,Wind,,Electricity,New York,True,United Airlines,2022-01-25,Ground Travel,Data Center Facility,Data Center Facility,United States of America,APAC Sales,6,0,500,31000,,0.68
Vehicle,Diesel,,Energy,San Fransisco ,False,Delta,2021-03-08,Hotel Stay,Air Travel,Vehicle,United States of America,EMEA Sales,0,9,500,15000,,0.46
