"Type_of_Waste","Scope","Category_of_Waste","LastProcessedDate","Treatment_Methods","Date","Scope_3_Upstream_Emissions","Waste_Quantity","Landfill_Waste","Scope_3_Downstream_Emissions","Scope_1_Emissions","Combustion_Waste"
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-09-05",,1500,111,2446,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-10-25",1230,1500,108,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-08-30",,2000,97,,590,15
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2022-04-05",,1500,140,1567,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-03",1100,1000,97,,,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-01",,1500,140,2500,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-02-22",,1500,111,,850,15
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-10-28",,500,108,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-04-20",,2000,140,3244,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-08-29",,1500,111,,760,18
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2021-09-01",1125,1500,97,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-03",,1000,108,2446,,15
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-20",,1500,108,,590,18
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-03-30",1069,500,140,,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-03-18",,1500,111,,900,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2020-04-13",,1000,97,3244,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-03-06",,1500,97,,,15
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Recycled","2021-07-07",,2000,140,2500,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-01-20",,2000,108,,760,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-12-24",1230,2000,111,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-01-25",,1000,97,1567,,11
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2023-08-19",,2000,111,,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2022-04-26",1100,1500,108,,,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-03-24",,1500,140,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-03-18",,1000,97,,850,18
"PVC","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2022-05-12",1230,500,111,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-19",,1500,140,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-08-28",,1000,108,,590,11
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-09-07",1125,2000,97,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-16",,1500,111,,900,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-06-09",,1500,108,3244,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-19",1100,1500,140,,,10
"Newspaper","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2020-06-04",,1000,97,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-29",,1500,111,2500,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-04-10",,2000,140,,,11
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-02-12",,1500,108,1567,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-06-30",,1500,97,,760,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-12-24",1069,1500,108,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-08-23",,1500,111,2446,,18
"Office Paper","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-09-28",,1500,140,,850,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-16",1125,2000,140,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-24",,1000,97,,900,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-02-17",,2000,108,1567,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-10",,1500,111,,,15
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-02-03",,1000,140,3244,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2022-05-18",,1500,111,,760,18
"Batteries","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2021-11-24",1230,500,97,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-02-06",,2000,108,,850,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2023-10-08",,1000,108,2446,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-02-03",1100,1500,97,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-04-16",,1500,111,,590,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-01-04",,1500,140,,,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-06-24",1069,1000,111,,,11
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-19",,1500,140,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2022-11-11",,2000,108,2500,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-10-23",,1500,97,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-08-26",,1500,111,,760,11
"PVC","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-03-25",,500,108,1567,,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-08-27",1125,1000,97,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-08-29",,2000,140,2500,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-07-09",,2000,140,,590,28
"PET","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2022-02-18",1069,1500,108,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-10-02",,1500,97,,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-11-09",1230,1500,111,,,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-12",,1500,111,,,18
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-14",,500,108,,850,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-08-18",,1000,140,2446,,10
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-12-12",1100,2000,97,,,15
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-11-29",,2000,97,3244,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-01-18",1125,1000,108,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-01-18",,1000,111,,900,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-11-21",,1500,140,2446,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-01-27",1230,1500,108,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Composed","2022-09-12",,1500,140,,590,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-06-21",,1000,111,1567,,28
"PET","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-01-03",1069,1500,97,,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2022-08-04",,1000,140,,850,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-25",,1500,111,3244,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-03-26",,1500,97,,900,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-06-28",,2000,108,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-01-13",,1500,97,,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-08-27",1100,1500,108,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-04-16",,2000,140,,760,18
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2023-10-14",,1000,111,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-05-22",,1500,140,2500,,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-12-15",1069,1000,108,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-08-06",,2000,111,,900,15
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-09-25",,1500,97,3244,,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-08-08",,2000,140,,,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-12-08",,1500,111,1567,,18
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2022-09-24",,2000,97,,590,18
"PVC","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-01-24",1230,500,108,,,15
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-05-24",,1500,108,2446,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-12-19",1100,1500,111,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-04-14",,1000,140,,,11
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-12-20",,500,97,,850,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-11-12",,1500,97,,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2023-10-20",1125,2000,111,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-05-01",,500,140,,760,15
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-07-15",1100,1500,108,,,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2022-11-06",,2000,108,2500,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-09-04",,1000,97,,900,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-02",1230,1500,111,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-10-01",,1500,140,1567,,28
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-05-22",,1000,97,2500,,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-06-16",,1500,140,,,15
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2020-11-04",,1500,108,,760,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-16",,1500,111,,590,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-09-08",,1000,140,,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-03-02",1069,1000,108,,,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-10-21",,2000,97,2446,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-07-17",,500,111,,850,18
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Recycled","2021-09-25",1125,1500,140,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-03-18",,1500,108,,,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-10-15",,1000,111,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-08-29",,2000,97,3244,,15
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-07-13",,2000,140,,590,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-09",,1000,111,1567,,11
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-12-22",1125,500,97,,,18
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-11-18",,2000,108,2500,,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-05-26",1100,1500,108,,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-07",,1500,97,,850,10
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-10-10",,1000,140,,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-03-15",1230,1500,111,,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-08-15",,1500,111,,,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-03-10",,1500,108,2446,,15
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Composed","2022-03-08",1069,1000,140,,,28
"PVC","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-13",,500,97,,760,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-06-03",,2000,108,3244,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-01-14",,2000,140,,900,18
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-06-23",1069,1500,97,,,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-09-04",,1500,111,1567,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-04-30",,2000,140,,,10
"Newspaper","Scope 1 Emissions","Hazardous","2023-02-24","Combusted","2022-01-30",,1500,111,,850,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-03-20",,1000,97,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-05-03",,1500,108,,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-04-10",1125,1500,111,,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-05-29",,2000,140,,760,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-17",1100,1000,97,,,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-12-14",,1500,108,2446,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-28",,1500,108,2500,,28
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2023-09-09",1230,1500,111,,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-06-21",,1000,140,,590,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-05-17",,2000,97,3244,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-02-12",1125,1500,140,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2022-06-29",,1500,108,,900,15
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-27",,500,97,,900,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-04-22",1100,1500,111,,,10
"PET","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-03-20",,2000,140,3244,,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-11-08",,1500,108,1567,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2023-07-15",,1000,97,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2022-12-07",,1500,111,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2023-02-07",,1000,140,,760,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-13",,1500,97,2500,,10
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-09-25",1069,2000,111,,,18
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2022-09-10",,1500,108,,850,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-10-04",,1500,108,,,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-09-15",1230,1000,97,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-10-16",,2000,111,,590,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-24",,1500,140,,,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-11-21",,1000,111,2446,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-04-10",,1500,108,3244,,18
"PVC","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2023-04-22",1125,500,140,,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-01",,1500,97,,590,15
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-16",,1500,111,,850,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-06-18",,2000,97,1567,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-02-18",1230,1000,140,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-06-05",,2000,108,2500,,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-09",1100,1500,108,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-04-04",,1500,97,,,18
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-12-16",,1000,111,2446,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-11-17",1069,1500,140,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-02-18",,2000,111,,900,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-06-30",,2000,140,,760,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-02-20",,1500,97,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-04-16",,1000,108,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-08-07",,1500,108,,760,18
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Composed","2020-05-22",,1000,97,2500,,10
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-05-18",1230,2000,140,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-07-15",,1500,111,,590,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-09-24",,1500,97,3244,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-12-10",1069,1500,111,,,15
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-02-16",,500,108,,900,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-10-20",,1500,140,1567,,28
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2021-06-04",1100,2000,140,,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-04-09",,500,97,,850,10
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-06-19",1125,1000,108,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-05-07",,2000,111,2446,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-05-28",,1500,97,,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-01-05",,1000,140,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-12-31",,1500,108,,,15
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2023-05-14",,1500,111,2500,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-22",1069,1500,108,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-08-20",,1500,97,,850,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-03-19",,1000,111,,590,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-05-27",,1500,140,1567,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-03",1125,2000,140,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-08-27",,2000,97,3244,,15
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-03-22",,500,111,,900,11
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2023-12-12",1230,1500,108,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-12-20",,2000,97,,,10
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-25",1100,1000,111,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-08-03",,1000,108,,760,18
"PVC","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2022-02-24",,500,140,2446,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-02-14",,1500,140,,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-02-17",,1500,108,,,28
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2020-11-16",,1500,111,,900,11
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-01-11",1230,2000,97,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-07-09",,2000,140,2446,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-03-20",,1500,108,,760,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-01-02",,1500,111,3244,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-12-29",1125,1000,97,,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-05-16",,1500,140,,590,18
"PET","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2022-02-07",1069,1000,111,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-06-28",,2000,97,1567,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-13",,1500,108,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-09-12",,1500,108,2500,,10
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-04-09",1100,1500,111,,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2023-03-31",,2000,140,,850,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-05-14",1230,1500,97,,,28
"PET","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-02-04",,1500,108,,,15
