"Industry","recordId","Month","Company","Red_Flags","Portfolio","Region","ESG_Score","Rating"
"Manufacturing","0eM8b000000TNE8EAO","2021-12","Purpleworth","Quality & Safety","Portfolio C","Asia",40,2
"Financial Services","0eM8b000000TNE8EAO","2021-09","North Starporation","Quality & Safety","Portfolio A","LATAM",21,2
"Financial Services","0eM8b000000TNE8EAO","2021-06","Apexrover","Carbon Emissions","Portfolio B","LATAM",72,2
"Media and Technology","0eM8b000000TNE8EAO","2021-10","Surgesystems","DE&I","Portfolio B","Europe",77,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-05","Elviations","Code of Conduct","Portfolio B","North America",90,8
"Public Sector","0eM8b000000TNE8EAO","2022-04","Loki Industries","Carbon Emissions","Portfolio C","South American",21,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Bridge Aviation","Carbon Emissions","Portfolio A","Asia",35,8
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Tucanterprises","Health &Safety","Portfolio C","North America",49,6
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Ravenman","Quality & Safety","Portfolio B","Asia",27,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-05","Jetbit","Carbon Emissions","Portfolio B","North America",57,6
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Tucanterprises","Procurement","Portfolio C","South American",91,5
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Ravenman","Human Rights","Portfolio C","North America",82,4
"Financial Services","0eM8b000000TNE8EAO","2021-07","Apexrover","Quality & Safety","Portfolio A","Europe",72,7
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Tucanterprises","DE&I","Portfolio A","Asia",21,4
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Tucanterprises","Data Protection","Portfolio B","Asia",19,1
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Tucanterprises","DE&I","Portfolio B","Asia",59,3
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Sunshade","Procurement","Portfolio A","LATAM",43,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Bridge Aviation","DE&I","Portfolio B","North America",35,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Elviations","Data Protection","Portfolio A","Europe",68,6
"Financial Services","0eM8b000000TNE8EAO","2022-02","Moondustries","Human Rights","Portfolio A","LATAM",18,7
"Public Sector","0eM8b000000TNE8EAO","2022-01","Corecords","Data Protection","Portfolio A","LATAM",50,1
"Financial Services","0eM8b000000TNE8EAO","2022-03","Apexrover","Health &Safety","Portfolio B","North America",72,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-10","Jetbit","Code of Conduct","Portfolio B","Europe",57,2
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Sunshade","DE&I","Portfolio A","North America",43,4
"Financial Services","0eM8b000000TNE8EAO","2021-05","Moondustries","Human Rights","Portfolio C","North America",8,1
"Financial Services","0eM8b000000TNE8EAO","2021-09","Apexrover","DE&I","Portfolio C","Asia",72,6
"Financial Services","0eM8b000000TNE8EAO","2021-06","North Starporation","Procurement","Portfolio C","LATAM",88,2
"Financial Services","0eM8b000000TNE8EAO","2022-03","Apexrover","Procurement","Portfolio A","North America",72,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Jetbit","Carbon Emissions","Portfolio B","Asia",57,1
"Public Sector","0eM8b000000TNE8EAO","2021-08","Corecords","Data Protection","Portfolio C","Asia",50,4
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Surgesystems","Data Protection","Portfolio C","South American",77,4
"Media and Technology","0eM8b000000TNE8EAO","2021-10","Sunshade","Data Protection","Portfolio C","North America",43,8
"Financial Services","0eM8b000000TNE8EAO","2021-07","Moondustries","Procurement","Portfolio C","LATAM",92,4
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Sunshade","Carbon Emissions","Portfolio B","South American",43,5
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Ravenman","Carbon Emissions","Portfolio B","South American",80,7
"Financial Services","0eM8b000000TNE8EAO","2021-06","Moondustries","Data Protection","Portfolio A","LATAM",20,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-12","Monarch Motors","Data Protection","Portfolio A","North America",80,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Monarch Motors","Health &Safety","Portfolio A","Europe",80,2
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Tucanterprises","DE&I","Portfolio B","LATAM",5,6
"Public Sector","0eM8b000000TNE8EAO","2021-07","Corecords","Human Rights","Portfolio A","South American",50,8
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Sunshade","Human Rights","Portfolio A","South American",43,2
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Ravenman","Health &Safety","Portfolio A","South American",73,3
"Media and Technology","0eM8b000000TNE8EAO","2021-10","Surgesystems","Health &Safety","Portfolio A","LATAM",77,3
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Rhino Foods","Code of Conduct","Portfolio B","South American",47,3
"Public Sector","0eM8b000000TNE8EAO","2021-11","Icestone","Carbon Emissions","Portfolio A","Asia",64,2
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Rhino Foods","Human Rights","Portfolio A","Europe",64,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Monarch Motors","Code of Conduct","Portfolio A","LATAM",80,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Buzzylectrics","Carbon Emissions","Portfolio A","Europe",32,3
"Financial Services","0eM8b000000TNE8EAO","2022-02","North Starporation","Procurement","Portfolio C","Europe",100,6
"Manufacturing","0eM8b000000TNE8EAO","2022-03","Purpleworth","Quality & Safety","Portfolio B","LATAM",40,2
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Tucanterprises","Human Rights","Portfolio A","Asia",74,1
"Public Sector","0eM8b000000TNE8EAO","2021-09","Icestone","DE&I","Portfolio A","Europe",64,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Monarch Motors","Quality & Safety","Portfolio B","South American",80,4
"Public Sector","0eM8b000000TNE8EAO","2021-12","Icestone","Health &Safety","Portfolio A","South American",64,7
"Financial Services","0eM8b000000TNE8EAO","2022-02","Acme","Human Rights","Portfolio A","LATAM",85,6
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Sunshade","Data Protection","Portfolio A","North America",43,4
"Public Sector","0eM8b000000TNE8EAO","2021-07","Corecords","Quality & Safety","Portfolio A","Europe",50,5
"Financial Services","0eM8b000000TNE8EAO","2021-12","Acme","Quality & Safety","Portfolio C","North America",85,1
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Purpleworth","Carbon Emissions","Portfolio A","Europe",40,8
"Public Sector","0eM8b000000TNE8EAO","2021-12","Corecords","Quality & Safety","Portfolio C","LATAM",50,1
"Media and Technology","0eM8b000000TNE8EAO","2021-10","Surgesystems","Health &Safety","Portfolio C","North America",77,6
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Surgesystems","Carbon Emissions","Portfolio B","LATAM",77,3
"Public Sector","0eM8b000000TNE8EAO","2021-08","Loki Industries","DE&I","Portfolio C","South American",85,1
"Financial Services","0eM8b000000TNE8EAO","2021-06","Apexrover","Procurement","Portfolio C","Europe",72,3
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Surgesystems","Carbon Emissions","Portfolio B","South American",77,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Bridge Aviation","Code of Conduct","Portfolio A","Asia",35,6
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Purpleworth","Quality & Safety","Portfolio A","LATAM",40,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Elviations","Quality & Safety","Portfolio A","Europe",31,4
"Manufacturing","0eM8b000000TNE8EAO","2022-02","Rhino Foods","Human Rights","Portfolio A","South American",68,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Buzzylectrics","Health &Safety","Portfolio B","LATAM",52,5
"Public Sector","0eM8b000000TNE8EAO","2022-01","Icestone","Human Rights","Portfolio B","South American",64,3
"Public Sector","0eM8b000000TNE8EAO","2021-12","Corecords","Quality & Safety","Portfolio B","LATAM",50,3
"Media and Technology","0eM8b000000TNE8EAO","2021-12","Sunshade","Health &Safety","Portfolio B","South American",43,8
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Rhino Foods","Data Protection","Portfolio B","LATAM",22,8
"Financial Services","0eM8b000000TNE8EAO","2021-06","Acme","Data Protection","Portfolio C","Asia",85,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-05","Monarch Motors","Quality & Safety","Portfolio A","Asia",80,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Pumpkinavigation","DE&I","Portfolio C","South American",83,4
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Sunshade","Code of Conduct","Portfolio B","LATAM",43,1
"Public Sector","0eM8b000000TNE8EAO","2021-09","Loki Industries","Health &Safety","Portfolio A","North America",6,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-05","Buzzylectrics","Procurement","Portfolio A","LATAM",81,4
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Rhino Foods","Quality & Safety","Portfolio B","Asia",79,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Elviations","Data Protection","Portfolio B","Europe",77,3
"Public Sector","0eM8b000000TNE8EAO","2021-10","Icestone","Data Protection","Portfolio A","South American",64,1
"Public Sector","0eM8b000000TNE8EAO","2021-05","Icestone","Human Rights","Portfolio B","North America",64,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Pumpkinavigation","Human Rights","Portfolio B","LATAM",98,4
"Media and Technology","0eM8b000000TNE8EAO","2022-02","Ravenman","DE&I","Portfolio B","North America",36,7
"Financial Services","0eM8b000000TNE8EAO","2021-08","Moondustries","Data Protection","Portfolio A","Europe",46,8
"Financial Services","0eM8b000000TNE8EAO","2021-05","Acme","Human Rights","Portfolio C","Europe",85,4
"Financial Services","0eM8b000000TNE8EAO","2021-09","Moondustries","Health &Safety","Portfolio C","LATAM",50,3
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-04","Buzzylectrics","Health &Safety","Portfolio C","South American",59,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Pumpkinavigation","Quality & Safety","Portfolio A","Asia",56,3
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Ravenman","Quality & Safety","Portfolio B","Asia",49,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Pumpkinavigation","Data Protection","Portfolio A","Asia",88,2
"Financial Services","0eM8b000000TNE8EAO","2021-09","North Starporation","Data Protection","Portfolio C","Asia",7,3
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Sunshade","Health &Safety","Portfolio C","LATAM",43,3
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Rhino Foods","Human Rights","Portfolio C","Europe",98,6
"Manufacturing","0eM8b000000TNE8EAO","2021-12","Purpleworth","Code of Conduct","Portfolio A","Europe",40,5
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Rhino Foods","Health &Safety","Portfolio B","North America",95,3
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Rhino Foods","DE&I","Portfolio B","Europe",35,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Monarch Motors","Human Rights","Portfolio C","Asia",80,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Jetbit","DE&I","Portfolio C","LATAM",57,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-02","Jetbit","Procurement","Portfolio C","South American",57,2
"Financial Services","0eM8b000000TNE8EAO","2021-09","Acme","Code of Conduct","Portfolio A","LATAM",85,6
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Purpleworth","Code of Conduct","Portfolio C","South American",40,2
"Public Sector","0eM8b000000TNE8EAO","2022-01","Icestone","Data Protection","Portfolio A","Europe",64,6
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Sunshade","DE&I","Portfolio B","LATAM",43,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Pumpkinavigation","Data Protection","Portfolio A","Asia",70,3
"Financial Services","0eM8b000000TNE8EAO","2022-02","Acme","Procurement","Portfolio B","Europe",85,3
"Financial Services","0eM8b000000TNE8EAO","2021-11","Acme","Health &Safety","Portfolio B","North America",85,5
"Financial Services","0eM8b000000TNE8EAO","2022-01","North Starporation","Quality & Safety","Portfolio A","LATAM",97,5
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Sunshade","Carbon Emissions","Portfolio A","LATAM",43,4
"Financial Services","0eM8b000000TNE8EAO","2022-04","Acme","Code of Conduct","Portfolio C","Asia",85,6
"Public Sector","0eM8b000000TNE8EAO","2022-01","Corecords","Human Rights","Portfolio A","LATAM",50,4
"Media and Technology","0eM8b000000TNE8EAO","2021-12","Sunshade","Health &Safety","Portfolio C","Asia",43,5
"Public Sector","0eM8b000000TNE8EAO","2021-11","Loki Industries","Health &Safety","Portfolio B","LATAM",66,3
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-04","Bridge Aviation","Human Rights","Portfolio A","LATAM",35,3
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Jetbit","DE&I","Portfolio C","LATAM",57,8
"Manufacturing","0eM8b000000TNE8EAO","2021-12","Purpleworth","Procurement","Portfolio C","LATAM",40,4
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Surgesystems","Code of Conduct","Portfolio B","Asia",77,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Elviations","Quality & Safety","Portfolio B","LATAM",56,5
"Public Sector","0eM8b000000TNE8EAO","2021-09","Corecords","Carbon Emissions","Portfolio A","North America",50,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Pumpkinavigation","Carbon Emissions","Portfolio B","Asia",53,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Buzzylectrics","Human Rights","Portfolio C","Europe",60,5
"Public Sector","0eM8b000000TNE8EAO","2021-12","Corecords","Quality & Safety","Portfolio C","Asia",50,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Bridge Aviation","Carbon Emissions","Portfolio C","Asia",35,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Buzzylectrics","Code of Conduct","Portfolio C","North America",73,8
"Public Sector","0eM8b000000TNE8EAO","2022-04","Icestone","Health &Safety","Portfolio C","North America",64,2
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Ravenman","Health &Safety","Portfolio A","Asia",57,5
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Purpleworth","Code of Conduct","Portfolio C","North America",40,2
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Surgesystems","Carbon Emissions","Portfolio C","South American",77,1
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Ravenman","DE&I","Portfolio A","Europe",57,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Buzzylectrics","Procurement","Portfolio B","LATAM",65,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Elviations","Procurement","Portfolio B","Europe",56,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-07","Buzzylectrics","Health &Safety","Portfolio A","North America",45,8
"Financial Services","0eM8b000000TNE8EAO","2021-10","Apexrover","Health &Safety","Portfolio B","Asia",72,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Monarch Motors","Carbon Emissions","Portfolio B","South American",80,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-02","Bridge Aviation","Data Protection","Portfolio C","South American",35,7
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Tucanterprises","Carbon Emissions","Portfolio B","Europe",57,3
"Public Sector","0eM8b000000TNE8EAO","2022-03","Corecords","Carbon Emissions","Portfolio A","Europe",50,6
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Ravenman","Human Rights","Portfolio B","North America",26,5
"Financial Services","0eM8b000000TNE8EAO","2022-04","Acme","Carbon Emissions","Portfolio A","Europe",85,1
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Ravenman","Human Rights","Portfolio A","North America",16,5
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Surgesystems","Human Rights","Portfolio B","Asia",77,3
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Surgesystems","Carbon Emissions","Portfolio B","LATAM",77,8
"Financial Services","0eM8b000000TNE8EAO","2021-11","North Starporation","Carbon Emissions","Portfolio C","Asia",40,7
"Financial Services","0eM8b000000TNE8EAO","2022-01","Acme","Health &Safety","Portfolio C","South American",85,5
"Public Sector","0eM8b000000TNE8EAO","2022-03","Loki Industries","Human Rights","Portfolio C","Europe",8,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-06","Pumpkinavigation","Data Protection","Portfolio B","North America",90,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-05","Elviations","Code of Conduct","Portfolio B","Europe",25,4
"Financial Services","0eM8b000000TNE8EAO","2021-10","North Starporation","Data Protection","Portfolio B","South American",1,5
"Financial Services","0eM8b000000TNE8EAO","2021-12","North Starporation","Code of Conduct","Portfolio C","North America",38,1
"Manufacturing","0eM8b000000TNE8EAO","2022-02","Rhino Foods","DE&I","Portfolio A","North America",45,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Jetbit","Human Rights","Portfolio B","Asia",57,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Monarch Motors","Procurement","Portfolio A","LATAM",80,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-05","Elviations","Carbon Emissions","Portfolio C","Asia",66,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Pumpkinavigation","Code of Conduct","Portfolio A","Asia",46,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-06","Elviations","Quality & Safety","Portfolio C","North America",91,2
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Buzzylectrics","Carbon Emissions","Portfolio B","North America",28,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Elviations","Data Protection","Portfolio C","North America",84,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Jetbit","Carbon Emissions","Portfolio C","Asia",57,6
"Financial Services","0eM8b000000TNE8EAO","2021-11","North Starporation","Health &Safety","Portfolio C","LATAM",13,6
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Purpleworth","Human Rights","Portfolio A","North America",40,3
"Public Sector","0eM8b000000TNE8EAO","2021-09","Icestone","Human Rights","Portfolio A","LATAM",64,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-02","Pumpkinavigation","Procurement","Portfolio C","Europe",23,7
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Purpleworth","Quality & Safety","Portfolio B","LATAM",40,8
"Financial Services","0eM8b000000TNE8EAO","2021-09","Acme","Health &Safety","Portfolio C","Asia",85,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Elviations","Procurement","Portfolio A","LATAM",89,4
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Tucanterprises","Code of Conduct","Portfolio C","North America",42,8
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Rhino Foods","Data Protection","Portfolio B","LATAM",7,3
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Surgesystems","Human Rights","Portfolio C","Europe",77,7
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Purpleworth","Data Protection","Portfolio C","South American",40,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Buzzylectrics","Health &Safety","Portfolio B","North America",91,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Elviations","Health &Safety","Portfolio A","LATAM",59,6
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Rhino Foods","Procurement","Portfolio A","LATAM",92,2
"Public Sector","0eM8b000000TNE8EAO","2021-09","Loki Industries","Quality & Safety","Portfolio A","LATAM",62,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-07","Buzzylectrics","Health &Safety","Portfolio B","Europe",95,5
"Manufacturing","0eM8b000000TNE8EAO","2021-12","Purpleworth","DE&I","Portfolio C","South American",40,5
"Manufacturing","0eM8b000000TNE8EAO","2021-12","Tucanterprises","Data Protection","Portfolio A","Asia",83,2
"Financial Services","0eM8b000000TNE8EAO","2021-05","Acme","Human Rights","Portfolio C","LATAM",85,3
"Manufacturing","0eM8b000000TNE8EAO","2022-04","Purpleworth","DE&I","Portfolio B","Europe",40,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Pumpkinavigation","Carbon Emissions","Portfolio B","South American",74,4
"Public Sector","0eM8b000000TNE8EAO","2022-02","Icestone","Code of Conduct","Portfolio C","LATAM",64,8
"Public Sector","0eM8b000000TNE8EAO","2022-03","Corecords","Human Rights","Portfolio A","Europe",50,4
"Manufacturing","0eM8b000000TNE8EAO","2021-09","Purpleworth","Code of Conduct","Portfolio C","Asia",40,6
"Public Sector","0eM8b000000TNE8EAO","2022-02","Corecords","Data Protection","Portfolio A","LATAM",50,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-08","Pumpkinavigation","Data Protection","Portfolio B","LATAM",88,7
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Tucanterprises","DE&I","Portfolio C","North America",10,1
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Purpleworth","Carbon Emissions","Portfolio C","Europe",40,2
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Sunshade","Carbon Emissions","Portfolio B","LATAM",43,5
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Pumpkinavigation","Procurement","Portfolio C","LATAM",64,5
"Media and Technology","0eM8b000000TNE8EAO","2021-11","Ravenman","Human Rights","Portfolio A","Europe",88,2
"Financial Services","0eM8b000000TNE8EAO","2021-12","Moondustries","Human Rights","Portfolio C","North America",53,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Elviations","Health &Safety","Portfolio B","South American",3,7
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Tucanterprises","DE&I","Portfolio A","LATAM",4,3
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Rhino Foods","DE&I","Portfolio B","Europe",83,2
"Public Sector","0eM8b000000TNE8EAO","2022-05","Loki Industries","Data Protection","Portfolio A","Asia",11,1
"Media and Technology","0eM8b000000TNE8EAO","2021-10","Sunshade","DE&I","Portfolio C","South American",43,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-11","Bridge Aviation","Code of Conduct","Portfolio C","Asia",35,5
"Financial Services","0eM8b000000TNE8EAO","2021-12","North Starporation","Code of Conduct","Portfolio C","LATAM",95,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-05","Elviations","DE&I","Portfolio C","North America",90,5
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-01","Jetbit","Code of Conduct","Portfolio A","North America",57,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-09","Bridge Aviation","DE&I","Portfolio A","Europe",35,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-02","Jetbit","Procurement","Portfolio A","North America",57,7
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Rhino Foods","Code of Conduct","Portfolio B","North America",28,8
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Tucanterprises","Health &Safety","Portfolio C","Europe",22,1
"Manufacturing","0eM8b000000TNE8EAO","2021-11","Purpleworth","Data Protection","Portfolio A","LATAM",40,8
"Media and Technology","0eM8b000000TNE8EAO","2021-09","Surgesystems","Procurement","Portfolio B","Asia",77,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Pumpkinavigation","DE&I","Portfolio B","Asia",95,1
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Surgesystems","Code of Conduct","Portfolio C","Asia",77,8
"Media and Technology","0eM8b000000TNE8EAO","2021-07","Sunshade","DE&I","Portfolio C","North America",43,6
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Sunshade","Code of Conduct","Portfolio C","LATAM",43,4
"Financial Services","0eM8b000000TNE8EAO","2021-09","Acme","Carbon Emissions","Portfolio A","North America",85,6
"Manufacturing","0eM8b000000TNE8EAO","2021-08","Rhino Foods","Human Rights","Portfolio B","South American",19,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-11","Pumpkinavigation","Human Rights","Portfolio C","Asia",88,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Buzzylectrics","Code of Conduct","Portfolio C","LATAM",5,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Buzzylectrics","Procurement","Portfolio C","South American",66,6
"Financial Services","0eM8b000000TNE8EAO","2021-07","Apexrover","Quality & Safety","Portfolio C","Asia",72,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-03","Bridge Aviation","Quality & Safety","Portfolio B","LATAM",35,4
"Manufacturing","0eM8b000000TNE8EAO","2021-07","Rhino Foods","Health &Safety","Portfolio A","LATAM",46,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Buzzylectrics","Human Rights","Portfolio C","South American",39,7
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Purpleworth","DE&I","Portfolio C","LATAM",40,6
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-10","Buzzylectrics","Procurement","Portfolio A","Europe",22,1
"Media and Technology","0eM8b000000TNE8EAO","2022-02","Surgesystems","Data Protection","Portfolio C","LATAM",77,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-04","Elviations","Human Rights","Portfolio B","LATAM",15,5
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Ravenman","Quality & Safety","Portfolio C","Europe",23,3
"Media and Technology","0eM8b000000TNE8EAO","2021-12","Surgesystems","Procurement","Portfolio B","South American",77,1
"Public Sector","0eM8b000000TNE8EAO","2021-10","Corecords","Code of Conduct","Portfolio C","South American",50,3
"Manufacturing","0eM8b000000TNE8EAO","2021-10","Purpleworth","Carbon Emissions","Portfolio A","Asia",40,1
"Financial Services","0eM8b000000TNE8EAO","2022-05","Acme","DE&I","Portfolio B","North America",85,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Pumpkinavigation","Human Rights","Portfolio B","South American",87,2
"Media and Technology","0eM8b000000TNE8EAO","2022-04","Surgesystems","Health &Safety","Portfolio B","South American",77,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-01","Elviations","Code of Conduct","Portfolio A","South American",59,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-06","Buzzylectrics","Code of Conduct","Portfolio B","Asia",93,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Elviations","Quality & Safety","Portfolio B","LATAM",100,5
"Financial Services","0eM8b000000TNE8EAO","2021-10","Moondustries","Health &Safety","Portfolio B","Europe",53,2
"Manufacturing","0eM8b000000TNE8EAO","2021-05","Rhino Foods","Human Rights","Portfolio C","Asia",17,4
"Financial Services","0eM8b000000TNE8EAO","2022-03","Apexrover","Carbon Emissions","Portfolio B","South American",72,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Elviations","DE&I","Portfolio C","North America",16,3
"Media and Technology","0eM8b000000TNE8EAO","2021-08","Ravenman","Carbon Emissions","Portfolio C","Europe",87,6
"Financial Services","0eM8b000000TNE8EAO","2021-08","Moondustries","Procurement","Portfolio C","Asia",71,2
"Media and Technology","0eM8b000000TNE8EAO","2022-01","Sunshade","Quality & Safety","Portfolio A","Europe",43,1
"Public Sector","0eM8b000000TNE8EAO","2022-04","Loki Industries","Data Protection","Portfolio A","South American",74,1
"Public Sector","0eM8b000000TNE8EAO","2021-06","Icestone","Human Rights","Portfolio B","Europe",64,3
