"GHG_Scope_3_Category","LastProcessedDate","Supplier","Date","Supplier_Expenses","Emission_Value","Ratio","Scope_3_Emissions","Vehicle_Emissions","Stationary_Sources_tCO2e","Other_Emissions"
"Upstream Leased Assest","2023-03-24","Momentum Design","2019-09-04",44952,123,10,2207,234,322,221
"Investments","2023-03-24","Test Supplier","2023-08-26",18270,234,2,3112,120,153,1234
"Capital Goods","2023-03-24","Air Canada","2020-05-03",22946,2200,16,2312,112,278,355
"Investments","2023-03-24","United Airline","2021-01-18",46447,112,19,1234,412,278,355
"Upstream Leased Assest","2023-03-24","Allied Technologies","2022-07-29",45424,123,7,3421,120,322,345
"Purchase Goods and Services","2023-03-24","Laine Ltd","2020-02-08",45764,800,7,3112,112,153,1234
"Downstream ","2023-03-24","Valley Supply Inc.","2023-07-14",35250,123,20,2207,234,123,221
"Upstream Transportation and Distribution","2023-03-24","Hertz","2022-07-24",46813,234,4,3421,412,153,1234
"Capital Goods","2023-03-24","Uber","2019-12-07",28490,2200,14,1234,234,123,345
"Business Travel","2023-03-24","Hyatt","2021-11-08",20538,234,9,2312,112,278,221
"Upstream Leased Assest","2023-03-24","Air France","2019-07-07",42471,112,7,2207,120,322,355
"Capital Goods","2023-03-24","Good Freight Co","2023-10-22",26863,2200,17,3421,112,123,221
"Investments","2023-03-24","Five Winds Project, LLC","2021-05-17",49796,123,13,1234,120,322,1234
"Upstream Transportation and Distribution","2023-03-24","Avis","2022-04-20",45288,750,1,3112,412,153,355
"Downstream ","2023-03-24","CityCab","2020-01-29",47449,234,9,2312,234,278,345
"Business Travel","2023-03-24","Gusto Sound and Audio","2022-03-20",17031,112,12,3421,412,322,355
"Purchase Goods and Services","2023-03-24","Employnet","2019-10-15",26374,750,4,1234,234,153,345
"Investments","2023-03-24","Glasgow Water","2020-09-10",37963,123,18,2312,112,123,1234
"Business Travel","2023-03-24","Meridian Partners","2023-03-24",48983,234,14,2207,120,278,221
"Upstream Transportation and Distribution","2023-03-24","Atlas Inc","2021-08-16",25829,112,15,3112,112,123,345
"Upstream Leased Assest","2023-03-24","Enterprise","2019-04-23",32257,123,1,2312,234,322,1234
"Capital Goods","2023-03-24","Big Sky & Sons","2022-10-20",44041,2200,12,3421,120,153,355
"Purchase Goods and Services","2023-03-24","Haven Enterprises","2023-10-30",45077,800,16,3112,412,278,221
"Downstream ","2023-03-24","SoloTaxi","2021-06-17",10569,234,9,2207,234,123,345
"Upstream Transportation and Distribution","2023-03-24","ABC Woodworks","2020-01-31",39985,112,1,1234,412,278,1234
"Capital Goods","2023-03-24","RCE, Inc.","2022-09-19",40968,2200,3,3421,112,153,221
"Business Travel","2023-03-24","Hilton","2019-09-19",48352,750,14,2312,120,322,355
"Purchase Goods and Services","2023-03-24","British Airways","2023-05-15",41567,800,9,1234,412,123,355
"Investments","2023-03-24","KLM","2020-06-13",27981,112,19,2207,112,153,221
"Downstream ","2023-03-24","Advanced Communications","2021-08-16",30959,123,7,3112,120,278,1234
"Upstream Leased Assest","2023-03-24","General Utilities","2019-07-01",31365,123,5,1234,234,322,345
"Upstream Transportation and Distribution","2023-03-24","Momentum Design","2020-11-27",17942,234,16,2312,412,123,1234
"Upstream Leased Assest","2023-03-24","Roseburg Products Co","2022-10-11",36062,234,20,3421,120,153,345
"Investments","2023-03-24","Big Sky & Sons","2021-02-05",48804,123,11,2207,234,278,355
"Downstream ","2023-03-24","RCE, Inc.","2023-06-28",16550,112,14,3112,112,322,221
"Capital Goods","2023-03-24","Allied Technologies","2023-02-22",33612,2200,9,2207,112,123,355
"Purchase Goods and Services","2023-03-24","Meridian Partners","2021-05-01",21266,800,6,1234,120,153,221
"Business Travel","2023-03-24","Tech Labs","2020-03-01",25209,112,15,3421,412,322,345
"Upstream Leased Assest","2023-03-24","CityCab","2022-08-19",13616,234,16,3112,234,278,1234
"Investments","2023-03-24","Test Supplier","2019-11-09",43056,123,5,2312,412,123,355
"Purchase Goods and Services","2023-03-24","Air France","2019-09-21",37581,800,17,1234,112,278,345
"Business Travel","2023-03-24","Vand Enterprises, Inc.","2021-07-28",40715,750,1,3421,234,153,221
"Downstream ","2023-03-24","Valley Supply Inc.","2020-05-09",13318,234,15,2312,120,322,1234
"Upstream Transportation and Distribution","2023-03-24","Glasgow Catering","2023-04-28",15294,123,10,2207,412,153,345
"Capital Goods","2023-03-24","ABC Woodworks","2022-10-30",40740,2200,7,3112,234,278,355
"Purchase Goods and Services","2023-03-24","UlyssesNet","2023-05-27",48595,800,15,3421,120,123,221
"Downstream ","2023-03-24","United Airline","2021-05-08",34827,112,12,3112,112,322,1234
"Upstream Leased Assest","2023-03-24","SoloTaxi","2022-06-09",37173,112,18,1234,234,153,1234
"Investments","2023-03-24","Constellation Energy","2019-03-12",28407,123,9,2207,412,322,345
"Upstream Transportation and Distribution","2023-03-24","Laine Ltd","2020-03-26",34505,234,7,2312,120,278,221
"Capital Goods","2023-03-24","Uber","2022-09-19",13577,2200,14,3421,112,123,355
"Business Travel","2023-03-24","General Utilities","2023-09-20",18478,112,17,1234,120,153,345
"Capital Goods","2023-03-24","Glasgow Water","2020-04-28",41381,2200,10,2312,112,322,355
"Purchase Goods and Services","2023-03-24","Red Studio Designs","2019-02-17",29489,800,13,2207,412,278,221
"Upstream Leased Assest","2023-03-24","Advanced Communications","2021-11-29",15781,234,11,3112,234,123,1234
"Business Travel","2023-03-24","Haven Enterprises","2019-09-07",22414,123,17,2207,234,123,221
"Upstream Transportation and Distribution","2023-03-24","Harmon Consulting","2022-11-03",47012,234,9,1234,112,153,355
"Investments","2023-03-24","Delta Airlines","2021-08-10",45876,750,11,3112,412,278,345
"Downstream ","2023-03-24","Marriott","2023-11-05",17386,112,7,2312,120,322,1234
"Downstream ","2023-03-24","Air Canada","2020-10-25",46381,234,14,3421,120,123,355
"Upstream Transportation and Distribution","2023-03-24","Hilton","2023-01-26",11067,123,3,2312,412,278,221
"Business Travel","2023-03-24","Five Winds Project, LLC","2022-04-12",14580,123,2,1234,234,322,345
"Upstream Leased Assest","2023-03-24","salesforce.com","2021-10-01",43471,234,3,3112,112,153,1234
"Purchase Goods and Services","2023-03-24","Atlas Inc","2019-07-08",33616,800,10,3421,120,153,1234
"Investments","2023-03-24","Good Freight Co","2020-05-11",43733,112,15,2207,234,322,345
"Capital Goods","2023-03-24","Xcel Energy","2023-08-24",14481,2200,17,3421,112,123,221
"Investments","2023-03-24","IHG","2020-12-23",20437,112,3,3112,412,278,355
"Purchase Goods and Services","2023-03-24","Southern Solutions","2021-04-03",12830,750,18,1234,120,123,221
"Upstream Transportation and Distribution","2023-03-24","Hertz","2022-04-21",31196,123,18,2207,112,322,345
"Capital Goods","2023-03-24","Green Fields Media","2019-11-18",15844,2200,19,2312,412,153,355
"Business Travel","2023-03-24","Budget","2021-05-30",33803,112,4,3421,234,278,1234
"Upstream Leased Assest","2023-03-24","JetBlue","2019-03-25",24296,234,3,1234,234,278,221
"Downstream ","2023-03-24","Pinnacle Partners","2020-05-26",19931,123,16,2207,112,322,1234
"Business Travel","2023-03-24","Lyft","2022-12-08",30738,112,11,2312,412,123,345
"Upstream Leased Assest","2023-03-24","Hyatt","2023-08-27",11506,750,4,3112,120,153,355
"Downstream ","2023-03-24","Universal Containers","2020-06-13",31046,234,10,1234,234,123,345
"Investments","2023-03-24","Avis","2022-02-09",47357,234,11,3421,112,322,1234
"Upstream Transportation and Distribution","2023-03-24","Office Print & Ship Services","2021-12-01",34670,112,13,2312,120,278,221
"Purchase Goods and Services","2023-03-24","Enterprise","2023-11-02",41702,800,18,3112,412,153,355
"Capital Goods","2023-03-24","KLM","2019-07-16",30468,2200,12,2207,412,123,221
"Upstream Leased Assest","2023-03-24","*Greenstone Products LTD","2019-06-20",31029,123,18,1234,112,278,1234
"Purchase Goods and Services","2023-03-24","British Airways","2022-03-03",23667,800,16,3112,234,322,345
"Downstream ","2023-03-24","Gusto Sound and Audio","2023-09-04",26972,234,4,2207,120,153,355
"Investments","2023-03-24","Alamo","2021-09-08",40272,112,14,3421,412,153,345
"Capital Goods","2023-03-24","Employnet","2020-04-15",14660,2200,1,2312,112,322,221
"Business Travel","2023-03-24","Universal Services","2023-05-03",42004,750,2,3421,234,278,1234
"Upstream Transportation and Distribution","2023-03-24","Associated Supply Co.","2022-05-15",47304,123,14,3112,120,123,355
"Investments","2023-03-24","Avis","2021-12-31",38005,112,8,2312,412,153,1234
"Upstream Leased Assest","2023-03-24","Xcel Energy","2020-08-19",22291,123,5,1234,234,278,221
"Downstream ","2023-03-24","Air France","2019-12-24",43045,123,3,2207,120,123,355
"Capital Goods","2023-03-24","Meridian Partners","2023-03-27",16799,2200,10,3421,112,322,345
"Purchase Goods and Services","2023-03-24","Constellation Energy","2020-01-30",38526,800,7,2312,120,123,345
"Upstream Transportation and Distribution","2023-03-24","Associated Supply Co.","2022-08-05",30173,234,4,1234,412,322,221
"Business Travel","2023-03-24","Roseburg Products Co","2021-05-21",40325,234,11,2207,112,278,355
"Investments","2023-03-24","Marriott","2019-10-19",19215,112,17,3112,234,153,1234
"Capital Goods","2023-03-24","Gusto Sound and Audio","2021-12-19",21513,2200,18,3421,120,278,355
"Purchase Goods and Services","2023-03-24","Green Fields Media","2022-12-13",21123,800,15,2312,112,153,221
"Upstream Leased Assest","2023-03-24","CityCab","2019-10-20",49600,123,12,2207,234,322,1234
"Downstream ","2023-03-24","JetBlue","2023-07-24",18449,112,15,3112,412,123,345
"Business Travel","2023-03-24","Hyatt","2020-01-29",17613,234,19,1234,412,278,1234
"Upstream Transportation and Distribution","2023-03-24","Test Supplier","2023-12-13",32994,123,7,2207,120,322,355
"Capital Goods","2023-03-24","Alamo","2022-02-05",10274,2200,2,1234,234,153,221
"Purchase Goods and Services","2023-03-24","Air Canada","2021-06-30",43304,800,8,2312,112,123,345
"Downstream ","2023-03-24","Big Sky & Sons","2019-08-13",43870,750,4,3421,234,123,221
"Upstream Leased Assest","2023-03-24","Budget","2020-11-09",47581,112,1,3112,412,322,355
"Investments","2023-03-24","ABC Woodworks","2019-07-15",36159,123,1,2207,120,278,1234
"Upstream Transportation and Distribution","2023-03-24","Employnet","2022-04-04",13185,234,12,3112,112,153,345
"Business Travel","2023-03-24","UlyssesNet","2023-09-06",10260,112,8,1234,120,278,345
"Downstream ","2023-03-24","General Utilities","2021-07-17",30191,123,6,3421,234,322,355
"Upstream Leased Assest","2023-03-24","Five Winds Project, LLC","2020-09-19",20136,234,5,2312,112,123,1234
"Investments","2023-03-24","Uber","2021-06-15",43955,234,11,3112,412,153,221
"Business Travel","2023-03-24","Universal Services","2020-03-10",40147,112,9,2207,120,153,221
"Purchase Goods and Services","2023-03-24","Momentum Design","2022-01-09",44395,800,4,3421,234,123,355
"Capital Goods","2023-03-24","British Airways","2023-01-06",45074,2200,20,1234,112,278,1234
"Upstream Transportation and Distribution","2023-03-24","Glasgow Water","2019-10-05",42411,234,16,2312,412,322,345
"Investments","2023-03-24","Office Print & Ship Services","2023-12-22",41496,112,8,1234,112,322,221
"Purchase Goods and Services","2023-03-24","Atlas Inc","2020-07-09",37694,800,1,3421,234,278,345
"Downstream ","2023-03-24","salesforce.com","2019-06-01",18365,123,8,3112,120,153,1234
"Business Travel","2023-03-24","Tech Labs","2021-02-02",40842,123,1,2312,412,123,355
"Upstream Leased Assest","2023-03-24","*Greenstone Products LTD","2022-04-11",13987,234,7,2207,412,153,345
"Upstream Transportation and Distribution","2023-03-24","RCE, Inc.","2022-04-29",33844,750,7,2312,120,123,355
"Capital Goods","2023-03-24","Advanced Communications","2021-04-18",32259,2200,5,2207,112,278,1234
"Investments","2023-03-24","Allied Technologies","2020-07-26",42996,112,6,1234,234,322,221
"Downstream ","2023-03-24","Lyft","2019-08-05",38431,234,15,3421,412,153,345
"Business Travel","2023-03-24","SoloTaxi","2023-01-15",25116,112,18,3112,112,278,1234
"Purchase Goods and Services","2023-03-24","Harmon Consulting","2022-01-06",23280,800,17,2207,120,123,221
"Upstream Leased Assest","2023-03-24","Valley Supply Inc.","2023-02-20",30013,123,19,2312,234,322,355
"Upstream Transportation and Distribution","2023-03-24","Southern Solutions","2019-09-18",34006,123,8,1234,412,322,221
"Capital Goods","2023-03-24","Red Studio Designs","2021-01-09",37066,2200,15,3421,234,123,345
"Capital Goods","2023-03-24","Glasgow Catering","2020-09-11",43730,2200,4,3112,112,153,355
"Purchase Goods and Services","2023-03-24","IHG","2021-09-19",44407,750,12,2312,120,278,1234
"Upstream Transportation and Distribution","2023-03-24","Hertz","2023-10-19",19922,234,17,2207,234,123,345
"Upstream Leased Assest","2023-03-24","Vand Enterprises, Inc.","2020-09-02",24069,750,8,1234,112,153,355
"Investments","2023-03-24","Laine Ltd","2019-04-06",12725,234,13,3112,120,322,221
"Business Travel","2023-03-24","United Airline","2022-06-10",46322,123,16,3421,412,278,1234
"Downstream ","2023-03-24","Good Freight Co","2021-06-03",39443,112,7,2312,120,322,345
"Upstream Leased Assest","2023-03-24","Enterprise","2019-11-04",11305,112,8,3112,412,123,355
"Upstream Transportation and Distribution","2023-03-24","Delta Airlines","2023-01-12",43917,234,20,1234,234,153,221
"Capital Goods","2023-03-24","Hilton","2020-06-15",11656,2200,3,2207,112,278,1234
"Investments","2023-03-24","Universal Containers","2022-11-03",15170,112,17,3421,234,278,355
"Purchase Goods and Services","2023-03-24","Pinnacle Partners","2022-12-21",19810,800,6,3112,112,153,221
"Downstream ","2023-03-24","KLM","2021-04-08",28965,123,5,3421,120,322,345
"Business Travel","2023-03-24","Haven Enterprises","2019-06-21",11193,234,20,2312,412,123,1234
"Capital Goods","2023-03-24","Lyft","2020-05-26",30331,2200,18,1234,412,153,221
"Downstream ","2023-03-24","Air Canada","2023-05-07",47680,112,10,2207,234,278,345
"Upstream Transportation and Distribution","2023-03-24","Universal Services","2020-02-19",25971,123,4,2207,112,322,1234
"Investments","2023-03-24","*Greenstone Products LTD","2019-01-23",20611,234,19,2312,120,123,355
"Purchase Goods and Services","2023-03-24","UlyssesNet","2023-03-24",44659,800,12,3112,120,322,221
"Business Travel","2023-03-24","Big Sky & Sons","2022-11-27",23169,750,18,3421,412,123,345
"Upstream Leased Assest","2023-03-24","Constellation Energy","2021-10-25",12871,123,5,1234,234,278,355
"Business Travel","2023-03-24","Hilton","2021-12-14",42273,123,17,1234,112,153,1234
"Downstream ","2023-03-24","ABC Woodworks","2020-07-02",26937,112,9,3112,112,123,345
"Capital Goods","2023-03-24","Valley Supply Inc.","2022-03-06",20089,2200,5,2207,234,153,221
"Investments","2023-03-24","Avis","2019-04-21",17273,234,6,3421,120,322,1234
"Upstream Leased Assest","2023-03-24","Roseburg Products Co","2023-12-06",16932,112,12,2312,412,278,355
"Upstream Transportation and Distribution","2023-03-24","Associated Supply Co.","2020-05-13",38030,123,20,1234,112,123,355
"Purchase Goods and Services","2023-03-24","JetBlue","2023-12-18",38672,800,19,3421,234,322,221
"Business Travel","2023-03-24","Hyatt","2021-03-01",18160,234,6,2207,412,153,1234
"Downstream ","2023-03-24","Haven Enterprises","2019-09-30",40037,112,20,2312,120,278,345
"Upstream Leased Assest","2023-03-24","Hertz","2022-01-28",15494,234,12,3112,120,278,355
"Investments","2023-03-24","Universal Containers","2021-01-05",11421,123,5,2207,234,123,221
"Purchase Goods and Services","2023-03-24","Tech Labs","2019-01-17",40446,800,10,1234,112,322,345
"Capital Goods","2023-03-24","British Airways","2023-05-26",38967,2200,19,3421,412,153,1234
"Upstream Transportation and Distribution","2023-03-24","Vand Enterprises, Inc.","2020-04-27",27516,750,13,2312,120,123,345
"Downstream ","2023-03-24","Enterprise","2022-02-11",21562,123,12,3112,234,278,355
"Purchase Goods and Services","2023-03-24","Glasgow Water","2019-02-09",26598,800,2,1234,412,322,221
"Business Travel","2023-03-24","Xcel Energy","2020-07-01",25340,112,9,2207,112,153,1234
"Upstream Transportation and Distribution","2023-03-24","Atlas Inc","2022-02-04",39650,234,10,3112,120,153,221
"Upstream Leased Assest","2023-03-24","Momentum Design","2021-08-04",44002,234,15,2312,112,322,1234
"Investments","2023-03-24","General Utilities","2023-03-26",43179,123,3,3421,234,278,345
"Capital Goods","2023-03-24","Southern Solutions","2023-05-21",26600,2200,15,3112,412,123,355
"Purchase Goods and Services","2023-03-24","Air France","2019-04-18",41641,800,12,2207,234,278,221
"Business Travel","2023-03-24","Marriott","2021-05-10",21494,112,14,1234,120,153,355
"Capital Goods","2023-03-24","IHG","2020-07-16",42107,2200,3,3421,412,123,1234
"Upstream Transportation and Distribution","2023-03-24","Five Winds Project, LLC","2022-03-31",21140,112,5,2312,112,322,345
"Investments","2023-03-24","Laine Ltd","2023-05-13",26356,234,15,2312,112,322,1234
"Upstream Leased Assest","2023-03-24","Test Supplier","2019-06-14",47807,750,13,1234,234,278,355
"Downstream ","2023-03-24","Meridian Partners","2020-10-05",40244,123,14,3112,412,153,345
"Purchase Goods and Services","2023-03-24","Red Studio Designs","2021-03-29",41209,800,3,3421,120,123,221
"Business Travel","2023-03-24","Gusto Sound and Audio","2022-07-31",16569,112,1,2207,112,278,221
"Upstream Transportation and Distribution","2023-03-24","KLM","2022-04-08",14355,123,1,1234,234,322,355
"Capital Goods","2023-03-24","salesforce.com","2020-12-04",49901,2200,16,3421,120,123,345
"Upstream Leased Assest","2023-03-24","Delta Airlines","2023-05-18",35547,112,4,3112,412,153,1234
"Downstream ","2023-03-24","Budget","2021-03-06",48170,234,14,2207,234,322,221
"Investments","2023-03-24","United Airline","2019-01-08",36812,234,2,2312,112,278,355
"Downstream ","2023-03-24","Glasgow Catering","2021-11-27",28013,123,10,3112,120,153,1234
"Business Travel","2023-03-24","Good Freight Co","2019-02-16",22861,234,15,2312,412,123,345
"Upstream Leased Assest","2023-03-24","RCE, Inc.","2023-02-13",19981,112,10,3421,234,123,221
"Upstream Transportation and Distribution","2023-03-24","Employnet","2022-09-30",25823,123,11,2207,120,278,355
"Purchase Goods and Services","2023-03-24","Uber","2020-10-01",24343,750,10,1234,112,322,345
"Capital Goods","2023-03-24","Allied Technologies","2019-08-18",29238,2200,4,3112,412,153,1234
"Investments","2023-03-24","SoloTaxi","2021-04-22",43686,112,2,1234,112,278,345
"Purchase Goods and Services","2023-03-24","Alamo","2022-04-28",42145,800,4,3421,120,123,221
"Upstream Leased Assest","2023-03-24","CityCab","2020-08-19",29227,234,14,2312,412,153,1234
"Capital Goods","2023-03-24","Harmon Consulting","2023-12-04",33603,2200,2,2207,234,322,355
"Investments","2023-03-24","Pinnacle Partners","2021-05-10",12409,750,6,2312,120,322,1234
"Upstream Transportation and Distribution","2023-03-24","Advanced Communications","2020-08-08",48858,112,1,3421,234,278,221
"Business Travel","2023-03-24","Office Print & Ship Services","2019-06-18",33117,123,16,3112,112,123,345
"Downstream ","2023-03-24","Green Fields Media","2022-04-14",39720,123,11,1234,412,153,355
"Capital Goods","2023-03-24","Hyatt","2023-09-01",34779,800,16,2207,412,278,1234
"Upstream Leased Assest","2023-03-24","IHG","2021-05-02",33401,234,13,2207,234,153,345
"Purchase Goods and Services","2023-03-24","RCE, Inc.","2019-07-06",46860,800,7,3421,120,322,221
"Downstream ","2023-03-24","Associated Supply Co.","2022-01-23",49057,112,9,3112,112,123,355
"Business Travel","2023-03-24","UlyssesNet","2020-05-29",37752,234,10,1234,412,123,1234
"Investments","2023-03-24","Tech Labs","2023-04-01",10337,123,17,2312,120,322,345
"Upstream Transportation and Distribution","2023-03-24","CityCab","2022-10-08",19335,234,18,2207,234,278,221
"Upstream Leased Assest","2023-03-24","Gusto Sound and Audio","2020-07-18",12678,123,1,3112,112,153,355
"Business Travel","2023-03-24","Universal Services","2019-09-27",26177,750,8,3421,412,278,355
"Capital Goods","2023-03-24","Budget","2021-08-10",13372,2200,3,1234,120,123,221
"Purchase Goods and Services","2023-03-24","Southern Solutions","2023-11-20",30492,800,7,2312,234,322,345
"Upstream Transportation and Distribution","2023-03-24","Hilton","2022-07-21",17898,112,10,3421,112,153,1234
"Investments","2023-03-24","Office Print & Ship Services","2021-03-25",26958,112,14,3112,112,278,1234
"Downstream ","2023-03-24","Roseburg Products Co","2019-07-27",34292,123,13,2312,412,322,355
"Downstream ","2023-03-24","KLM","2023-08-07",33975,234,14,1234,234,153,221
"Upstream Transportation and Distribution","2023-03-24","Good Freight Co","2020-02-27",14521,112,15,2207,120,123,345
"Purchase Goods and Services","2023-03-24","General Utilities","2020-04-14",38375,800,5,1234,112,123,221
"Investments","2023-03-24","Advanced Communications","2019-08-24",47946,123,13,3421,234,322,1234
"Business Travel","2023-03-24","Uber","2023-08-23",44264,234,20,3112,412,278,345
"Capital Goods","2023-03-24","Enterprise","2022-11-15",46048,2200,5,2312,120,153,355
"Upstream Leased Assest","2023-03-24","Lyft","2021-02-20",44952,112,7,2207,234,153,221
"Investments","2023-03-24","*Greenstone Products LTD","2019-04-10",40002,234,14,2207,120,278,1234
"Downstream ","2023-03-24","Pinnacle Partners","2023-01-15",23797,750,11,2312,112,322,345
"Purchase Goods and Services","2023-03-24","Allied Technologies","2020-06-28",21622,800,12,1234,412,123,355
"Capital Goods","2023-03-24","ABC Woodworks","2022-09-15",12935,2200,9,3421,412,278,355
"Business Travel","2023-03-24","Xcel Energy","2021-06-05",41880,112,19,3112,112,123,221
"Upstream Leased Assest","2023-03-24","Avis","2020-05-12",47686,234,11,3421,120,153,345
"Upstream Transportation and Distribution","2023-03-24","Air Canada","2023-02-22",44989,123,5,2312,234,322,1234
"Capital Goods","2023-03-24","Alamo","2019-08-16",11563,2200,11,2207,412,322,355
"Upstream Leased Assest","2023-03-24","SoloTaxi","2022-08-18",25032,123,3,3112,234,153,345
"Purchase Goods and Services","2023-03-24","Delta Airlines","2021-11-24",43844,800,16,1234,112,123,221
"Downstream ","2023-03-24","JetBlue","2020-07-02",11897,234,9,2312,120,278,1234
"Investments","2023-03-24","Glasgow Water","2021-10-16",34788,112,10,1234,112,278,1234
"Business Travel","2023-03-24","salesforce.com","2023-11-21",20224,123,11,3112,234,153,355
"Upstream Transportation and Distribution","2023-03-24","Atlas Inc","2019-11-19",46641,112,10,3421,120,123,221
"Downstream ","2023-03-24","Green Fields Media","2022-01-19",32738,123,19,2207,412,322,345
"Upstream Leased Assest","2023-03-24","Harmon Consulting","2021-05-21",28700,234,2,2312,112,322,345
"Purchase Goods and Services","2023-03-24","Universal Containers","2023-11-12",14748,800,13,3421,120,153,355
"Investments","2023-03-24","Constellation Energy","2022-10-29",21085,112,7,1234,412,278,221
"Upstream Transportation and Distribution","2023-03-24","Marriott","2020-05-01",44872,123,1,3112,234,123,1234
"Capital Goods","2023-03-24","Employnet","2019-02-11",33708,2200,6,2207,112,322,345
"Business Travel","2023-03-24","Air France","2019-01-30",47821,234,8,1234,234,123,355
"Upstream Leased Assest","2023-03-24","United Airline","2022-05-28",33913,750,15,2312,120,278,1234
"Upstream Transportation and Distribution","2023-03-24","Momentum Design","2020-12-15",12150,112,14,3112,412,153,221
"Capital Goods","2023-03-24","Test Supplier","2021-08-04",38789,2200,19,2207,234,153,355
"Business Travel","2023-03-24","Five Winds Project, LLC","2023-11-25",36205,123,12,3421,120,278,221
"Purchase Goods and Services","2023-03-24","Meridian Partners","2023-04-27",35153,800,13,3421,412,123,345
"Investments","2023-03-24","Big Sky & Sons","2020-06-08",21884,234,6,2312,112,322,1234
"Downstream ","2023-03-24","British Airways","2021-05-24",43942,234,8,3112,120,278,345
"Purchase Goods and Services","2023-03-24","Vand Enterprises, Inc.","2022-03-17",34303,750,5,1234,234,153,355
"Upstream Transportation and Distribution","2023-03-24","Valley Supply Inc.","2019-10-24",39907,112,8,2207,112,123,221
"Investments","2023-03-24","Laine Ltd","2020-03-14",33397,123,13,3112,412,322,1234
"Downstream ","2023-03-24","Glasgow Catering","2023-07-23",15716,112,4,2207,112,322,355
"Upstream Leased Assest","2023-03-24","Haven Enterprises","2019-05-10",21338,750,2,2312,120,123,345
"Business Travel","2023-03-24","Hertz","2021-06-17",36481,234,11,3421,412,153,1234
"Capital Goods","2023-03-24","Red Studio Designs","2022-12-18",20521,2200,6,1234,234,278,221
"Capital Goods","2023-03-24","Harmon Consulting","2023-02-05",33694,2200,16,3421,120,123,355
"Downstream ","2023-03-24","Xcel Energy","2020-12-09",21466,234,8,1234,234,278,1234
"Investments","2023-03-24","Hilton","2022-05-24",47319,112,1,3112,112,322,345
"Upstream Leased Assest","2023-03-24","Momentum Design","2021-11-25",24636,123,19,2207,412,153,221
"Purchase Goods and Services","2023-03-24","salesforce.com","2019-09-02",44556,800,7,2312,120,278,345
"Upstream Transportation and Distribution","2023-03-24","Meridian Partners","2021-04-20",26737,123,20,3112,112,153,1234
"Business Travel","2023-03-24","Lyft","2019-03-19",20021,234,15,2312,234,123,221
"Capital Goods","2023-03-24","United Airline","2022-05-06",30725,2200,10,3421,412,322,355
"Upstream Leased Assest","2023-03-24","Employnet","2023-11-14",20705,112,1,1234,120,322,1234
"Purchase Goods and Services","2023-03-24","Alamo","2020-01-28",26777,800,20,2207,112,153,355
"Downstream ","2023-03-24","General Utilities","2021-10-03",35913,123,7,2207,234,123,221
"Upstream Transportation and Distribution","2023-03-24","IHG","2019-07-29",12689,234,2,1234,412,278,345
"Business Travel","2023-03-24","Good Freight Co","2020-07-13",30559,112,11,2312,112,278,221
"Investments","2023-03-24","Hyatt","2022-05-08",45515,750,2,3112,120,123,345
"Downstream ","2023-03-24","Universal Services","2023-07-17",32658,112,9,3421,412,153,1234
"Investments","2023-03-24","Southern Solutions","2019-02-28",37417,123,11,1234,234,322,355
"Purchase Goods and Services","2023-03-24","Delta Airlines","2023-09-12",21075,800,11,2312,120,278,221
"Capital Goods","2023-03-24","Air France","2021-05-08",48870,2200,12,3112,412,153,345
"Upstream Transportation and Distribution","2023-03-24","Test Supplier","2022-03-27",47372,123,10,3421,112,123,1234
"Business Travel","2023-03-24","Big Sky & Sons","2020-01-05",49549,234,4,2207,234,322,355
"Upstream Leased Assest","2023-03-24","Laine Ltd","2023-07-04",34325,112,3,2312,112,322,355
"Investments","2023-03-24","Office Print & Ship Services","2019-08-12",28676,234,12,1234,412,278,1234
"Business Travel","2023-03-24","UlyssesNet","2020-01-16",24816,123,8,2207,120,153,221
"Capital Goods","2023-03-24","Green Fields Media","2021-07-08",24764,2200,3,3421,234,123,345
"Purchase Goods and Services","2023-03-24","Air Canada","2022-03-17",49438,800,17,3112,412,123,345
"Upstream Transportation and Distribution","2023-03-24","Roseburg Products Co","2020-04-07",36337,112,16,2207,112,278,221
"Upstream Leased Assest","2023-03-24","Budget","2021-08-13",26501,234,1,1234,234,322,1234
"Downstream ","2023-03-24","Tech Labs","2022-11-09",15549,750,17,3112,120,153,355
"Capital Goods","2023-03-24","Associated Supply Co.","2019-11-08",23931,2200,5,3421,234,153,1234
"Investments","2023-03-24","Haven Enterprises","2023-06-18",35766,112,11,2312,112,278,345
"Purchase Goods and Services","2023-03-24","Hertz","2023-07-06",14796,800,10,3421,412,123,355
"Upstream Leased Assest","2023-03-24","ABC Woodworks","2020-06-24",34543,123,12,3112,120,322,221
"Upstream Transportation and Distribution","2023-03-24","Atlas Inc","2022-11-20",22001,123,11,2312,112,123,355
"Business Travel","2023-03-24","Marriott","2019-05-17",17127,234,12,1234,120,322,1234
"Downstream ","2023-03-24","CityCab","2021-09-02",34347,234,4,2207,412,153,221
"Purchase Goods and Services","2023-03-24","Gusto Sound and Audio","2019-05-28",46719,800,9,3112,234,278,345
"Capital Goods","2023-03-24","Valley Supply Inc.","2020-01-15",45824,2200,11,3421,412,322,355
"Upstream Transportation and Distribution","2023-03-24","British Airways","2023-11-05",28264,112,2,1234,234,153,1234
"Downstream ","2023-03-24","Five Winds Project, LLC","2021-07-12",42570,123,17,2207,120,123,345
