"Fuel_Type","AccountId","Asset_Category","Asset","AssetExternalId","AccountExternalId","Asset_Type","CountryCode","LastProcessedDate","Date","Business_Region","AssetId","AccountName","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Diesel",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2022-02-15","Southeast Asia","0phB00000004MmsIAE",,76,1130,400000,28,135000,150000,56634,11,4.97,57857,301,3560,23454,123678,15000000,1640,22345,9,10.02,19496,9279,66544,36419,31023124,453000,12454,87529,14000,105,11.7,18608,941,4.5,40500
"Electricity",,"Data Center","*Business Travel FY21","Scope3source1",,"Data Center","IRL","2023-09-18","2022-01-12","Central Asia",,,78,2960,450000,6,154000,250000,56634,17,0.01,66000,65,3139,34345,150000,15000000,2068,21234,4,0.02,17944,9106,34124,34727,31023124,410000,12354,7039,33000,275,11.7,21323,829,4.5,46200
"Propane",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2022-11-13","Southeast Asia","0phB00000004MmsIAE",,78,2314,400000,20,135000,250000,67688,22,4.97,38571,215,3139,34345,100000,15000000,353,22345,4,10.02,14571,3769,66544,32285,29000000,397000,12454,8444,3438000,215,12.5,18608,829,1.5,27000
"Cooling",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2022-04-26","Southeast Asia","0phB00000004MmsIAE",,87,4607,350000,6,154000,250000,67688,26,4.97,55000,65,3139,34345,150000,14000000,785,21234,4,10.02,11531,9655,45443,33303,29000000,413000,12354,73220,35000,428,12.1,15000,829,6,38500
"Steam",,"Scope 3","*Business Travel FY21","Scope3source1",,"Scope 3","USA","2023-09-18","2023-06-03","LATAM",,,32,2852,350000,18,154000,150000,56634,4,0.24,55000,194,3560,23454,100000,14000000,2109,22345,8,0.59,18422,5096,34124,90775,35000000,436000,12354,7391,2108000,265,13.8,15000,941,5.2,38500
"Electricity",,"Scope 3","*Business Travel FY21","Scope3source1",,"Scope 3","IRL","2023-09-18","2021-03-01","North America",,,73,4618,450000,3,135000,300000,76855,20,0.01,48214,32,3560,43566,100000,15000000,845,34543,5,0.02,18015,8013,66544,23605,31023124,441000,12354,72971,12000,429,13.3,18608,941,5.2,33750
"Diesel",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2022-06-30","Southeast Asia","0phB00000004MmsIAE",,45,1496,250000,1,154000,250000,56634,22,4.97,44000,11,3139,34345,123678,15000000,1511,34543,10,10.02,10271,4143,45443,12648,29000000,358000,12454,98773,15000,139,12,15000,829,4.3,30800
"Heat",,"Data Center","*Business Travel FY21","Scope3source1",,"Data Center","IND","2023-09-18","2020-10-26","ANZ",,,31,4607,350000,26,154000,250000,67688,28,4.97,55000,280,500,43566,123678,14000000,499,34543,3,10.02,19388,9418,66544,64668,35000000,392000,12454,83124,2944000,428,12.4,18608,132,4.9,38500
"FuelOil",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2021-07-15","Southeast Asia","0phB00000004MmsIAE",,49,850,400000,21,154000,150000,67688,13,4.97,55000,226,3560,43566,123678,14000000,1886,21234,7,10.02,15309,9985,66544,84977,35000000,437000,53423,77410,2013000,79,11.4,21323,941,3.1,38500
"FuelOil",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2021-04-23","Southeast Asia","0phB00000004MmsIAE",,38,388,400000,17,135000,250000,56634,25,4.97,48214,183,3560,23454,100000,14000000,969,34543,6,10.02,17770,5334,66544,56626,35000000,392000,12454,16988,29000,36,10.3,21323,941,4.8,33750
"Propane",,"Scope 3","*Business Travel FY21","Scope3source1",,"Scope 3","IRL","2023-09-18","2023-12-01","South America",,,43,2486,350000,29,135000,250000,56634,30,0.01,48214,312,3560,43566,100000,14000000,1494,21234,5,0.02,14835,9459,45443,75669,29000000,436000,12354,17078,3032000,231,12.5,21323,941,2.7,33750
"FuelOil",,"Scope 3","*Business Travel FY21","Scope3source1",,"Scope 3","BRA","2023-09-18","2023-04-30","ANZ",,,76,3100,400000,3,154000,250000,56634,19,1.05,55000,32,3560,34345,123678,14000000,1461,34543,10,2.13,10087,3605,66544,68595,29000000,499000,53423,4021,2178000,288,14.7,15000,941,4.2,38500
"Diesel",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2022-12-16","Southeast Asia","0phB00000004MmsIAE",,58,1711,400000,19,154000,250000,56634,2,4.97,33000,205,3139,23454,150000,14000000,378,22345,3,10.02,14345,9036,34124,90759,35000000,398000,12354,86018,12000,159,10.7,15000,829,4.3,23100
"Propane",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2020-04-23","Southeast Asia","0phB00000004MmsIAE",,86,3746,350000,25,154000,250000,56634,29,4.97,55000,269,3139,34345,100000,17000000,583,34543,5,10.02,12566,7881,45443,16805,29000000,446000,53423,75640,32000,348,14.5,18608,829,1.7,38500
"Refrigerant",,"Data Center","*Business Travel FY21","Scope3source1",,"Data Center","ARG","2023-09-18","2022-08-17","South America",,,65,4585,400000,15,135000,250000,76855,7,0.19,48214,161,3139,43566,123678,17000000,1761,21234,3,0.37,17992,5913,66544,74926,35000000,410000,53423,17607,17000,426,11,18608,829,4.6,33750
"Natural Gas",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2021-12-20","Southeast Asia","0phB00000004MmsIAE",,36,4682,450000,23,120000,250000,56634,26,4.97,42857,248,3560,34345,100000,14000000,1580,22345,10,10.02,13113,7238,45443,59696,29000000,402000,12354,72320,28000,435,11.7,21323,941,2.6,30000
"Diesel",,"Data Center","*Business Travel FY21","Scope3source1",,"Data Center","CHN","2023-09-18","2020-02-20","Southeast Asia",,,41,1485,400000,24,135000,250000,56634,1,3.2,38571,258,3139,23454,100000,14000000,407,34543,8,3.12,11980,5468,66544,12417,29000000,375000,12454,5506,11000,138,10.5,21323,829,2,27000
"Electricity",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2022-04-09","Southeast Asia","0phB00000004MmsIAE",,34,183,400000,7,135000,150000,76855,19,4.97,38571,75,3139,34345,150000,15000000,1690,22345,3,10.02,16433,9216,34124,58820,29000000,481000,12454,9038,2204000,17,11.6,15000,829,5.6,27000
"Diesel",,"Scope 3","*Business Travel FY21","Scope3source1",,"Scope 3","CAN","2023-09-18","2020-05-31","Southeast Asia",,,75,506,400000,30,135000,300000,76855,27,2.68,38571,323,500,23454,150000,14000000,451,22345,10,5.4,11925,6074,66544,75005,35000000,474000,12354,81289,2940000,47,11.8,18608,132,0.3,27000
"Cooling",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2022-12-25","Southeast Asia","0phB00000004MmsIAE",,37,1679,400000,7,135000,300000,76855,25,4.97,28929,75,3139,23454,123678,15000000,1961,22345,8,10.02,19417,8510,34124,76405,35000000,392000,12454,77238,16000,156,14.9,18608,829,1.6,20250
"Heat",,"Scope 3","*Business Travel FY21","Scope3source1",,"Scope 3","CAN","2023-09-18","2023-02-17","EMEA",,,100,4187,350000,11,154000,250000,56634,6,2.68,55000,118,3560,34345,150000,14000000,1723,34543,4,5.4,12345,9562,66544,28615,31023124,419000,12454,90437,3291000,389,12.1,15000,941,3.2,38500
"Cooling",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2020-01-03","Southeast Asia","0phB00000004MmsIAE",,41,3983,250000,8,154000,350000,67688,7,4.97,33000,86,3139,34345,100000,17000000,494,34543,4,10.02,19249,5031,45443,58931,29000000,469000,12454,96039,32000,370,13.1,18608,829,3.4,23100
"Propane",,"Data Center","*Business Travel FY21","Scope3source1",,"Data Center","SGP","2023-09-18","2021-12-19","Central America",,,32,3961,350000,29,135000,150000,76855,12,0.42,38571,312,500,34345,123678,15000000,1383,21234,5,0.85,10152,6013,34124,41862,35000000,499000,12354,87862,3059000,368,13.2,15000,132,2.4,27000
"Natural Gas",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2022-04-26","Southeast Asia","0phB00000004MmsIAE",,45,4133,450000,30,135000,250000,56634,20,4.97,38571,323,3139,23454,123678,17000000,2073,22345,8,10.02,12426,7066,66544,46472,31023124,435000,12354,99247,2288000,384,11.9,21323,829,2.2,27000
"Steam",,"Data Center","*Business Travel FY21","Scope3source1",,"Data Center","IRL","2023-09-18","2020-01-17","LATAM",,,96,441,400000,1,120000,300000,76855,12,0.01,51429,11,3139,34345,123678,17000000,687,34543,4,0.02,14762,4604,45443,23885,31023124,472000,53423,2789,12000,41,13.2,21323,829,3.9,36000
"FuelOil",,"Data Center","*Business Travel FY21","Scope3source1",,"Data Center","IND","2023-09-18","2020-08-10","LATAM",,,96,2799,400000,9,135000,250000,76855,8,4.97,57857,97,500,34345,123678,15000000,1114,34543,3,10.02,13074,5134,34124,52340,31023124,471000,12354,76216,3365000,260,12.5,18608,132,1.5,40500
"Heat",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2023-09-08","Southeast Asia","0phB00000004MmsIAE",,87,2336,250000,25,120000,250000,76855,8,4.97,42857,269,3560,34345,100000,17000000,1044,34543,5,10.02,18588,4254,34124,41747,35000000,414000,12354,5309,3338000,217,11.3,18608,941,4.8,30000
"Propane",,"Stationary","Longs Tower East","SDO.006",,"Commercial Building","IND","2023-09-18","2023-08-13","Southeast Asia","0phB00000004MmsIAE",,38,2669,250000,17,135000,250000,76855,22,4.97,38571,183,3560,34345,150000,15000000,1215,34543,10,10.02,13257,5766,34124,96997,29000000,362000,12354,97759,18000,248,12.5,18608,941,2.5,27000
"Cooling",,"Scope 3","*Business Travel FY21","Scope3source1",,"Scope 3","GBR","2023-09-18","2022-04-20","Southeast Asia",,,86,1109,350000,10,154000,250000,67688,4,5.99,44000,108,3139,34345,100000,14000000,1630,22345,3,12.14,12459,8790,45443,37858,31023124,478000,12354,76589,2356000,103,10.8,18608,829,5.3,30800
"Cooling",,"Scope 3","Business Travel FY20","S3DO.006",,"Scope 3","USA","2023-09-18","2021-06-22","LATAM",,,66,452,350000,20,120000,150000,56634,17,0.24,51429,215,500,34345,150000,15000000,2275,22345,3,0.59,19743,7447,45443,36056,35000000,386000,12354,98700,2494000,42,11.4,15000,132,1.9,36000
"Natural Gas","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2020-01-19","South America",,"Yubo Corporation",52,2960,300000,21,154000,350000,76855,6,1.05,55000,226,3560,23454,123678,14000000,1129,34543,9,2.13,13872,7464,34124,47474,31023124,428000,12454,81975,21000,275,11.1,18608,941,2.3,38500
"Diesel",,"Scope 3","Value Chain","waste7",,"Scope 3","SGP","2023-09-18","2020-06-12","Central Asia",,,67,4263,400000,21,120000,150000,76855,28,0.42,34286,226,3560,23454,123678,17000000,1075,34543,4,0.85,15313,6132,34124,41827,31023124,351000,12354,17176,2647000,396,11.1,15000,941,5.3,24000
"Diesel","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2020-06-17","South America",,"Yubo Corporation",57,1345,350000,9,120000,250000,56634,13,1.05,51429,97,500,34345,123678,15000000,326,22345,5,2.13,18501,5089,34124,47694,31023124,352000,12454,91204,2761000,125,10.9,18608,132,4.6,36000
"Steam",,"Scope 3","Value Chain","waste7",,"Scope 3","GBR","2023-09-18","2022-10-29","ANZ",,,88,1033,450000,8,154000,250000,56634,15,5.99,33000,86,3139,34345,150000,17000000,1486,34543,7,12.14,18641,4385,66544,32602,31023124,438000,53423,98383,3406000,96,13.7,15000,829,2.4,23100
"Electricity",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","MAR","2023-09-18","2020-07-02","LATAM",,,49,377,400000,21,135000,250000,67688,14,0.22,38571,226,3139,23454,150000,15000000,839,21234,10,0.45,13425,5478,34124,50790,35000000,446000,53423,15623,10000,35,11.4,15000,829,0.5,27000
"FuelOil",,"Data Center","Value Chain","waste7",,"Data Center","CAN","2023-09-18","2020-07-09","EMEA",,,72,1733,400000,3,120000,150000,56634,7,2.68,42857,32,3560,43566,123678,15000000,1709,34543,6,5.4,10222,6230,34124,58232,31023124,483000,53423,98020,2005000,161,13.7,18608,941,3,30000
"Diesel",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","MAR","2023-09-18","2022-04-04","Europe",,,30,3003,400000,7,120000,300000,76855,13,0.22,25714,75,3139,43566,100000,14000000,463,22345,5,0.45,10843,9946,66544,40021,31023124,418000,12454,7663,3338000,279,11,15000,829,2.7,18000
"Propane","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2023-11-25","South America",,"Yubo Corporation",86,2680,400000,20,135000,250000,76855,19,1.05,57857,215,3560,34345,150000,14000000,740,22345,3,2.13,18836,4809,34124,94218,31023124,450000,53423,95677,2005000,249,13.1,21323,941,5.6,40500
"Natural Gas","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2022-09-11","South America",,"Yubo Corporation",56,2196,400000,16,135000,250000,56634,30,1.05,57857,172,3139,43566,123678,14000000,1474,21234,3,2.13,16969,5306,34124,14755,29000000,354000,12454,81236,3351000,204,14.9,18608,829,4.6,40500
"FuelOil",,"Scope 3","Value Chain","waste7",,"Scope 3","ARG","2023-09-18","2021-05-25","Central America",,,86,172,350000,17,120000,150000,76855,22,0.19,25714,183,3560,43566,150000,15000000,503,22345,7,0.37,13016,5137,34124,13793,29000000,490000,12354,88710,3451000,16,13.9,15000,941,4.8,18000
"Propane",,"Scope 3","Business Travel FY20","S3DO.006",,"Scope 3","CHN","2023-09-18","2023-07-30","AMER",,,56,4650,350000,29,135000,300000,67688,13,3.2,28929,312,3560,23454,123678,17000000,953,34543,7,3.12,17736,4270,45443,82703,29000000,496000,53423,74804,2217000,432,12.1,21323,941,3.5,20250
"Refrigerant",,"Data Center","Value Chain","waste7",,"Data Center","BRA","2023-09-18","2021-08-25","Middle East",,,99,753,350000,19,120000,350000,56634,22,1.05,34286,205,3560,23454,150000,17000000,877,21234,4,2.13,10382,8731,45443,39815,29000000,408000,12354,19430,2561000,70,12.1,21323,941,3.6,24000
"Propane",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","MAR","2023-09-18","2020-03-15","Central Asia",,,93,1722,250000,13,135000,300000,67688,12,0.22,57857,140,3139,34345,150000,14000000,897,22345,3,0.45,19241,9811,45443,33315,31023124,450000,12354,71243,2423000,160,14,21323,829,3.8,40500
"Cooling","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2023-09-11","South America",,"Yubo Corporation",88,1647,400000,21,135000,250000,56634,23,1.05,28929,226,3560,43566,123678,17000000,1213,22345,10,2.13,18535,9181,66544,98304,29000000,380000,12454,96291,15000,153,11.2,21323,941,4.9,20250
"Refrigerant","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2021-10-31","South America",,"Yubo Corporation",98,3918,300000,16,120000,350000,56634,15,1.05,51429,172,3139,23454,100000,17000000,501,21234,4,2.13,10705,3078,45443,37640,35000000,419000,12354,2870,31000,364,14.9,15000,829,1.6,36000
"Cooling",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","SGP","2023-09-18","2023-09-21","APAC",,,68,2648,400000,17,135000,300000,76855,21,0.42,28929,183,3560,43566,100000,17000000,1917,21234,3,0.85,18447,6622,34124,12629,31023124,361000,12354,94412,3458000,246,12.1,18608,941,1.1,20250
"Steam",,"Scope 3","Value Chain","waste7",,"Scope 3","CAN","2023-09-18","2020-07-19","LATAM",,,65,3993,350000,18,120000,300000,56634,14,2.68,34286,194,500,23454,150000,17000000,602,34543,3,5.4,19898,8747,34124,55393,29000000,463000,12354,82681,3475000,371,11.9,18608,132,5.3,24000
"Electricity","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2022-08-13","South America",,"Yubo Corporation",65,1281,350000,17,120000,250000,56634,20,1.05,42857,183,3139,34345,123678,15000000,2202,34543,7,2.13,16223,9674,45443,12800,29000000,499000,12354,89300,27000,119,12.2,21323,829,5.1,30000
"Refrigerant",,"Scope 3","Value Chain","waste7",,"Scope 3","IRL","2023-09-18","2023-06-07","Central America",,,73,4607,350000,14,154000,300000,76855,5,0.01,66000,151,3560,23454,100000,17000000,1572,21234,9,0.02,12067,7115,34124,59941,35000000,365000,12454,1983,2228000,428,11.2,18608,941,2.9,46200
"Propane",,"Scope 3","Business Travel FY20","S3DO.006",,"Scope 3","FRA","2023-09-18","2021-09-05","South America",,,69,1485,250000,30,135000,250000,56634,19,3.39,57857,323,3139,34345,150000,14000000,515,21234,6,6.87,15566,6713,34124,54320,29000000,432000,53423,4842,29000,138,11.1,15000,829,5.1,40500
"Refrigerant","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2022-10-28","South America",,"Yubo Corporation",70,1884,350000,19,120000,150000,76855,22,1.05,51429,205,3139,43566,150000,14000000,833,22345,9,2.13,19980,8888,34124,32112,31023124,422000,12454,75202,30000,175,14.2,15000,829,5.6,36000
"Propane",,"Scope 3","Business Travel FY20","S3DO.006",,"Scope 3","BRA","2023-09-18","2021-05-31","North America",,,55,409,400000,7,135000,250000,67688,17,1.05,48214,75,500,34345,100000,17000000,1944,34543,6,2.13,16247,9481,34124,70352,35000000,431000,12354,15871,13000,38,12.2,18608,132,5.4,33750
"Natural Gas",,"Data Center","Value Chain","waste7",,"Data Center","SGP","2023-09-18","2020-03-29","EMEA",,,81,4736,450000,28,120000,350000,56634,15,0.42,25714,301,3139,23454,123678,14000000,1621,22345,9,0.85,17232,8217,45443,86095,31023124,371000,53423,5696,3090000,440,10.1,15000,829,3.3,18000
"Steam","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2023-12-03","South America",,"Yubo Corporation",37,398,400000,22,135000,250000,56634,20,1.05,38571,237,3560,23454,123678,15000000,1597,22345,9,2.13,14561,4311,66544,47700,29000000,459000,12454,92038,23000,37,12,21323,941,2.2,27000
"Electricity",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","JPN","2023-09-18","2021-08-03","AMER",,,88,893,450000,9,120000,300000,67688,13,2.52,42857,97,500,34345,150000,14000000,1353,34543,3,5.15,11063,5370,45443,41160,31023124,350000,53423,4382,2338000,83,11.2,18608,132,2.5,30000
"Natural Gas",,"Scope 3","Value Chain","waste7",,"Scope 3","CHN","2023-09-18","2023-11-22","South America",,,54,2497,450000,1,154000,150000,67688,24,3.2,55000,11,3560,23454,150000,15000000,838,22345,9,3.12,12215,3682,45443,64079,35000000,432000,12354,77836,12000,232,13.2,18608,941,4.2,38500
"Diesel","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2021-10-11","South America",,"Yubo Corporation",59,1044,350000,24,154000,300000,67688,3,1.05,33000,258,3560,23454,150000,14000000,1799,22345,7,2.13,18246,9745,34124,51964,31023124,485000,53423,98800,2132000,97,10.8,15000,941,2,23100
"Diesel",,"Scope 3","Business Travel FY20","S3DO.006",,"Scope 3","SGP","2023-09-18","2022-06-18","LATAM",,,98,2207,400000,30,154000,150000,76855,4,0.42,33000,323,3139,43566,123678,17000000,836,34543,10,0.85,10808,3596,66544,27459,31023124,399000,12454,18532,17000,205,12,18608,829,5.7,23100
"Steam",,"Data Center","Value Chain","waste7",,"Data Center","CHN","2023-09-18","2021-03-01","Central Asia",,,65,743,300000,16,135000,250000,67688,29,3.2,48214,172,500,23454,150000,14000000,1949,22345,6,3.12,17267,5000,45443,70803,29000000,420000,53423,8143,2996000,69,10.6,15000,132,5.1,33750
"FuelOil",,"Scope 3","Value Chain","waste7",,"Scope 3","MAR","2023-09-18","2020-01-26","Southeast Asia",,,44,4047,400000,15,154000,300000,67688,1,0.22,55000,161,3560,34345,150000,15000000,781,22345,6,0.45,18481,7993,34124,48633,29000000,462000,12354,4663,10000,376,11.5,18608,941,5.3,38500
"Natural Gas","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2021-12-30","South America",,"Yubo Corporation",92,4564,450000,13,120000,350000,56634,7,1.05,51429,140,3139,34345,100000,17000000,1604,22345,3,2.13,15354,7185,34124,80206,35000000,483000,12454,75650,2770000,424,14.4,21323,829,6,36000
"Heat",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","CHN","2023-09-18","2023-12-14","LATAM",,,96,4080,400000,22,154000,250000,76855,17,3.2,55000,237,3560,43566,150000,17000000,1704,34543,10,3.12,14959,8554,66544,34428,31023124,436000,12454,17089,3318000,379,14.3,15000,941,2.6,38500
"Steam","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2023-01-25","South America",,"Yubo Corporation",44,2207,400000,11,120000,250000,76855,13,1.05,34286,118,3560,23454,150000,14000000,1729,34543,3,2.13,10781,7900,34124,38050,29000000,426000,12454,1407,30000,205,14.5,15000,941,1.2,24000
"Heat",,"Data Center","Value Chain","waste7",,"Data Center","IND","2023-09-18","2023-05-28","Southeast Asia",,,75,3380,350000,4,154000,250000,76855,22,4.97,33000,43,3560,43566,123678,15000000,2296,22345,4,10.02,17677,4174,45443,64082,35000000,364000,12454,6810,3403000,314,11.4,21323,941,1.9,23100
"Diesel",,"Scope 3","Business Travel FY20","S3DO.006",,"Scope 3","GBR","2023-09-18","2023-07-06","Central Asia",,,93,2174,400000,9,135000,350000,67688,26,5.99,28929,97,3560,43566,100000,17000000,1527,21234,6,12.14,17432,9315,66544,54656,31023124,380000,53423,90888,33000,202,13.6,21323,941,2.6,20250
"Natural Gas",,"Data Center","Value Chain","waste7",,"Data Center","MAR","2023-09-18","2023-03-16","EMEA",,,60,560,450000,8,120000,350000,67688,26,0.22,51429,86,3560,43566,100000,15000000,1159,22345,3,0.45,15303,4082,34124,82158,29000000,480000,12454,19031,31000,52,10,21323,941,2.4,36000
"Cooling","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2022-09-06","South America",,"Yubo Corporation",92,1033,400000,30,154000,250000,67688,9,1.05,33000,323,3139,23454,150000,15000000,1994,34543,10,2.13,12884,7968,66544,49198,31023124,411000,12354,86357,3498000,96,14.2,21323,829,2.8,23100
"Steam",,"Scope 3","Business Travel FY20","S3DO.006",,"Scope 3","IND","2023-09-18","2021-11-13","Central Asia",,,99,4015,350000,8,120000,350000,67688,23,4.97,42857,86,3560,34345,123678,14000000,2113,34543,10,10.02,11280,3329,45443,55888,31023124,435000,12454,97363,25000,373,10.2,21323,941,3.3,30000
"Propane",,"Scope 3","Value Chain","waste7",,"Scope 3","ARG","2023-09-18","2023-04-18","North America",,,88,2024,400000,1,154000,150000,56634,20,0.19,33000,11,3560,43566,100000,15000000,2257,22345,8,0.37,10956,6467,34124,49871,35000000,452000,53423,4221,2184000,188,10.1,21323,941,1.1,23100
"FuelOil",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","USA","2023-09-18","2022-07-28","Southeast Asia",,,74,2303,400000,7,120000,150000,56634,12,0.24,34286,75,3139,34345,150000,17000000,1205,22345,10,0.59,17455,3083,45443,14968,31023124,491000,12454,4372,2266000,214,10.9,18608,829,1.1,24000
"Natural Gas","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2021-10-18","South America",,"Yubo Corporation",67,258,450000,16,154000,250000,67688,15,1.05,33000,172,3560,43566,100000,15000000,984,34543,7,2.13,14818,6088,45443,71513,31023124,387000,53423,87141,2670000,24,15,15000,941,5.5,23100
"Refrigerant",,"Scope 3","Value Chain","waste7",,"Scope 3","SGP","2023-09-18","2020-10-23","Southeast Asia",,,69,2411,400000,26,120000,250000,76855,9,0.42,34286,280,500,34345,123678,15000000,1228,34543,3,0.85,11015,4996,66544,32676,29000000,429000,12454,97565,3200000,224,11.4,18608,132,0.5,24000
"FuelOil",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","USA","2023-09-18","2021-08-26","LATAM",,,58,1808,350000,24,154000,250000,67688,28,0.24,44000,258,3139,34345,123678,14000000,1125,22345,4,0.59,18965,3738,66544,72649,29000000,355000,12354,16677,34000,168,11.4,15000,829,5.8,30800
"Diesel","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2023-06-11","South America",,"Yubo Corporation",80,1830,400000,25,135000,350000,56634,14,1.05,48214,269,3560,43566,100000,17000000,1290,34543,10,2.13,16329,9793,45443,75241,31023124,482000,12454,88151,17000,170,10.8,21323,941,3.1,33750
"Refrigerant","001B000001SklaNIAR","Stationary","*The Edge HQ","SDO.020","SupplierAcct203","Commercial Building","BRA","2023-09-18","2023-03-04","South America",,"Yubo Corporation",93,1066,400000,7,120000,150000,76855,17,1.05,51429,75,3560,43566,100000,15000000,394,34543,8,2.13,15283,6598,34124,19720,29000000,358000,53423,72579,22000,99,13,21323,941,1.3,36000
"Natural Gas",,"Scope 3","Value Chain","waste7",,"Scope 3","SGP","2023-09-18","2022-07-03","EMEA",,,62,4758,450000,24,135000,350000,56634,8,0.42,48214,258,3139,34345,150000,14000000,2288,21234,9,0.85,15143,6090,66544,14041,31023124,464000,12454,7127,21000,442,12.6,21323,829,3.4,33750
"Steam",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","ARG","2023-09-18","2021-09-13","Europe",,,69,4478,350000,9,135000,250000,76855,3,0.19,57857,97,3139,23454,100000,14000000,1021,21234,3,0.37,12173,8291,34124,11350,31023124,494000,12454,79812,2970000,416,11.6,18608,829,5,40500
"FuelOil",,"Data Center","Business Travel FY20","S3DO.006",,"Data Center","AUS","2023-09-18","2023-07-05","Central America",,,51,2777,250000,30,135000,300000,76855,4,4.19,28929,323,3560,43566,123678,17000000,1106,34543,4,8.45,12296,3534,66544,61235,31023124,455000,12454,73641,3218000,258,12.1,18608,941,4.3,20250
"Diesel",,"Data Center","Value Chain","waste7",,"Data Center","GBR","2023-09-18","2020-01-21","North America",,,90,603,400000,1,120000,250000,56634,28,5.99,25714,11,3139,23454,150000,15000000,692,34543,10,12.14,12811,7917,45443,57751,31023124,359000,53423,7257,3117000,56,14,21323,829,1.1,18000
