"LastProcessedDate","SpendBasedPredictedEmissionBucket","Date","SpendBasedEmissionBucket","DateBucket","Supplier_Type","Spend_Based_Emission","Qty_Based_Emission","Spend_Based_Predicted_Emission","Floor_Area","Headcount","Qty_Based_Predicted_Emission","Revenue"
"2023-09-18","Null - No Value","2021-03-08","CY-8 / 78 K Total / Telecommunication 11K","2 Years Ago - 2021","Other Real Estate",11000,7000,,1600,250,,1600
"2023-09-18","Null - No Value","2019-10-23","CY-4 / 72 K Total / Data Processing 8K","4 Years Ago - 2019","Data Processing",8000,4000,,900,900,,900
"2023-09-18","CY+1 / 52 K Total / Telecommunication 8K","2024-05-15","NULL - No Value","Next Year","Telecommunication",,,8000,850,100,4000,1900
"2023-09-18","CY+2 / 68 K Total / Software 14K","2025-02-05","NULL - No Value","2 Years Later","Software",,,14000,200,1400,10000,3000
"2023-09-18","Null - No Value","2018-11-07","CY-7 / 46 K Total / Telecommunication 7K","5 Years Ago - 2018","Business Support",7000,3000,,700,500,,2800
"2023-09-18","Null - No Value","2022-11-30","CY-9 / 73 K Total / Data Processing 9K","Last Year - 2022","Other Real Estate",9000,5000,,1600,250,,1600
"2023-09-18","Null - No Value","2021-01-06","CY / 62 K Total / Legal Services 10K  ","2 Years Ago - 2021","Legal Services",10000,6000,,800,600,,2300
"2023-09-18","Null - No Value","2013-06-24","CY-8 / 78 K Total / Legal Services 12K","10 Years Ago - 2013","Employment Service",12000,7000,,700,700,,700
"2023-09-18","CY / 62 K Total / Data Processing 6K","2023-10-13","CY / 62 K Total / Data Processing 6K  ","Current Year","Data Processing",6000,2000,6000,900,900,2000,900
"2023-09-18","Null - No Value","2020-03-13","CY / 62 K Total / Employment Service 5K  ","3 Years Ago - 2020","Legal Services",5000,1000,,800,600,,2300
"2023-09-18","Null - No Value","2015-09-30","CY-8 / 78 K Total / Telecommunication 11K","8 Years Ago - 2015","Telecommunication",11000,6000,,850,100,,1900
"2023-09-18","Null - No Value","2019-11-09","CY-4 / 72 K Total / Other Real State 10K","4 Years Ago - 2019","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2014-09-27","CY-9 / 73 K Total / Software 14K","9 Years Ago - 2014","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2017-05-02","CY / 62 K Total / Software 13K  ","6 Years Ago - 2017","Business Support",13000,9000,,700,500,,2800
"2023-09-18","Null - No Value","2016-04-02","CY-7 / 46 K Total / Employment Service 3K","7 Years Ago - 2016","Employment Service",3000,-1000,,700,700,,700
"2023-09-18","CY+1 / 52 K Total / Data Processing 6K","2024-04-25","NULL - No Value","Next Year","Data Processing",,,6000,900,900,2000,900
"2023-09-18","Null - No Value","2013-05-22","CY-10 / 57 K Total / Business Support 10K  ","10 Years Ago - 2013","Business Support",10000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2019-05-30","CY-4 / 72 K Total / Software 13K","4 Years Ago - 2019","Software",13000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2016-01-01","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","CY / 62 K Total / Employment Service 5K","2023-05-28","CY / 62 K Total / Employment Service 5K  ","Current Year","Employment Service",5000,1000,5000,700,700,1000,700
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-11-16","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2015-12-13","CY-8 / 78 K Total / Data Processing 9K","8 Years Ago - 2015","Data Processing",9000,4000,,900,900,,900
"2023-09-18","Null - No Value","2020-01-11","CY / 62 K Total / Telecommunication 9K  ","3 Years Ago - 2020","Other Real Estate",9000,5000,,1600,250,,1600
"2023-09-18","Null - No Value","2021-02-10","CY-7 / 46 K Total / Other Real State 5K","2 Years Ago - 2021","Other Real Estate",5000,1000,,1600,250,,1600
"2023-09-18","Null - No Value","2017-09-03","CY-8 / 78 K Total / Business Support 13K","6 Years Ago - 2017","Business Support",13000,9000,,700,500,,2800
"2023-09-18","Null - No Value","2022-12-03","CY-4 / 72 K Total / Telecommunication 11K","Last Year - 2022","Telecommunication",11000,7000,,850,100,,1900
"2023-09-18","Null - No Value","2018-03-11","CY-7 / 46 K Total / Software 10K","5 Years Ago - 2018","Employment Service",10000,6000,,700,700,,700
"2023-09-18","Null - No Value","2014-02-27","CY-9 / 73 K Total / Data Processing 9K","9 Years Ago - 2014","Data Processing",9000,4000,,900,900,,900
"2023-09-18","Null - No Value","2020-07-06","NULL - No Value","3 Years Ago - 2020","Legal Services",,-4000,,800,600,,2300
"2023-09-18","Null - No Value","2016-01-18","CY-7 / 46 K Total / Software 10K","7 Years Ago - 2016","Software",10000,6000,,200,1400,,3000
"2023-09-18","Null - No Value","2021-11-07","CY-10 / 57 K Total / Data Processing 6K  ","2 Years Ago - 2021","Software",6000,2000,,200,1400,,3000
"2023-09-18","Null - No Value","2022-12-01","CY-10 / 57 K Total / Telecommunication 8K  ","Last Year - 2022","Data Processing",8000,4000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-08-19","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2019-09-14","CY-4 / 72 K Total / Employment Service 7K","4 Years Ago - 2019","Employment Service",7000,3000,,700,700,,700
"2023-09-18","Null - No Value","2013-02-27","CY-10 / 57 K Total / Legal Services 9K  ","10 Years Ago - 2013","Legal Services",9000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2014-11-18","CY-9 / 73 K Total / Other Real State 9K","9 Years Ago - 2014","Other Real Estate",9000,4000,,1600,250,,1600
"2023-09-18","Null - No Value","2018-03-28","CY-10 / 57 K Total / Business Support 10K  ","5 Years Ago - 2018","Business Support",10000,6000,,700,500,,2800
"2023-09-18","CY+1 / 52 K Total / Legal Services 8K","2024-05-24","NULL - No Value","Next Year","Legal Services",,,8000,800,600,4000,2300
"2023-09-18","Null - No Value","2015-08-03","CY-8 / 78 K Total / Other Real State 11K","8 Years Ago - 2015","Other Real Estate",11000,6000,,1600,250,,1600
"2023-09-18","CY / 62 K Total / Software 13K","2023-02-23","CY / 62 K Total / Software 13K  ","Current Year","Software",13000,9000,13000,200,1400,9000,3000
"2023-09-18","Null - No Value","2017-02-03","CY-9 / 73 K Total / Telecommunication 10K","6 Years Ago - 2017","Data Processing",10000,6000,,900,900,,900
"2023-09-18","Null - No Value","2017-10-04","CY / 62 K Total / Other Real Estate 7K  ","6 Years Ago - 2017","Employment Service",7000,3000,,700,700,,700
"2023-09-18","Null - No Value","2016-06-16","CY-7 / 46 K Total / Business Support 9K","7 Years Ago - 2016","Business Support",9000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2015-01-10","CY-8 / 78 K Total / Telecommunication 11K","8 Years Ago - 2015","Telecommunication",11000,6000,,850,100,,1900
"2023-09-18","Null - No Value","2020-07-13","CY-9 / 73 K Total / Business Support 12K","3 Years Ago - 2020","Software",12000,8000,,200,1400,,3000
"2023-09-18","Null - No Value","2014-04-29","CY-4 / 72 K Total / Other Real State 10K","9 Years Ago - 2014","Employment Service",10000,5000,,700,700,,700
"2023-09-18","Null - No Value","2022-01-05","CY-10 / 57 K Total / Employment Service 5K  ","Last Year - 2022","Telecommunication",5000,1000,,850,100,,1900
"2023-09-18","Null - No Value","2019-10-03","CY-4 / 72 K Total / Data Processing 8K","4 Years Ago - 2019","Data Processing",8000,4000,,900,900,,900
"2023-09-18","CY / 62 K Total / Other Real State 7K","2023-06-28","CY / 62 K Total / Other Real Estate 7K  ","Current Year","Other Real Estate",7000,3000,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2013-07-06","CY-10 / 57 K Total / Legal Services 9K  ","10 Years Ago - 2013","Legal Services",9000,4000,,800,600,,2300
"2023-09-18","Null - No Value","2018-12-24","CY / 62 K Total / Data Processing 6K  ","5 Years Ago - 2018","Business Support",6000,2000,,700,500,,2800
"2023-09-18","CY+2 / 68 K Total / Business Support 10.5K","2025-01-20","NULL - No Value","2 Years Later","Business Support",,,10500,700,500,6500,2800
"2023-09-18","CY+1 / 52 K Total / Other Real State 7K","2024-08-11","NULL - No Value","Next Year","Other Real Estate",,,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2021-05-27","CY-9 / 73 K Total / Other Real State 9K","2 Years Ago - 2021","Software",9000,5000,,200,1400,,3000
"2023-09-18","CY+1 / 52 K Total / Data Processing 6K","2024-05-26","NULL - No Value","Next Year","Data Processing",,,6000,900,900,2000,900
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-05-24","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","CY / 62 K Total / Legal Services 10K","2023-10-26","CY / 62 K Total / Legal Services 10K  ","Current Year","Legal Services",10000,6000,10000,800,600,6000,2300
"2023-09-18","Null - No Value","2015-10-03","CY-4 / 72 K Total / Business Support 12K","8 Years Ago - 2015","Employment Service",12000,7000,,700,700,,700
"2023-09-18","Null - No Value","2014-07-11","CY-9 / 73 K Total / Legal Services 11K","9 Years Ago - 2014","Legal Services",11000,6000,,800,600,,2300
"2023-09-18","Null - No Value","2021-12-11","CY-8 / 78 K Total / Legal Services 12K","2 Years Ago - 2021","Software",12000,8000,,200,1400,,3000
"2023-09-18","Null - No Value","2017-05-26","CY-4 / 72 K Total / Business Support 12K","6 Years Ago - 2017","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2018-05-04","CY-10 / 57 K Total / Other Real Estate 7K  ","5 Years Ago - 2018","Telecommunication",7000,3000,,850,100,,1900
"2023-09-18","Null - No Value","2022-06-19","CY-7 / 46 K Total / Business Support 9K","Last Year - 2022","Employment Service",9000,5000,,700,700,,700
"2023-09-18","Null - No Value","2016-05-25","CY-7 / 46 K Total / Other Real State 5K","7 Years Ago - 2016","Other Real Estate",5000,1000,,1600,250,,1600
"2023-09-18","Null - No Value","2013-01-26","CY / 62 K Total / Data Processing 6K  ","10 Years Ago - 2013","Data Processing",6000,1000,,900,900,,900
"2023-09-18","Null - No Value","2019-05-02","CY-4 / 72 K Total / Legal Services 11K","4 Years Ago - 2019","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2020-03-08","CY-4 / 72 K Total / Other Real State 10K","3 Years Ago - 2020","Data Processing",10000,6000,,900,900,,900
"2023-09-18","Null - No Value","2019-07-03","CY-4 / 72 K Total / Software 13K","4 Years Ago - 2019","Software",13000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2022-08-09","CY-4 / 72 K Total / Legal Services 11K","Last Year - 2022","Telecommunication",11000,7000,,850,100,,1900
"2023-09-18","Null - No Value","2021-11-28","CY-7 / 46 K Total / Employment Service 3K","2 Years Ago - 2021","Employment Service",3000,-1000,,700,700,,700
"2023-09-18","Null - No Value","2017-11-07","CY / 62 K Total / Business Support 12K  ","6 Years Ago - 2017","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2020-02-01","CY-8 / 78 K Total / Employment Service 8K","3 Years Ago - 2020","Other Real Estate",8000,4000,,1600,250,,1600
"2023-09-18","Null - No Value","2014-03-13","CY-9 / 73 K Total / Data Processing 9K","9 Years Ago - 2014","Data Processing",9000,4000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-08-21","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2013-07-17","CY-7 / 46 K Total / Employment Service 3K","10 Years Ago - 2013","Employment Service",3000,-2000,,700,700,,700
"2023-09-18","CY / 62 K Total / Legal Services 10K","2023-07-14","CY / 62 K Total / Legal Services 10K  ","Current Year","Legal Services",10000,6000,10000,800,600,6000,2300
"2023-09-18","Null - No Value","2015-09-23","CY-8 / 78 K Total / Software 14K","8 Years Ago - 2015","Software",14000,9000,,200,1400,,3000
"2023-09-18","Null - No Value","2018-06-07","CY-8 / 78 K Total / Other Real State 11K","5 Years Ago - 2018","Other Real Estate",11000,7000,,1600,250,,1600
"2023-09-18","CY+1 / 52 K Total / Business Support 9K","2024-11-04","NULL - No Value","Next Year","Business Support",,,9000,700,500,5000,2800
"2023-09-18","Null - No Value","2016-12-21","CY-7 / 46 K Total / Employment Service 3K","7 Years Ago - 2016","Employment Service",3000,-1000,,700,700,,700
"2023-09-18","Null - No Value","2015-03-30","CY-8 / 78 K Total / Software 14K","8 Years Ago - 2015","Software",14000,9000,,200,1400,,3000
"2023-09-18","CY+1 / 52 K Total / Telecommunication 8K","2024-09-17","NULL - No Value","Next Year","Telecommunication",,,8000,850,100,4000,1900
"2023-09-18","CY / 62 K Total / Other Real State 7K","2023-09-21","CY / 62 K Total / Other Real Estate 7K  ","Current Year","Other Real Estate",7000,3000,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2018-09-04","CY-8 / 78 K Total / Software 14K","5 Years Ago - 2018","Business Support",14000,10000,,700,500,,2800
"2023-09-18","Null - No Value","2022-09-22","CY-10 / 57 K Total / Software 12K  ","Last Year - 2022","Data Processing",12000,8000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Legal Services 8.5K","2025-07-18","NULL - No Value","2 Years Later","Legal Services",,,8500,800,600,4500,2300
"2023-09-18","Null - No Value","2017-04-26","CY / 62 K Total / Business Support 12K  ","6 Years Ago - 2017","Business Support",12000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2021-07-19","CY-4 / 72 K Total / Data Processing 8K","2 Years Ago - 2021","Data Processing",8000,4000,,900,900,,900
"2023-09-18","Null - No Value","2014-02-07","CY-9 / 73 K Total / Legal Services 11K","9 Years Ago - 2014","Legal Services",11000,6000,,800,600,,2300
"2023-09-18","Null - No Value","2013-01-03","CY / 62 K Total / Software 13K  ","10 Years Ago - 2013","Software",13000,8000,,200,1400,,3000
"2023-09-18","Null - No Value","2020-04-10","CY / 62 K Total / Other Real Estate 7K  ","3 Years Ago - 2020","Employment Service",7000,3000,,700,700,,700
"2023-09-18","Null - No Value","2016-03-03","CY-7 / 46 K Total / Other Real State 5K","7 Years Ago - 2016","Other Real Estate",5000,1000,,1600,250,,1600
"2023-09-18","Null - No Value","2019-08-05","CY-4 / 72 K Total / Telecommunication 11K","4 Years Ago - 2019","Telecommunication",11000,7000,,850,100,,1900
"2023-09-18","Null - No Value","2014-09-03","CY-4 / 72 K Total / Software 13K","9 Years Ago - 2014","Employment Service",13000,8000,,700,700,,700
"2023-09-18","Null - No Value","2016-08-18","CY-7 / 46 K Total / Business Support 9K","7 Years Ago - 2016","Business Support",9000,5000,,700,500,,2800
"2023-09-18","CY+1 / 52 K Total / Data Processing 6K","2024-01-12","NULL - No Value","Next Year","Data Processing",,,6000,900,900,2000,900
"2023-09-18","Null - No Value","2021-03-26","CY-10 / 57 K Total / Software 12K  ","2 Years Ago - 2021","Legal Services",12000,8000,,800,600,,2300
"2023-09-18","CY+2 / 68 K Total / Telecommunication 9K","2025-05-06","NULL - No Value","2 Years Later","Telecommunication",,,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2020-05-10","CY-9 / 73 K Total / Data Processing 9K","3 Years Ago - 2020","Other Real Estate",9000,5000,,1600,250,,1600
"2023-09-18","Null - No Value","2017-05-02","NULL - No Value","6 Years Ago - 2017","Software",,-4000,,200,1400,,3000
"2023-09-18","Null - No Value","2015-10-03","CY-4 / 72 K Total / Legal Services 11K","8 Years Ago - 2015","Employment Service",11000,6000,,700,700,,700
"2023-09-18","Null - No Value","2018-03-26","CY-7 / 46 K Total / Business Support 9K","5 Years Ago - 2018","Business Support",9000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2013-05-06","CY-10 / 57 K Total / Software 12K  ","10 Years Ago - 2013","Software",12000,7000,,200,1400,,3000
"2023-09-18","Null - No Value","2022-01-18","CY-9 / 73 K Total / Business Support 12K","Last Year - 2022","Legal Services",12000,8000,,800,600,,2300
"2023-09-18","CY / 62 K Total / Other Real State 7K","2023-01-06","CY / 62 K Total / Other Real Estate 7K  ","Current Year","Other Real Estate",7000,3000,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2019-07-03","CY-4 / 72 K Total / Telecommunication 11K","4 Years Ago - 2019","Telecommunication",11000,7000,,850,100,,1900
"2023-09-18","Null - No Value","2021-12-25","CY-4 / 72 K Total / Employment Service 7K","2 Years Ago - 2021","Data Processing",7000,3000,,900,900,,900
"2023-09-18","Null - No Value","2017-04-13","CY-9 / 73 K Total / Software 14K","6 Years Ago - 2017","Employment Service",14000,10000,,700,700,,700
"2023-09-18","CY / 62 K Total / Telecommunication 9K","2023-03-10","CY / 62 K Total / Telecommunication 9K  ","Current Year","Telecommunication",9000,5000,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2015-05-22","CY-8 / 78 K Total / Business Support 13K","8 Years Ago - 2015","Business Support",13000,8000,,700,500,,2800
"2023-09-18","Null - No Value","2022-02-18","CY-8 / 78 K Total / Employment Service 8K","Last Year - 2022","Other Real Estate",8000,4000,,1600,250,,1600
"2023-09-18","Null - No Value","2013-09-19","CY-10 / 57 K Total / Data Processing 6K  ","10 Years Ago - 2013","Data Processing",6000,1000,,900,900,,900
"2023-09-18","Null - No Value","2020-09-20","CY-4 / 72 K Total / Legal Services 11K","3 Years Ago - 2020","Software",11000,7000,,200,1400,,3000
"2023-09-18","Null - No Value","2019-09-25","CY-4 / 72 K Total / Legal Services 11K","4 Years Ago - 2019","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2018-04-09","CY-8 / 78 K Total / Other Real State 11K","5 Years Ago - 2018","Other Real Estate",11000,7000,,1600,250,,1600
"2023-09-18","CY+2 / 68 K Total / Data Processing 7K","2025-05-10","NULL - No Value","2 Years Later","Data Processing",,,7000,900,900,3000,900
"2023-09-18","Null - No Value","2014-10-29","CY-9 / 73 K Total / Telecommunication 10K","9 Years Ago - 2014","Telecommunication",10000,5000,,850,100,,1900
"2023-09-18","Null - No Value","2016-01-20","CY-7 / 46 K Total / Legal Services 8K","7 Years Ago - 2016","Legal Services",8000,4000,,800,600,,2300
"2023-09-18","CY+1 / 52 K Total / Business Support 9K","2024-12-17","NULL - No Value","Next Year","Business Support",,,9000,700,500,5000,2800
"2023-09-18","Null - No Value","2017-07-19","CY-7 / 46 K Total / Telecommunication 7K","6 Years Ago - 2017","Employment Service",7000,3000,,700,700,,700
"2023-09-18","Null - No Value","2020-05-17","CY-7 / 46 K Total / Data Processing 4K","3 Years Ago - 2020","Software",4000,0,,200,1400,,3000
"2023-09-18","CY+1 / 52 K Total / Business Support 9K","2024-11-03","NULL - No Value","Next Year","Business Support",,,9000,700,500,5000,2800
"2023-09-18","Null - No Value","2014-11-18","CY-9 / 73 K Total / Telecommunication 10K","9 Years Ago - 2014","Telecommunication",10000,5000,,850,100,,1900
"2023-09-18","CY+2 / 68 K Total / Software 14K","2025-06-28","NULL - No Value","2 Years Later","Software",,,14000,200,1400,10000,3000
"2023-09-18","Null - No Value","2016-12-30","CY-7 / 46 K Total / Employment Service 3K","7 Years Ago - 2016","Employment Service",3000,-1000,,700,700,,700
"2023-09-18","Null - No Value","2015-12-26","CY-8 / 78 K Total / Legal Services 12K","8 Years Ago - 2015","Legal Services",12000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2022-05-17","CY-10 / 57 K Total / Business Support 10K  ","Last Year - 2022","Data Processing",10000,6000,,900,900,,900
"2023-09-18","Null - No Value","2019-07-22","CY-4 / 72 K Total / Other Real State 10K","4 Years Ago - 2019","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2018-04-19","CY-8 / 78 K Total / Telecommunication 11K","5 Years Ago - 2018","Employment Service",11000,7000,,700,700,,700
"2023-09-18","Null - No Value","2013-11-14","CY / 62 K Total / Software 13K  ","10 Years Ago - 2013","Software",13000,8000,,200,1400,,3000
"2023-09-18","Null - No Value","2021-04-06","CY-8 / 78 K Total / Business Support 13K","2 Years Ago - 2021","Legal Services",13000,9000,,800,600,,2300
"2023-09-18","CY / 62 K Total / Business Support 12K","2023-05-14","CY / 62 K Total / Business Support 12K  ","Current Year","Business Support",12000,8000,12000,700,500,8000,2800
"2023-09-18","Null - No Value","2014-03-22","CY-9 / 73 K Total / Data Processing 9K","9 Years Ago - 2014","Data Processing",9000,4000,,900,900,,900
"2023-09-18","CY+2 / 68 K Total / Other Real State 6.5K","2025-12-30","NULL - No Value","2 Years Later","Other Real Estate",,,6500,1600,250,2500,1600
"2023-09-18","Null - No Value","2018-03-03","CY-10 / 57 K Total / Data Processing 6K  ","5 Years Ago - 2018","Telecommunication",6000,2000,,850,100,,1900
"2023-09-18","Null - No Value","2019-08-20","CY-4 / 72 K Total / Other Real State 10K","4 Years Ago - 2019","Other Real Estate",10000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2017-04-27","CY / 62 K Total / Telecommunication 9K  ","6 Years Ago - 2017","Legal Services",9000,5000,,800,600,,2300
"2023-09-18","Null - No Value","2013-02-21","CY / 62 K Total / Software 13K  ","10 Years Ago - 2013","Software",13000,8000,,200,1400,,3000
"2023-09-18","Null - No Value","2020-12-24","CY-10 / 57 K Total / Other Real Estate 7K  ","3 Years Ago - 2020","Employment Service",7000,3000,,700,700,,700
"2023-09-18","Null - No Value","2016-07-29","CY-7 / 46 K Total / Business Support 9K","7 Years Ago - 2016","Business Support",9000,5000,,700,500,,2800
"2023-09-18","Null - No Value","2021-12-12","CY-7 / 46 K Total / Legal Services 8K","2 Years Ago - 2021","Telecommunication",8000,4000,,850,100,,1900
"2023-09-18","CY / 62 K Total / Data Processing 6K","2023-03-25","CY / 62 K Total / Data Processing 6K  ","Current Year","Data Processing",6000,2000,6000,900,900,2000,900
"2023-09-18","Null - No Value","2022-11-04","CY / 62 K Total / Data Processing 6K  ","Last Year - 2022","Employment Service",6000,2000,,700,700,,700
"2023-09-18","CY+1 / 52 K Total / Software 9K","2024-02-12","NULL - No Value","Next Year","Software",,,9000,200,1400,5000,3000
"2023-09-18","Null - No Value","2015-04-29","CY-8 / 78 K Total / Data Processing 9K","8 Years Ago - 2015","Data Processing",9000,4000,,900,900,,900
"2023-09-18","Null - No Value","2016-02-19","CY-7 / 46 K Total / Telecommunication 7K","7 Years Ago - 2016","Telecommunication",7000,3000,,850,100,,1900
"2023-09-18","Null - No Value","2020-12-06","CY-10 / 57 K Total / Legal Services 9K  ","3 Years Ago - 2020","Legal Services",9000,5000,,800,600,,2300
"2023-09-18","Null - No Value","2014-03-19","CY-9 / 73 K Total / Other Real State 9K","9 Years Ago - 2014","Other Real Estate",9000,4000,,1600,250,,1600
"2023-09-18","Null - No Value","2019-07-14","CY-4 / 72 K Total / Business Support 12K","4 Years Ago - 2019","Business Support",12000,8000,,700,500,,2800
"2023-09-18","CY+2 / 68 K Total / Other Real State 6.5K","2025-09-07","NULL - No Value","2 Years Later","Other Real Estate",,,6500,1600,250,2500,1600
"2023-09-18","Null - No Value","2022-01-04","CY-4 / 72 K Total / Business Support 12K","Last Year - 2022","Business Support",12000,8000,,700,500,,2800
"2023-09-18","CY+1 / 52 K Total / Legal Services 8K","2024-02-06","NULL - No Value","Next Year","Legal Services",,,8000,800,600,4000,2300
"2023-09-18","Null - No Value","2018-10-01","CY-9 / 73 K Total / Employment Service 8K","5 Years Ago - 2018","Software",8000,4000,,200,1400,,3000
"2023-09-18","Null - No Value","2013-10-31","CY-9 / 73 K Total / Data Processing 9K","10 Years Ago - 2013","Employment Service",9000,4000,,700,700,,700
"2023-09-18","Null - No Value","2015-06-22","CY-8 / 78 K Total / Data Processing 9K","8 Years Ago - 2015","Data Processing",9000,4000,,900,900,,900
"2023-09-18","CY / 62 K Total / Telecommunication 9K","2023-01-25","CY / 62 K Total / Telecommunication 9K  ","Current Year","Telecommunication",9000,5000,9000,850,100,5000,1900
"2023-09-18","Null - No Value","2021-11-01","CY / 62 K Total / Legal Services 10K  ","2 Years Ago - 2021","Employment Service",10000,6000,,700,700,,700
"2023-09-18","Null - No Value","2017-02-02","CY-4 / 72 K Total / Telecommunication 11K","6 Years Ago - 2017","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2013-04-26","CY-10 / 57 K Total / Software 12K  ","10 Years Ago - 2013","Software",12000,7000,,200,1400,,3000
"2023-09-18","Null - No Value","2014-09-23","CY-9 / 73 K Total / Telecommunication 10K","9 Years Ago - 2014","Telecommunication",10000,5000,,850,100,,1900
"2023-09-18","CY / 62 K Total / Other Real State 7K","2023-04-11","CY / 62 K Total / Other Real Estate 7K  ","Current Year","Other Real Estate",7000,3000,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2021-04-07","CY-4 / 72 K Total / Software 13K","2 Years Ago - 2021","Business Support",13000,9000,,700,500,,2800
"2023-09-18","Null - No Value","2019-08-06","CY-4 / 72 K Total / Data Processing 8K","4 Years Ago - 2019","Data Processing",8000,4000,,900,900,,900
"2023-09-18","Null - No Value","2017-08-31","CY-7 / 46 K Total / Software 10K","6 Years Ago - 2017","Business Support",10000,6000,,700,500,,2800
"2023-09-18","Null - No Value","2018-06-08","CY-8 / 78 K Total / Data Processing 9K","5 Years Ago - 2018","Telecommunication",9000,5000,,850,100,,1900
"2023-09-18","CY+1 / 52 K Total / Data Processing 6K","2024-03-05","NULL - No Value","Next Year","Data Processing",,,6000,900,900,2000,900
"2023-09-18","CY+2 / 68 K Total / Other Real State 6.5K","2025-07-10","NULL - No Value","2 Years Later","Other Real Estate",,,6500,1600,250,2500,1600
"2023-09-18","Null - No Value","2016-09-12","CY-7 / 46 K Total / Employment Service 3K","7 Years Ago - 2016","Employment Service",3000,-1000,,700,700,,700
"2023-09-18","Null - No Value","2020-08-20","CY-9 / 73 K Total / Telecommunication 10K","3 Years Ago - 2020","Software",10000,6000,,200,1400,,3000
"2023-09-18","Null - No Value","2022-05-02","CY / 62 K Total / Software 13K  ","Last Year - 2022","Legal Services",13000,9000,,800,600,,2300
"2023-09-18","Null - No Value","2015-01-05","CY-8 / 78 K Total / Other Real State 11K","8 Years Ago - 2015","Other Real Estate",11000,6000,,1600,250,,1600
"2023-09-18","Null - No Value","2019-03-27","CY-4 / 72 K Total / Legal Services 11K","4 Years Ago - 2019","Legal Services",11000,7000,,800,600,,2300
"2023-09-18","CY+2 / 68 K Total / Business Support 10.5K","2025-08-24","NULL - No Value","2 Years Later","Business Support",,,10500,700,500,6500,2800
"2023-09-18","Null - No Value","2017-12-22","CY-10 / 57 K Total / Employment Service 5K  ","6 Years Ago - 2017","Employment Service",5000,1000,,700,700,,700
"2023-09-18","Null - No Value","2022-08-09","CY-4 / 72 K Total / Other Real State 10K","Last Year - 2022","Data Processing",10000,6000,,900,900,,900
"2023-09-18","Null - No Value","2021-08-15","CY / 62 K Total / Employment Service 5K  ","2 Years Ago - 2021","Telecommunication",5000,1000,,850,100,,1900
"2023-09-18","Null - No Value","2020-08-30","CY-10 / 57 K Total / Telecommunication 8K  ","3 Years Ago - 2020","Software",8000,4000,,200,1400,,3000
"2023-09-18","CY+1 / 52 K Total / Other Real State 7K","2024-01-27","NULL - No Value","Next Year","Other Real Estate",,,7000,1600,250,3000,1600
"2023-09-18","Null - No Value","2013-02-06","CY-4 / 72 K Total / Data Processing 8K","10 Years Ago - 2013","Employment Service",8000,3000,,700,700,,700
"2023-09-18","Null - No Value","2016-03-28","CY-7 / 46 K Total / Software 10K","7 Years Ago - 2016","Software",10000,6000,,200,1400,,3000
"2023-09-18","Null - No Value","2015-10-26","CY-8 / 78 K Total / Legal Services 12K","8 Years Ago - 2015","Legal Services",12000,7000,,800,600,,2300
"2023-09-18","Null - No Value","2014-12-04","CY-9 / 73 K Total / Business Support 12K","9 Years Ago - 2014","Business Support",12000,7000,,700,500,,2800
