"ProductFamily","OrderEffectiveDate","ProductName","TotalsInterval","LastProcessedDate","OrderAccountName","OrderAccountParent","UnitPrice","TotalPrice","Quantity"
"Capital Equipment","2020-11-06","Glucose Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",220,16500,75
"AutoSense","2020-12-21","Enhanced Analytics License","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",945,236250,250
"Wholesales Acquisition Cost","2020-06-12","Blood Pressure Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",120,18000,150
"Capital Equipment","2020-02-14","Glucose Monitor","From 500 to 1000","2020-09-04","United Hospital","United Central",220,110000,500
"Product","2020-10-02","Focalized Mounting System","From 50 to 250","2020-09-04","United Physicians Group","United Central",175,35000,200
"Product","2020-05-05","Sharps Containers","From 50 to 250","2020-09-04","Universal Containers","United Central",520,39000,75
"X-Ray","2020-12-04","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","United Partners","United Central",200,35000,175
"Consumables","2020-06-19","Hypodermic Needles","From 350 to 550","2020-09-04","BioSpan, LLC","United Central",53,21200,400
"Product","2020-07-03","Power Modulator","From 50 to 250","2020-09-04","Tyconet","United Central",300,22500,75
"Consumables","2020-10-19","Hypodermic Needles","From 350 to 550","2020-09-04","United Physicians Group","United Central",53,26500,500
"Consumables","2020-03-01","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,73800,100
"Consumables","2020-11-21","Gloves and Gowns","From 50 to 250","2020-09-04","Mercy Hospital","United Central",325,65000,200
"Consumables","2020-09-01","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,147600,200
"Vision","2020-10-30","Protective Eyewear","From 50 to 250","2020-09-04","United Partners","United Central",177,8850,50
"Kits","2020-04-12","Cardiac Closure Device","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",536,107200,200
"Consumables","2020-09-12","Hypodermic Needles","From 350 to 550","2020-09-04","Big Sky & Sons","United Central",53,29150,550
"Product","2020-05-26","Dialysis Tubing","From 50 to 250","2020-09-04","Allied Technologies","United Central",550,82500,150
"Attachment","2020-08-02","Enhanced Scanner Package","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",15360,1920000,125
"Consumables","2020-12-09","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,40625,125
"Product","2020-01-26","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","Universal Containers","United Central",4349,869800,200
"Accessories","2020-06-29","Remote Control Keypad","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",440,99000,225
"Product","2020-02-13","Focalized Mounting System","From 50 to 250","2020-09-04","Tyconet","United Central",175,30625,175
"Wholesales Acquisition Cost","2020-09-24","Alpha Knee","From 50 to 250","2020-09-04","United Physicians Group","United Central",530,132500,250
"X-Ray","2020-07-23","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",200,40000,200
"Capital Equipment","2020-11-30","Glucose Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",220,16500,75
"X-Ray","2020-01-03","CRM 8000 X-Ray","From 50 to 250","2020-09-04","United Partners","United Central",25920,4536000,175
"Capital Equipment","2020-04-18","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,22000,100
"AutoSense","2020-11-23","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,94500,100
"Product","2020-08-28","Dialysis Tubing","From 50 to 250","2020-09-04","Mercy Hospital","United Central",550,82500,150
"Product","2020-07-09","Sharps Containers","From 50 to 250","2020-09-04","Universal Containers","United Central",520,26000,50
"Wholesales Acquisition Cost","2020-03-08","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Partners","United Central",120,6000,50
"Product","2020-11-09","Personal Protection Equipment","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",1760,88000,50
"Attachment","2020-05-30","Enhanced Scanner Package","From 50 to 250","2020-09-04","Tyconet","United Central",15360,1152000,75
"Consumables","2020-09-25","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Physicians Group","United Central",738,110700,150
"Consumables","2020-10-07","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,32500,100
"Consumables","2020-08-08","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",738,92250,125
"Capital Equipment","2020-12-23","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,33000,150
"Consumables","2020-12-08","Hypodermic Needles","From 350 to 550","2020-09-04","United Hospital","United Central",53,21200,400
"Kits","2020-10-21","Cardiac Closure Device","From 50 to 250","2020-09-04","United Partners","United Central",536,26800,50
"AutoSense","2020-11-06","Enhanced Analytics License","From 50 to 250","2020-09-04","Tyconet","United Central",945,94500,100
"Product","2020-04-04","Focalized Mounting System","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",175,8750,50
"Consumables","2020-12-02","Gloves and Gowns","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",325,65000,200
"Product","2020-03-17","Power Modulator","From 50 to 250","2020-09-04","United Physicians Group","United Central",300,75000,250
"Accessories","2020-10-14","Remote Control Keypad","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",440,88000,200
"Consumables","2020-08-03","Hypodermic Needles","From 350 to 550","2020-09-04","Universal Containers","United Central",53,26500,500
"Kits","2020-06-19","Cardiac Closure Device","From 50 to 250","2020-09-04","Mercy Hospital","United Central",536,40200,75
"Capital Equipment","2020-01-26","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,22000,100
"AutoSense","2020-06-01","Renal Dialysis Device","From 50 to 250","2020-09-04","Allied Technologies","United Central",11800,2655000,225
"Product","2020-11-15","Dialysis Tubing","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",550,27500,50
"Consumables","2020-07-18","Hypodermic Needles","From 350 to 550","2020-09-04","Universal Containers","United Central",53,21200,400
"Wholesales Acquisition Cost","2020-12-26","Blood Pressure Monitor","From 50 to 250","2020-09-04","Tyconet","United Central",120,9000,75
"Product","2020-09-03","Sharps Containers","From 50 to 250","2020-09-04","United Partners","United Central",520,52000,100
"Consumables","2020-09-27","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",738,73800,100
"Product","2020-03-17","Power Modulator","From 50 to 250","2020-09-04","United Physicians Group","United Central",300,52500,175
"Wholesales Acquisition Cost","2020-07-26","Alpha Knee","From 50 to 250","2020-09-04","Allied Technologies","United Central",530,119250,225
"Accessories","2020-02-11","Remote Control Keypad","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",440,33000,75
"Product","2020-12-23","Personal Protection Equipment","From 50 to 250","2020-09-04","Allied Technologies","United Central",1760,396000,225
"Wholesales Acquisition Cost","2020-05-26","Blood Pressure Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",120,18000,150
"Consumables","2020-04-03","Hypodermic Needles","From 350 to 550","2020-09-04","Tyconet","United Central",53,26500,500
"Wholesales Acquisition Cost","2020-08-06","Blood Pressure Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",120,27000,225
"Product","2020-11-18","Focalized Mounting System","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",175,39375,225
"Consumables","2020-09-20","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,32500,100
"X-Ray","2020-10-21","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",200,20000,100
"AutoSense","2020-06-30","Enhanced Analytics License","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",945,47250,50
"Kits","2020-02-09","Cardiac Closure Device","From 50 to 250","2020-09-04","United Partners","United Central",536,120600,225
"Product","2020-10-30","Dialysis Tubing","From 500 to 1000","2020-09-04","United Hospital","United Central",550,440000,800
"Wholesales Acquisition Cost","2020-05-11","Blood Pressure Monitor","From 50 to 250","2020-09-04","Universal Containers","United Central",120,12000,100
"Product","2020-01-28","Sharps Containers","From 50 to 250","2020-09-04","United Physicians Group","United Central",520,91000,175
"Accessories","2020-03-17","Remote Control Keypad","From 50 to 250","2020-09-04","Mercy Hospital","United Central",440,88000,200
"Consumables","2020-11-16","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",738,36900,50
"Wholesales Acquisition Cost","2020-12-28","Alpha Knee","From 50 to 250","2020-09-04","Tyconet","United Central",530,39750,75
"Consumables","2020-10-02","Gloves and Gowns","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",325,40625,125
"X-Ray","2020-11-17","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",200,45000,225
"Product","2020-12-06","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","United Partners","United Central",4349,217450,50
"Consumables","2020-07-03","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Universal Containers","United Central",738,110700,150
"Consumables","2020-08-21","Gloves and Gowns","From 50 to 250","2020-09-04","United Physicians Group","United Central",325,16250,50
"Capital Equipment","2020-05-17","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,49500,225
"Consumables","2020-06-30","Hypodermic Needles","From 350 to 550","2020-09-04","Allied Technologies","United Central",53,29150,550
"AutoSense","2020-02-17","Enhanced Analytics License","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",945,141750,150
"Consumables","2020-04-12","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,40625,125
"Product","2020-10-04","Focalized Mounting System","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",175,39375,225
"Capital Equipment","2020-11-27","Glucose Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",220,27500,125
"X-Ray","2020-12-19","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Universal Containers","United Central",200,35000,175
"Accessories","2020-03-06","Remote Control Keypad","From 50 to 250","2020-09-04","United Partners","United Central",440,33000,75
"Consumables","2020-09-13","Hypodermic Needles","From 350 to 550","2020-09-04","Tyconet","United Central",53,23850,450
"Vision","2020-08-25","Protective Eyewear","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",177,22125,125
"Product","2020-09-19","Dialysis Tubing","From 50 to 250","2020-09-04","Allied Technologies","United Central",550,96250,175
"Capital Equipment","2020-11-26","Glucose Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",220,49500,225
"Wholesales Acquisition Cost","2020-04-09","Alpha Knee","From 50 to 250","2020-09-04","United Partners","United Central",530,119250,225
"Product","2020-06-25","Dialysis Tubing","From 50 to 250","2020-09-04","Mercy Hospital","United Central",550,55000,100
"Attachment","2020-02-07","Enhanced Scanner Package","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",15360,1152000,75
"Consumables","2020-07-17","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,81250,250
"Kits","2020-10-26","Cardiac Closure Device","From 50 to 250","2020-09-04","Universal Containers","United Central",536,26800,50
"Accessories","2020-01-16","Remote Control Keypad","From 50 to 250","2020-09-04","Tyconet","United Central",440,88000,200
"Capital Equipment","2020-07-06","Glucose Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",220,27500,125
"Wholesales Acquisition Cost","2020-08-14","Alpha Knee","From 50 to 250","2020-09-04","Allied Technologies","United Central",530,53000,100
"Wholesales Acquisition Cost","2020-09-05","Blood Pressure Monitor","From 500 to 1000","2020-09-04","United Hospital","United Central",120,72000,600
"AutoSense","2020-11-06","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,141750,150
"Consumables","2020-10-09","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",738,129150,175
"Consumables","2020-05-20","Hypodermic Needles","From 350 to 550","2020-09-04","Tyconet","United Central",53,23850,450
"Product","2020-12-01","Focalized Mounting System","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",175,26250,150
"Consumables","2020-12-08","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Mercy Hospital","United Central",738,73800,100
"Wholesales Acquisition Cost","2020-04-03","Blood Pressure Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",120,24000,200
"Product","2020-08-24","Power Modulator","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",300,22500,75
"Product","2020-09-03","Personal Protection Equipment","From 50 to 250","2020-09-04","United Partners","United Central",1760,308000,175
"X-Ray","2020-05-31","CRM 8000 X-Ray","From 50 to 250","2020-09-04","Universal Containers","United Central",25920,4536000,175
"Wholesales Acquisition Cost","2020-11-22","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",120,27000,225
"X-Ray","2020-12-15","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Allied Technologies","United Central",200,15000,75
"Kits","2020-10-12","Cardiac Closure Device","From 50 to 250","2020-09-04","Mercy Hospital","United Central",536,67000,125
"Product","2020-03-26","Power Modulator","From 50 to 250","2020-09-04","Universal Containers","United Central",300,75000,250
"Consumables","2020-01-23","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,16250,50
"Capital Equipment","2020-03-12","Glucose Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",220,11000,50
"Product","2020-06-24","Power Modulator","From 50 to 250","2020-09-04","Tyconet","United Central",300,15000,50
"Consumables","2020-07-30","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,147600,200
"Product","2020-07-05","Dialysis Tubing","From 50 to 250","2020-09-04","United Physicians Group","United Central",550,123750,225
"AutoSense","2020-06-30","Renal Dialysis Device","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",11800,2950000,250
"Product","2020-11-21","Focalized Mounting System","From 50 to 250","2020-09-04","United Partners","United Central",175,43750,250
"Wholesales Acquisition Cost","2020-12-01","Alpha Knee","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",530,79500,150
"Product","2020-04-13","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","United Physicians Group","United Central",4349,1087250,250
"Wholesales Acquisition Cost","2020-10-14","Blood Pressure Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",120,15000,125
"Capital Equipment","2020-08-11","Glucose Monitor","From 50 to 250","2020-09-04","United Partners","United Central",220,44000,200
"Product","2020-11-04","Personal Protection Equipment","From 50 to 250","2020-09-04","Mercy Hospital","United Central",1760,132000,75
"Product","2020-02-20","Sharps Containers","From 50 to 250","2020-09-04","Tyconet","United Central",520,104000,200
"Wholesales Acquisition Cost","2020-09-03","Blood Pressure Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",120,15000,125
"Consumables","2020-03-16","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",738,166050,225
"Consumables","2020-12-07","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",738,110700,150
"AutoSense","2020-07-10","Enhanced Analytics License","From 50 to 250","2020-09-04","Universal Containers","United Central",945,118125,125
"Capital Equipment","2020-05-24","Glucose Monitor","From 500 to 1000","2020-09-04","United Hospital","United Central",220,110000,500
"Accessories","2020-08-19","Remote Control Keypad","From 50 to 250","2020-09-04","United Physicians Group","United Central",440,66000,150
"X-Ray","2020-05-03","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Mercy Hospital","United Central",200,10000,50
"Consumables","2020-02-05","Hypodermic Needles","From 350 to 550","2020-09-04","United Partners","United Central",53,26500,500
"Consumables","2020-11-13","Hypodermic Needles","From 350 to 550","2020-09-04","Big Sky & Sons","United Central",53,29150,550
"Kits","2020-12-04","Cardiac Closure Device","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",536,120600,225
"Wholesales Acquisition Cost","2020-01-21","Blood Pressure Monitor","From 50 to 250","2020-09-04","Universal Containers","United Central",120,12000,100
"Product","2020-04-23","Power Modulator","From 50 to 250","2020-09-04","Tyconet","United Central",300,67500,225
"Consumables","2020-09-23","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,65000,200
"Consumables","2020-10-30","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",738,92250,125
"Product","2020-10-02","Sharps Containers","From 50 to 250","2020-09-04","Allied Technologies","United Central",520,117000,225
"Product","2020-11-22","Sharps Containers","From 50 to 250","2020-09-04","United Physicians Group","United Central",520,39000,75
"Product","2020-08-10","Dialysis Tubing","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",550,96250,175
"AutoSense","2020-07-02","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,141750,150
"Wholesales Acquisition Cost","2020-06-29","Alpha Knee","From 50 to 250","2020-09-04","Universal Containers","United Central",530,66250,125
"Capital Equipment","2020-06-27","Glucose Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",220,11000,50
"Accessories","2020-02-27","Remote Control Keypad","From 50 to 250","2020-09-04","United Partners","United Central",440,33000,75
"Consumables","2020-11-11","Hypodermic Needles","From 350 to 550","2020-09-04","Big Sky & Sons","United Central",53,29150,550
"Vision","2020-12-01","Protective Eyewear","From 50 to 250","2020-09-04","Mercy Hospital","United Central",177,44250,250
"X-Ray","2020-04-17","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",200,10000,50
"Accessories","2020-05-02","Remote Control Keypad","From 50 to 250","2020-09-04","Allied Technologies","United Central",440,99000,225
"Wholesales Acquisition Cost","2020-09-11","Blood Pressure Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",120,12000,100
"Kits","2020-10-18","Cardiac Closure Device","From 50 to 250","2020-09-04","Tyconet","United Central",536,67000,125
"Consumables","2020-03-20","Gloves and Gowns","From 50 to 250","2020-09-04","United Physicians Group","United Central",325,65000,200
"Consumables","2020-09-02","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Mercy Hospital","United Central",738,110700,150
"Capital Equipment","2020-01-18","Glucose Monitor","From 50 to 250","2020-09-04","Tyconet","United Central",220,22000,100
"Consumables","2020-12-12","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,24375,75
"Accessories","2020-10-15","Remote Control Keypad","From 50 to 250","2020-09-04","Allied Technologies","United Central",440,33000,75
"Product","2020-06-19","Focalized Mounting System","From 50 to 250","2020-09-04","Universal Containers","United Central",175,39375,225
"Product","2020-03-23","Personal Protection Equipment","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",1760,396000,225
"AutoSense","2020-11-21","Enhanced Analytics License","From 50 to 250","2020-09-04","United Partners","United Central",945,189000,200
"Consumables","2020-07-14","Hypodermic Needles","From 350 to 550","2020-09-04","United Hospital","United Central",53,21200,400
"AutoSense","2020-09-18","Renal Dialysis Device","From 50 to 250","2020-09-04","Tyconet","United Central",11800,2065000,175
"Product","2020-08-28","Dialysis Tubing","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",550,27500,50
"Consumables","2020-05-09","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,48750,150
"Product","2020-02-18","Sharps Containers","From 50 to 250","2020-09-04","Mercy Hospital","United Central",520,26000,50
"X-Ray","2020-08-11","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","United Partners","United Central",200,15000,75
"Product","2020-12-06","Focalized Mounting System","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",175,43750,250
"Wholesales Acquisition Cost","2020-10-27","Blood Pressure Monitor","From 50 to 250","2020-09-04","Universal Containers","United Central",120,9000,75
"Product","2020-07-15","Sharps Containers","From 50 to 250","2020-09-04","United Physicians Group","United Central",520,130000,250
"Product","2020-09-09","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","Allied Technologies","United Central",4349,543625,125
"Accessories","2020-04-13","Remote Control Keypad","From 50 to 250","2020-09-04","Allied Technologies","United Central",440,88000,200
"Capital Equipment","2020-01-04","Glucose Monitor","From 50 to 250","2020-09-04","United Partners","United Central",220,33000,150
"Attachment","2020-03-23","Enhanced Scanner Package","From 50 to 250","2020-09-04","Mercy Hospital","United Central",15360,2304000,150
"Kits","2020-05-10","Cardiac Closure Device","From 50 to 250","2020-09-04","Universal Containers","United Central",536,40200,75
"AutoSense","2020-06-23","Enhanced Analytics License","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",945,118125,125
"Consumables","2020-07-30","Gloves and Gowns","From 50 to 250","2020-09-04","Tyconet","United Central",325,56875,175
"Consumables","2020-04-16","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",738,55350,75
"Consumables","2020-08-01","Hypodermic Needles","From 350 to 550","2020-09-04","BioSpan, LLC","United Central",53,23850,450
"Product","2020-09-25","Power Modulator","From 50 to 250","2020-09-04","Allied Technologies","United Central",300,37500,125
"Product","2020-12-19","Power Modulator","From 50 to 250","2020-09-04","Allied Technologies","United Central",300,45000,150
"Wholesales Acquisition Cost","2020-11-16","Blood Pressure Monitor","From 50 to 250","2020-09-04","United Physicians Group","United Central",120,27000,225
"Product","2020-02-23","Focalized Mounting System","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",175,8750,50
"Wholesales Acquisition Cost","2020-10-10","Alpha Knee","From 50 to 250","2020-09-04","United Physicians Group","United Central",530,26500,50
"X-Ray","2020-11-04","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Tyconet","United Central",200,15000,75
"Capital Equipment","2020-11-18","Glucose Monitor","From 50 to 250","2020-09-04","Mercy Hospital","United Central",220,44000,200
"Consumables","2020-11-11","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","United Partners","United Central",738,129150,175
"Consumables","2020-09-09","Hypodermic Needles","From 350 to 550","2020-09-04","Universal Containers","United Central",53,29150,550
"Attachment","2020-06-08","Enhanced Scanner Package","From 50 to 250","2020-09-04","Allied Technologies","United Central",15360,3072000,200
"Accessories","2020-12-21","Remote Control Keypad","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",440,55000,125
"Capital Equipment","2020-12-31","Glucose Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",220,49500,225
"Consumables","2020-07-08","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Allied Technologies","United Central",738,92250,125
"Wholesales Acquisition Cost","2020-05-10","Blood Pressure Monitor","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",120,12000,100
"Product","2020-10-05","Sharps Containers","From 50 to 250","2020-09-04","Universal Containers","United Central",520,65000,125
"Consumables","2020-08-10","Gloves and Gowns","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",325,32500,100
"Wholesales Acquisition Cost","2020-12-01","Alpha Knee","From 50 to 250","2020-09-04","Tyconet","United Central",530,106000,200
"Product","2020-03-12","Personal Protection Equipment","From 500 to 1000","2020-09-04","United Hospital","United Central",1760,1408000,800
"Consumables","2020-04-24","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",738,166050,225
"AutoSense","2020-09-28","Enhanced Analytics License","From 50 to 250","2020-09-04","Allied Technologies","United Central",945,236250,250
"Product","2020-08-26","Dialysis Tubing","From 50 to 250","2020-09-04","United Physicians Group","United Central",550,27500,50
"Product","2020-11-03","Power Modulator","From 50 to 250","2020-09-04","Mercy Hospital","United Central",300,30000,100
"Kits","2020-07-22","Cardiac Closure Device","From 50 to 250","2020-09-04","United Partners","United Central",536,67000,125
"X-Ray","2020-01-23","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","Mercy Hospital","United Central",200,30000,150
"Accessories","2020-10-24","Remote Control Keypad","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",440,99000,225
"Capital Equipment","2020-12-19","Glucose Monitor","From 50 to 250","2020-09-04","Universal Containers","United Central",220,27500,125
"Vision","2020-02-23","Protective Eyewear","From 50 to 250","2020-09-04","Allied Technologies","United Central",177,26550,150
"Consumables","2020-05-15","Gloves and Gowns","From 50 to 250","2020-09-04","United Partners","United Central",325,56875,175
"Consumables","2020-03-26","Hypodermic Needles","From 350 to 550","2020-09-04","Big Sky & Sons","United Central",53,29150,550
"Consumables","2020-10-29","Hypodermic Needles","From 350 to 550","2020-09-04","Allied Technologies","United Central",53,21200,400
"Product","2020-11-11","Focalized Mounting System","From 50 to 250","2020-09-04","United Physicians Group","United Central",175,30625,175
"Wholesales Acquisition Cost","2020-11-02","Blood Pressure Monitor","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",120,6000,50
"Capital Equipment","2020-08-29","Glucose Monitor","From 50 to 250","2020-09-04","Tyconet","United Central",220,27500,125
"X-Ray","2020-09-18","CRM 8000 X-Ray","From 50 to 250","2020-09-04","Mercy Hospital","United Central",25920,1944000,75
"Wholesales Acquisition Cost","2020-07-03","Alpha Knee","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",530,106000,200
"Product","2020-04-24","Dialysis Tubing","From 50 to 250","2020-09-04","United Physicians Group","United Central",550,41250,75
"AutoSense","2020-06-29","Enhanced Analytics License","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",945,165375,175
"AutoSense","2020-03-12","Renal Dialysis Device","From 50 to 250","2020-09-04","Universal Containers","United Central",11800,1770000,150
"Consumables","2020-05-16","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",738,110700,150
"Wholesales Acquisition Cost","2020-12-26","Alpha Knee","From 50 to 250","2020-09-04","Tyconet","United Central",530,119250,225
"Kits","2020-01-22","Cardiac Closure Device","From 50 to 250","2020-09-04","United Partners","United Central",536,26800,50
"Consumables","2020-09-03","Gloves and Gowns","From 50 to 250","2020-09-04","Allied Technologies","United Central",325,24375,75
"Accessories","2020-06-08","Remote Control Keypad","From 50 to 250","2020-09-04","Allied Technologies","United Central",440,66000,150
"Wholesales Acquisition Cost","2020-10-22","Blood Pressure Monitor","From 50 to 250","2020-09-04","Universal Containers","United Central",120,18000,150
"Consumables","2020-02-04","CBGM Sensor Pack (50)","From 50 to 250","2020-09-04","Mercy Hospital","United Central",738,147600,200
"Capital Equipment","2020-12-28","Glucose Monitor","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",220,11000,50
"Kits","2020-10-11","Cardiac Closure Device","From 500 to 1000","2020-09-04","United Hospital","United Central",536,375200,700
"Product","2020-11-06","Dialysis Tubing","From 50 to 250","2020-09-04","Allied Technologies","United Central",550,41250,75
"Product","2020-07-07","Focalized Mounting System","From 50 to 250","2020-09-04","BioSpan, LLC","United Central",175,17500,100
"Product","2020-08-06","Power Modulator","From 50 to 250","2020-09-04","Big Sky & Sons","United Central",300,30000,100
"Product","2020-12-18","Makana Health Synergy 250 Pacemaker","From 50 to 250","2020-09-04","Tyconet","United Central",4349,326175,75
"X-Ray","2020-06-16","Ceiling-Mounted Tube Stand 590","From 50 to 250","2020-09-04","United Physicians Group","United Central",200,45000,225
"Wholesales Acquisition Cost","2020-03-05","Blood Pressure Monitor","From 50 to 250","2020-09-04","Allied Technologies","United Central",120,15000,125
"Product","2020-05-14","Focalized Mounting System","From 50 to 250","2020-09-04","United Partners","United Central",175,39375,225
"Product","2020-10-08","Sharps Containers","From 50 to 250","2020-09-04","United Physicians Group","United Central",520,65000,125
"Kits","2020-04-30","Cardiac Closure Device","From 50 to 250","2020-09-04","Vand Enterprises, INC","United Central",536,80400,150
"Consumables","2020-01-10","Hypodermic Needles","From 350 to 550","2020-09-04","Tyconet","United Central",53,18550,350
"Attachment","2020-04-29","Enhanced Scanner Package","From 50 to 250","2020-09-04","United Partners","United Central",15360,1536000,100
