Account_CUSTOM2,Account_CUSTOM3,Account_SALES_REP,Account_CITY,Account_STATE,ACCOUNT_ID,Account_CUSTOMER_SITE,Account_REGION,Account_COUNTRY,TARGET_DATE,TargetDate,Account_CUSTOMER,Account_TARGET,Account_CUSTOM1,Activities,BEHIND_TARGET,AHEAD_TARGET,Hours,Account_LAT,Account_LONG,ON_TARGET,Offset,Target
Negative Growth over 20%,PRIME + P4011,Mathew Harmer,Wesley Chapel,FL,A0025,Sure Store - Wesley Chapel,East,United States,1/6/17,27/06/2019,Sure Store,AHEAD,LARGE CHAIN,82,110000,24300,86,28.18649,-82.3657,66000,21093990,24300
Negative Growth over 20%,PRIME + P4011,Mathew Harmer,Wesley Chapel,FL,A0025,Sure Store - Wesley Chapel,East,United States,1/7/17,27/07/2019,Sure Store,AHEAD,LARGE CHAIN,143,110000,24300,140,28.18649,-82.3657,67800,18501990,24300
Negative Growth over 20%,PRIME + P4011,Mathew Harmer,Wesley Chapel,FL,A0025,Sure Store - Wesley Chapel,East,United States,1/8/17,27/08/2019,Sure Store,AHEAD,LARGE CHAIN,73,110000,24300,75,28.18649,-82.3657,64400,15823590,24300
Negative Growth over 20%,PRIME + P4011,Mathew Harmer,Wesley Chapel,FL,A0025,Sure Store - Wesley Chapel,East,United States,1/9/17,27/09/2019,Sure Store,AHEAD,LARGE CHAIN,103,110000,24300,135,28.18649,-82.3657,67200,13145190,24300
Negative Growth over 20%,PRIME + P4011,Mathew Harmer,Wesley Chapel,FL,A0025,Sure Store - Wesley Chapel,East,United States,1/10/17,27/10/2019,Sure Store,AHEAD,LARGE CHAIN,72,110000,24300,87,28.18649,-82.3657,61200,10553190,24300
Negative Growth over 20%,PRIME + P4011,Mathew Harmer,Wesley Chapel,FL,A0025,Sure Store - Wesley Chapel,East,United States,1/11/17,27/11/2019,Sure Store,AHEAD,LARGE CHAIN,53,90400,24300,73,28.18649,-82.3657,54500,7874790,24300
Negative Growth over 20%,PRIME + P4011,Mathew Harmer,Wesley Chapel,FL,A0025,Sure Store - Wesley Chapel,East,United States,1/12/17,27/12/2019,Sure Store,AHEAD,LARGE CHAIN,58,90400,33200,68,28.18649,-82.3657,60300,5282790,33200
Negative Growth over 20%,PRIME + P4011,Mathew Harmer,Wesley Chapel,FL,A0025,Sure Store - Wesley Chapel,East,United States,1/1/18,27/01/2020,Sure Store,AHEAD,LARGE CHAIN,62,90400,33200,97,28.18649,-82.3657,61700,2604390,33200
Negative Growth over 20%,PRIME + P4011,Mathew Harmer,Wesley Chapel,FL,A0025,Sure Store - Wesley Chapel,East,United States,1/2/18,27/02/2020,Sure Store,AHEAD,LARGE CHAIN,111,75300,33200,117,28.18649,-82.3657,54200,-74010,33200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/12/13,27/12/2015,Sure Store,ON,LARGE CHAIN,223,85100,200,189,42.47919,-71.5546,48200,131513190,48200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/1/14,27/01/2016,Sure Store,ON,LARGE CHAIN,109,85100,200,71,42.47919,-71.5546,45100,128834790,45100
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/2/14,27/02/2016,Sure Store,ON,LARGE CHAIN,179,85100,200,139,42.47919,-71.5546,43500,126156390,43500
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/3/14,26/03/2016,Sure Store,ON,LARGE CHAIN,119,85100,26600,92,42.47919,-71.5546,52900,123737190,52900
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/4/14,26/04/2016,Sure Store,ON,LARGE CHAIN,114,65700,26600,130,42.47919,-71.5546,47900,121058790,47900
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/5/14,26/05/2016,Sure Store,ON,LARGE CHAIN,179,106800,26600,152,42.47919,-71.5546,58500,118466790,58500
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/6/14,26/06/2016,Sure Store,ON,LARGE CHAIN,159,106800,26600,133,42.47919,-71.5546,62300,115788390,62300
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/7/14,26/07/2016,Sure Store,ON,LARGE CHAIN,202,106800,26600,160,42.47919,-71.5546,59200,113196390,59200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/8/14,26/08/2016,Sure Store,ON,LARGE CHAIN,175,106800,35500,145,42.47919,-71.5546,63300,110517990,63300
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/9/14,26/09/2016,Sure Store,ON,LARGE CHAIN,143,106800,35500,143,42.47919,-71.5546,63600,107839590,63600
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/10/14,26/10/2016,Sure Store,ON,LARGE CHAIN,27,106800,35500,59,42.47919,-71.5546,62600,105247590,62600
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/11/14,26/11/2016,Sure Store,ON,LARGE CHAIN,84,106800,35500,178,42.47919,-71.5546,64700,102569190,64700
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/12/14,26/12/2016,Sure Store,ON,LARGE CHAIN,83,78700,35500,138,42.47919,-71.5546,56700,99977190,56700
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/1/15,26/01/2017,Sure Store,ON,LARGE CHAIN,148,70100,35500,148,42.47919,-71.5546,55400,97298790,55400
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/2/15,26/02/2017,Sure Store,ON,LARGE CHAIN,136,70100,50600,111,42.47919,-71.5546,58300,94620390,58300
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/3/15,26/03/2017,Sure Store,ON,LARGE CHAIN,74,70100,47000,80,42.47919,-71.5546,57000,92201190,57000
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/4/15,26/04/2017,Sure Store,ON,LARGE CHAIN,51,70100,22400,76,42.47919,-71.5546,52700,89522790,52700
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/12/15,26/12/2017,Sure Store,ON,LARGE CHAIN,148,81200,22400,204,42.47919,-71.5546,55900,68441190,55900
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/1/16,26/01/2018,Sure Store,ON,LARGE CHAIN,209,81200,22400,233,42.47919,-71.5546,55300,65762790,55300
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/2/16,26/02/2018,Sure Store,ON,LARGE CHAIN,78,81200,22400,83,42.47919,-71.5546,57000,63084390,57000
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/3/16,27/03/2018,Sure Store,ON,LARGE CHAIN,125,81200,22400,119,42.47919,-71.5546,53400,60578790,53400
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/4/16,27/04/2018,Sure Store,ON,LARGE CHAIN,262,81200,22400,190,42.47919,-71.5546,51200,57900390,51200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/5/16,27/05/2018,Sure Store,ON,LARGE CHAIN,70,81200,22400,65,42.47919,-71.5546,48900,55308390,48900
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/6/16,27/06/2018,Sure Store,ON,LARGE CHAIN,140,81200,31300,126,42.47919,-71.5546,55300,52629990,55300
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/7/16,27/07/2018,Sure Store,ON,LARGE CHAIN,123,87200,31300,132,42.47919,-71.5546,56200,50037990,56200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/8/16,27/08/2018,Sure Store,ON,LARGE CHAIN,103,87200,31300,105,42.47919,-71.5546,53000,47359590,53000
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/9/16,27/09/2018,Sure Store,ON,LARGE CHAIN,304,87200,31300,221,42.47919,-71.5546,51200,44681190,51200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/10/16,27/10/2018,Sure Store,ON,LARGE CHAIN,345,93600,31300,217,42.47919,-71.5546,58100,42089190,58100
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/11/16,27/11/2018,Sure Store,ON,LARGE CHAIN,177,93600,31300,117,42.47919,-71.5546,57600,39410790,57600
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/12/16,27/12/2018,Sure Store,ON,LARGE CHAIN,189,93600,35700,139,42.47919,-71.5546,62800,36818790,62800
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/1/17,27/01/2019,Sure Store,ON,LARGE CHAIN,61,93600,35700,53,42.47919,-71.5546,61700,34140390,61700
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/2/17,27/02/2019,Sure Store,ON,LARGE CHAIN,160,93600,35700,147,42.47919,-71.5546,57700,31461990,57700
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/3/17,27/03/2019,Sure Store,ON,LARGE CHAIN,151,128600,35700,137,42.47919,-71.5546,70600,29042790,70600
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/4/17,27/04/2019,Sure Store,ON,LARGE CHAIN,199,131500,35700,170,42.47919,-71.5546,82200,26364390,82200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/5/17,27/05/2019,Sure Store,ON,LARGE CHAIN,141,131500,35700,122,42.47919,-71.5546,77200,23772390,77200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/6/17,27/06/2019,Sure Store,ON,LARGE CHAIN,188,131500,58400,147,42.47919,-71.5546,82200,21093990,82200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/7/17,27/07/2019,Sure Store,ON,LARGE CHAIN,159,131500,41400,140,42.47919,-71.5546,78400,18501990,78400
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/8/17,27/08/2019,Sure Store,ON,LARGE CHAIN,65,131500,41400,98,42.47919,-71.5546,82500,15823590,82500
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/9/17,27/09/2019,Sure Store,ON,LARGE CHAIN,40,131500,41400,126,42.47919,-71.5546,84200,13145190,84200
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/10/17,27/10/2019,Sure Store,ON,LARGE CHAIN,53,131500,41400,148,42.47919,-71.5546,78600,10553190,78600
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/11/17,27/11/2019,Sure Store,ON,LARGE CHAIN,111,89000,41400,140,42.47919,-71.5546,69000,7874790,69000
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/12/17,27/12/2019,Sure Store,ON,LARGE CHAIN,158,89000,41400,128,42.47919,-71.5546,71900,5282790,71900
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/1/18,27/01/2020,Sure Store,ON,LARGE CHAIN,32,89000,41400,35,42.47919,-71.5546,69600,2604390,69600
0 to -10% Negative Growth,PRIME + P4011,John Central,Boxborough,MA,A0026,Sure Store - Middlesex,East,United States,1/2/18,27/02/2020,Sure Store,ON,LARGE CHAIN,154,89000,49100,154,42.47919,-71.5546,70700,-74010,70700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/5/13,27/05/2015,Northern Trails Outfitters,BEHIND,LARGE CHAIN,115,77000,33200,102,37.80303,-122.4595,48000,150002790,77000
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/6/13,27/06/2015,Northern Trails Outfitters,BEHIND,LARGE CHAIN,245,77000,33200,198,37.80303,-122.4595,47100,147324390,77000
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/7/13,27/07/2015,Northern Trails Outfitters,BEHIND,LARGE CHAIN,150,77000,33200,114,37.80303,-122.4595,50300,144732390,77000
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/8/13,27/08/2015,Northern Trails Outfitters,BEHIND,LARGE CHAIN,137,77000,33200,105,37.80303,-122.4595,50800,142053990,77000
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/9/13,27/09/2015,Northern Trails Outfitters,BEHIND,LARGE CHAIN,128,77000,41100,105,37.80303,-122.4595,52300,139375590,77000
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/10/13,27/10/2015,Northern Trails Outfitters,BEHIND,LARGE CHAIN,117,77000,41900,141,37.80303,-122.4595,52700,136783590,77000
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/11/13,27/11/2015,Northern Trails Outfitters,BEHIND,LARGE CHAIN,188,77000,41900,188,37.80303,-122.4595,51600,134105190,77000
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/12/13,27/12/2015,Northern Trails Outfitters,BEHIND,LARGE CHAIN,101,83500,41900,102,37.80303,-122.4595,52500,131513190,83500
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/1/14,27/01/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,137,83500,43800,114,37.80303,-122.4595,54200,128834790,83500
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/2/14,27/02/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,160,83500,43000,134,37.80303,-122.4595,51600,126156390,83500
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/3/14,26/03/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,109,83500,41700,96,37.80303,-122.4595,50800,123737190,83500
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/4/14,26/04/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,213,83500,41700,173,37.80303,-122.4595,52900,121058790,83500
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/5/14,26/05/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,135,87400,41700,128,37.80303,-122.4595,59200,118466790,87400
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/6/14,26/06/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,147,87400,41700,144,37.80303,-122.4595,59900,115788390,87400
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/7/14,26/07/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,148,87400,41700,142,37.80303,-122.4595,55700,113196390,87400
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/8/14,26/08/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,185,87400,41700,152,37.80303,-122.4595,56800,110517990,87400
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/9/14,26/09/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,239,87400,41300,190,37.80303,-122.4595,56600,107839590,87400
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/10/14,26/10/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,97,87400,41300,105,37.80303,-122.4595,61800,105247590,87400
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/11/14,26/11/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,135,87400,41300,142,37.80303,-122.4595,62500,102569190,87400
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/12/14,26/12/2016,Northern Trails Outfitters,BEHIND,LARGE CHAIN,111,78200,41300,117,37.80303,-122.4595,59400,99977190,78200
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/1/15,26/01/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,39,78200,41300,52,37.80303,-122.4595,58300,97298790,78200
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/2/15,26/02/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,198,78200,41300,191,37.80303,-122.4595,59500,94620390,78200
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/3/15,26/03/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,49,86700,41300,66,37.80303,-122.4595,63100,92201190,86700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/4/15,26/04/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,94,86700,41400,119,37.80303,-122.4595,63100,89522790,86700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/5/15,26/05/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,44,86700,41400,62,37.80303,-122.4595,60900,86930790,86700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/6/15,26/06/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,81,86700,41400,109,37.80303,-122.4595,59600,84252390,86700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/7/15,26/07/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,131,86700,18700,136,37.80303,-122.4595,52900,81660390,86700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/8/15,26/08/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,118,86700,18700,138,37.80303,-122.4595,58200,78981990,86700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/9/15,26/09/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,113,86700,18700,113,37.80303,-122.4595,54900,76303590,86700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/10/15,26/10/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,121,80800,18700,118,37.80303,-122.4595,51800,73711590,80800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/11/15,26/11/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,189,80800,18700,158,37.80303,-122.4595,50200,71033190,80800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/12/15,26/12/2017,Northern Trails Outfitters,BEHIND,LARGE CHAIN,111,80800,18700,90,37.80303,-122.4595,48500,68441190,80800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/1/16,26/01/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,207,80800,18700,173,37.80303,-122.4595,51400,65762790,80800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/2/16,26/02/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,132,80800,30500,107,37.80303,-122.4595,58600,63084390,80800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/3/16,27/03/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,128,75400,30500,134,37.80303,-122.4595,55600,60578790,75400
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/4/16,27/04/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,166,75400,30500,128,37.80303,-122.4595,58100,57900390,75400
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/5/16,27/05/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,150,79300,30500,125,37.80303,-122.4595,60200,55308390,79300
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/6/16,27/06/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,208,79300,41700,164,37.80303,-122.4595,61800,52629990,79300
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/7/16,27/07/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,103,80300,41700,103,37.80303,-122.4595,66000,50037990,80300
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/8/16,27/08/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,109,80300,41100,117,37.80303,-122.4595,61100,47359590,80300
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/9/16,27/09/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,89,80300,41100,93,37.80303,-122.4595,61800,44681190,80300
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/10/16,27/10/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,190,80300,41100,189,37.80303,-122.4595,62100,42089190,80300
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/11/16,27/11/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,181,80300,41100,147,37.80303,-122.4595,63600,39410790,80300
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/12/16,27/12/2018,Northern Trails Outfitters,BEHIND,LARGE CHAIN,157,84700,41100,135,37.80303,-122.4595,64300,36818790,84700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/1/17,27/01/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,126,84700,41100,95,37.80303,-122.4595,65100,34140390,84700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/2/17,27/02/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,68,84700,41100,69,37.80303,-122.4595,62000,31461990,84700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/3/17,27/03/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,169,84700,47100,162,37.80303,-122.4595,63100,29042790,84700
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/4/17,27/04/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,130,108800,47100,141,37.80303,-122.4595,68200,26364390,108800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/5/17,27/05/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,153,108800,47100,156,37.80303,-122.4595,72700,23772390,108800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/6/17,27/06/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,256,108800,47100,212,37.80303,-122.4595,73000,21093990,108800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/7/17,27/07/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,127,108800,47100,108,37.80303,-122.4595,68200,18501990,108800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/8/17,27/08/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,193,108800,45300,142,37.80303,-122.4595,68000,15823590,108800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/9/17,27/09/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,189,108800,45300,169,37.80303,-122.4595,71400,13145190,108800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/10/17,27/10/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,94,108800,45300,109,37.80303,-122.4595,74800,10553190,108800
Negative Growth over 20%,PRIME +P4-02/03),Chantelle Rep,San Francisco,CA,A0027,NTO Store - Presidio,West,United States,1/11/17,27/11/2019,Northern Trails Outfitters,BEHIND,LARGE CHAIN,36,93700,45300,56,37.80303,-122.4595,70700,7874790,93700
