"Catering_Event_Type","Id","Cleanliness","Experience","Quality_of_Food","Service_Speed","Overall_Rating"
"Office Meeting","89-6830976",5,2,4,5,2
"Office Meeting","58-5823645",5,1,5,3,4
"Office Meeting","69-6225609",3,1,2,2,2
"Office Meeting","60-2140280",1,2,5,4,3
"Office Meeting","27-6926524",5,3,5,3,1
"Office Meeting","47-7566656",5,1,4,2,3
"Office Meeting","92-7081348",2,1,2,5,3
"Office Meeting","61-2505120",1,2,4,4,1
"Office Meeting","48-5442165",1,1,4,2,5
"Office Meeting","66-6505875",1,4,5,1,2
"Office Meeting","61-6395044",4,5,5,4,1
"Office Meeting","83-7771681",4,3,1,2,4
"Office Meeting","50-6304627",4,3,2,2,4
"Office Meeting","45-9928972",1,3,3,2,3
"Office Meeting","24-4480669",2,2,2,2,4
"Office Meeting","32-2208482",1,1,3,3,2
"Office Meeting","47-9510932",3,3,3,5,4
"Office Meeting","79-8430300",5,2,2,4,2
"Office Meeting","52-8943397",1,3,3,4,4
"Office Meeting","42-6518558",1,4,2,2,3
"Office Meeting","55-0588886",3,3,1,2,1
"Office Meeting","22-6815187",4,1,1,4,3
"Office Meeting","14-9999551",3,2,5,1,3
"Office Meeting","39-9743184",4,3,5,4,2
"Office Meeting","39-7632147",4,5,1,5,2
"Office Meeting","10-2469541",2,2,5,4,4
"Office Meeting","00-3188166",2,1,3,1,3
"Office Meeting","43-6149001",5,4,4,3,1
"Office Meeting","10-4304920",2,1,4,4,1
"Office Meeting","31-0585502",3,2,5,2,1
"Office Meeting","30-6747486",3,2,5,3,5
"Office Meeting","07-3557345",2,3,2,2,5
"Office Meeting","23-0625485",2,2,1,5,3
"Office Meeting","30-4080440",5,3,3,5,2
"Office Meeting","18-5848967",5,2,1,2,4
"Office Meeting","29-5240023",2,4,2,4,2
"Office Meeting","28-9381075",5,5,4,4,1
"Office Meeting","09-8041699",2,3,4,2,4
"Office Meeting","68-2766890",1,2,1,5,3
"Office Meeting","97-8765662",2,3,2,2,1
"Office Meeting","68-9696505",1,4,5,3,5
"Office Meeting","58-7490110",2,1,1,5,4
"Office Meeting","03-2594923",4,3,4,3,3
"Office Meeting","90-9226644",3,2,2,1,5
"Office Meeting","84-4395980",4,1,4,3,3
"Office Meeting","86-5660154",5,1,3,4,2
"Office Meeting","07-3663423",5,5,2,3,2
"Office Meeting","54-5997526",4,3,3,5,3
"Office Meeting","45-9815645",3,2,4,5,1
"Office Meeting","87-5153585",3,5,1,3,4
"Office Meeting","58-7636656",1,4,4,2,1
"Office Meeting","60-9153748",2,5,1,2,3
"Office Meeting","36-3808970",2,1,4,5,3
"Office Meeting","31-8910677",1,4,1,2,1
"Office Meeting","43-8030411",3,4,5,3,4
"Office Meeting","12-0834993",4,4,2,5,2
"Office Meeting","93-6340770",4,4,5,2,1
"Office Meeting","87-6534219",4,5,2,5,4
"Office Meeting","71-2343953",4,5,1,1,1
"Office Meeting","24-8713037",3,5,1,4,2
"Office Meeting","58-6607384",3,3,1,3,3
"Office Meeting","22-0895719",2,2,2,2,4
"Office Meeting","80-2149853",1,2,3,2,2
"Office Meeting","90-9349449",4,3,2,4,1
"Office Meeting","62-5425024",2,2,3,3,3
"Office Meeting","80-7159551",2,2,2,2,5
"Office Meeting","01-9068727",4,5,3,4,2
"Office Meeting","87-4277241",1,5,4,3,1
"Office Meeting","69-1570735",3,2,2,4,1
"Office Meeting","99-4732566",1,4,1,3,4
"Office Meeting","20-6746995",2,5,2,2,4
"Office Meeting","79-4755298",4,3,3,4,4
"Office Meeting","22-9679734",1,2,4,4,2
"Office Meeting","10-1654686",1,2,1,1,5
"Office Meeting","88-2284893",5,4,5,3,4
"Office Meeting","42-0066477",1,3,1,1,3
"Office Meeting","05-3637801",2,3,3,2,1
"Office Meeting","21-9022249",5,4,3,1,3
"Office Meeting","87-8637486",4,5,2,3,5
"Office Meeting","89-6160917",2,3,4,5,3
"Office Meeting","60-4997253",5,3,2,4,3
"Office Meeting","42-3011283",3,5,2,4,2
"Office Meeting","00-9065154",4,3,2,1,4
"Office Meeting","09-6433554",4,5,4,1,1
"Office Meeting","04-5651333",1,4,5,5,4
"Office Meeting","33-4731188",1,1,1,2,3
"Office Meeting","29-1880142",4,4,1,5,1
"Office Meeting","61-2390400",5,1,3,2,4
"Office Meeting","17-6337109",4,1,4,1,1
"Office Meeting","81-9524277",4,1,2,5,5
"Office Meeting","61-7626005",2,1,1,5,2
"Office Meeting","48-9349499",2,1,5,4,2
"Office Meeting","37-3276986",3,1,4,1,1
"Office Meeting","06-0987963",1,1,5,1,4
"Office Meeting","27-0115501",5,2,5,4,5
"Office Meeting","17-5198772",3,1,3,1,1
"Office Meeting","79-6269388",3,2,2,4,4
"Office Meeting","76-4707071",1,2,3,3,4
"Office Meeting","45-5979702",1,5,4,3,4
"Office Meeting","13-9373525",1,5,4,3,2
"Office Meeting","83-8705138",5,3,2,4,4
"Office Meeting","94-0960210",4,5,3,4,2
"Office Meeting","24-7850739",5,2,4,3,4
"Office Meeting","77-4046398",2,1,2,3,3
"Office Meeting","98-9679095",1,5,5,5,3
"Office Meeting","22-2625804",2,3,3,3,5
"Office Meeting","17-0141216",5,3,3,5,4
"Office Meeting","55-0120309",2,4,5,5,1
"Office Meeting","42-1152667",3,4,4,2,3
"Office Meeting","64-1124836",4,4,4,4,1
"Office Meeting","31-4584610",5,5,1,3,4
"Office Meeting","79-4597161",5,1,3,5,1
"Office Meeting","05-3506333",2,5,4,4,3
"Office Meeting","91-9495701",3,1,3,4,5
"Office Meeting","42-1251818",5,3,5,4,5
"Office Meeting","59-3036958",5,3,1,1,3
"Office Meeting","25-1017530",2,1,3,2,3
"Office Meeting","78-6041278",5,4,5,5,2
"Office Meeting","57-5330720",2,1,5,5,1
"Office Meeting","80-6312596",2,4,2,5,2
"Office Meeting","50-6347475",4,2,2,1,3
"Office Meeting","00-0357120",1,3,3,5,5
"Office Meeting","39-8676628",5,3,2,4,2
"Office Meeting","18-9328223",3,4,5,3,3
"Office Meeting","51-8681539",2,5,1,4,5
"Office Meeting","69-2169989",1,4,4,2,2
"Office Meeting","19-6560210",2,4,1,3,3
"Office Meeting","00-7040852",1,3,4,3,3
"Office Meeting","05-8874062",3,4,3,4,5
"Office Meeting","11-5715558",2,2,2,3,3
"Office Meeting","07-8530264",5,3,2,4,2
"Office Meeting","53-1683391",4,5,1,1,1
"Office Meeting","02-7473192",3,2,5,4,2
"Office Meeting","86-2999293",3,1,4,5,5
"Office Meeting","42-0173567",5,3,4,1,2
"Office Meeting","29-6314431",4,5,3,5,2
"Office Meeting","86-7207592",1,3,5,5,1
"Office Meeting","43-2149915",4,4,1,1,4
"Office Meeting","78-8022630",5,5,1,3,5
"Office Meeting","65-7827499",1,2,5,4,1
"Office Meeting","76-9240263",1,5,2,3,3
"Office Meeting","40-7410790",5,5,1,4,4
"Office Meeting","88-4848956",2,1,2,5,4
"Office Meeting","57-4612025",1,4,3,3,5
"Office Meeting","01-2459833",4,4,3,4,2
"Office Meeting","99-1412826",3,2,5,2,3
"Office Meeting","08-5959061",2,3,1,1,3
"Office Meeting","95-4222600",2,5,1,5,4
"Office Meeting","32-2884214",1,1,5,5,4
"Office Meeting","93-4468097",2,1,2,2,4
"Office Meeting","89-6931856",3,1,1,4,3
"Office Meeting","88-6920054",5,2,4,4,4
"Office Meeting","30-0836826",5,1,4,1,3
"Office Meeting","69-8213158",3,3,4,1,1
"Office Meeting","31-7450152",4,4,5,4,2
"Office Meeting","80-8277083",4,5,3,4,2
"Office Meeting","28-6962250",5,4,2,3,4
"Office Meeting","29-0741872",2,2,1,3,4
"Office Meeting","20-9485692",5,3,4,3,4
"Office Meeting","38-4302199",4,3,3,4,3
"Office Meeting","34-7822445",2,5,5,2,2
"Office Meeting","29-3425394",4,2,4,5,3
"Office Meeting","38-1138268",2,1,2,2,5
"Office Meeting","88-9190480",1,4,1,4,5
"Office Meeting","31-8636747",3,5,2,5,3
"Office Meeting","03-1262792",3,1,4,1,2
"Office Meeting","46-3486477",1,1,3,5,5
"Office Meeting","46-2899922",1,2,4,2,3
"Office Meeting","88-9551751",2,5,2,2,4
"Office Meeting","48-1375016",3,2,2,5,1
"Office Meeting","94-5403937",2,4,2,1,2
"Office Meeting","92-8415519",5,1,5,2,2
"Office Meeting","25-7974235",3,3,2,4,4
"Office Meeting","01-8233203",2,3,4,3,3
"Office Meeting","83-4655617",4,4,5,3,5
"Office Meeting","41-3646223",1,2,2,1,4
"Social Gathering","80-9147650",5,3,5,5,4
"Social Gathering","15-5525240",3,1,2,4,2
"Social Gathering","22-5910633",2,5,4,1,3
"Social Gathering","16-0902042",3,3,3,5,5
"Social Gathering","95-5753225",4,3,1,1,4
"Social Gathering","94-6981874",4,2,3,3,1
"Social Gathering","28-1899958",1,2,2,1,5
"Social Gathering","64-1379252",4,3,5,1,4
"Social Gathering","78-9207169",2,1,2,3,1
"Social Gathering","98-2151191",4,2,2,4,4
"Social Gathering","88-6705656",4,3,2,2,4
"Social Gathering","05-4098622",3,2,5,5,5
"Social Gathering","00-0338411",4,1,1,4,4
"Social Gathering","09-7403225",3,4,4,2,2
"Social Gathering","62-8778179",1,3,4,2,2
"Social Gathering","82-1441274",3,3,2,5,4
"Social Gathering","18-5317663",2,2,2,5,1
"Social Gathering","53-6350125",2,1,1,3,5
"Social Gathering","38-1353978",4,2,5,1,1
"Social Gathering","69-6570695",5,2,4,3,1
"Social Gathering","30-0777517",5,5,5,5,4
"Social Gathering","21-7930737",3,5,4,2,4
"Social Gathering","55-2467924",1,1,5,2,4
"Social Gathering","87-9980065",4,2,2,4,2
"Social Gathering","97-1306331",2,2,2,2,1
"Social Gathering","69-7772184",5,4,2,2,1
"Social Gathering","97-9100858",2,4,2,5,3
"Social Gathering","94-5086081",4,4,2,1,4
"Social Gathering","50-2818192",4,1,3,3,2
"Social Gathering","15-6915194",2,3,2,5,4
"Social Gathering","62-6459218",2,2,4,4,2
"Social Gathering","87-4728224",4,1,1,2,3
"Social Gathering","50-7055910",4,5,5,4,5
"Social Gathering","09-0656702",4,4,2,1,3
"Social Gathering","68-3248973",2,2,4,3,2
"Social Gathering","94-2557349",2,3,2,5,5
"Social Gathering","35-6281962",2,3,5,2,3
"Social Gathering","28-7320767",2,3,2,3,5
"Social Gathering","17-6023589",1,5,5,1,5
"Social Gathering","84-6158323",2,4,5,2,3
"Social Gathering","61-2372929",5,3,5,1,4
"Social Gathering","54-3019347",5,3,2,1,4
"Social Gathering","77-0651141",4,3,1,2,1
"Social Gathering","09-3116498",3,4,3,2,4
"Social Gathering","84-1986250",2,3,5,1,2
"Social Gathering","31-5472707",2,3,3,1,1
"Social Gathering","76-7909920",1,3,4,2,2
"Social Gathering","53-1972830",1,3,4,4,4
"Social Gathering","15-2554308",5,3,5,4,2
"Social Gathering","27-3750814",1,4,2,4,3
"Social Gathering","20-1690614",5,5,3,1,5
"Social Gathering","51-5519732",5,1,5,4,1
"Social Gathering","53-2976728",3,5,4,3,3
"Social Gathering","70-4631089",1,2,3,1,2
"Social Gathering","84-3559250",3,2,4,5,5
"Social Gathering","95-5437161",4,3,1,4,4
"Social Gathering","85-4223017",3,3,5,5,2
"Social Gathering","98-3645705",2,3,3,5,4
"Social Gathering","86-6141798",1,4,5,2,4
"Social Gathering","92-1477005",3,4,4,5,2
"Social Gathering","28-1043998",4,2,2,3,1
"Social Gathering","45-5095417",4,3,1,1,5
"Social Gathering","73-9830994",5,1,3,3,2
"Social Gathering","06-3494007",1,3,3,4,5
"Social Gathering","75-4191676",1,4,2,1,5
"Social Gathering","96-0438341",4,3,4,5,3
"Social Gathering","74-7885379",3,2,3,4,2
"Social Gathering","86-2570324",3,1,2,4,3
"Social Gathering","96-3353625",4,4,1,2,1
"Social Gathering","54-1458394",5,5,5,3,2
"Social Gathering","98-7440882",2,1,5,2,3
"Social Gathering","96-9783248",3,4,1,2,5
"Social Gathering","18-7832533",1,3,5,1,1
"Social Gathering","19-6942847",1,2,4,3,1
"Social Gathering","12-5374186",2,1,1,2,2
"Social Gathering","66-0604359",4,5,5,5,5
"Social Gathering","16-0338242",1,2,5,2,1
"Social Gathering","87-4622165",1,4,5,2,1
"Social Gathering","13-2045089",1,1,3,4,5
"Social Gathering","64-1094082",4,3,4,4,5
"Social Gathering","48-1734927",3,5,3,2,3
"Social Gathering","52-4009968",3,4,5,5,1
"Social Gathering","47-6750983",1,5,4,3,2
"Social Gathering","62-9521418",2,5,2,5,1
"Social Gathering","88-1706637",1,2,3,2,2
"Social Gathering","74-3092664",3,4,1,2,1
"Social Gathering","65-1688421",5,1,2,2,4
"Social Gathering","59-8565627",5,3,2,2,4
"Social Gathering","05-1605436",3,1,2,5,3
"Social Gathering","36-6447358",1,4,2,1,3
"Social Gathering","03-0332161",1,4,4,5,1
"Social Gathering","85-6482149",5,4,4,2,3
"Social Gathering","50-1089343",5,4,4,2,4
"Social Gathering","74-4276050",5,1,2,4,1
"Social Gathering","52-6312231",2,3,4,1,2
"Social Gathering","06-4134976",3,2,3,2,4
"Social Gathering","24-2017567",3,1,1,2,5
"Social Gathering","59-8614339",5,3,5,3,4
"Social Gathering","24-5805307",3,5,4,2,4
"Social Gathering","67-5208961",1,5,3,4,5
"Social Gathering","97-8312244",4,2,4,4,1
"Social Gathering","41-8838479",1,2,3,5,5
"Social Gathering","90-1023731",1,4,2,1,2
"Social Gathering","76-7510854",4,3,5,2,2
"Social Gathering","03-2119934",5,5,4,2,1
"Social Gathering","20-3698715",5,4,5,4,5
"Social Gathering","47-9202154",3,5,3,3,5
"Social Gathering","88-4797975",5,3,4,2,3
"Social Gathering","71-9253964",4,1,2,4,4
"Social Gathering","43-2657752",4,2,1,1,4
"Social Gathering","86-3804649",2,2,4,5,4
"Social Gathering","20-4516093",3,4,5,2,3
"Social Gathering","36-2182868",5,5,3,3,5
"Social Gathering","63-0503022",3,2,5,2,2
"Social Gathering","56-2403754",1,2,1,2,5
"Social Gathering","59-0502302",1,2,1,2,4
"Social Gathering","92-9654904",3,2,4,3,1
"Social Gathering","25-1290957",3,2,2,3,4
"Social Gathering","44-9352399",5,4,3,2,4
"Social Gathering","09-7888224",3,5,3,3,4
"Social Gathering","24-1749497",2,4,3,5,5
"Social Gathering","07-8579574",1,4,2,4,5
"Social Gathering","48-7075802",2,3,1,4,5
"Social Gathering","98-2500240",2,2,1,2,5
"Social Gathering","03-3677083",4,3,4,2,4
"Social Gathering","49-5031936",1,3,1,3,4
"Social Gathering","96-6343698",2,1,2,1,2
"Social Gathering","38-7579581",4,1,1,1,5
"Social Gathering","50-6298507",2,3,2,4,1
"Social Gathering","97-7735772",3,4,4,3,2
"Social Gathering","40-7669956",5,5,5,1,1
"Social Gathering","03-2575667",3,4,5,1,5
"Social Gathering","29-8053321",5,2,1,2,5
"Social Gathering","94-6932350",1,3,2,3,2
"Social Gathering","09-9954978",5,5,5,5,2
"Social Gathering","56-4394224",3,2,1,3,5
"Social Gathering","62-6439826",5,5,2,2,5
"Social Gathering","75-0195899",5,3,5,5,5
"Social Gathering","93-3991612",2,5,4,5,3
"Social Gathering","67-2532193",2,1,2,2,4
"Social Gathering","75-7716088",4,3,2,4,5
"Social Gathering","62-2688885",5,3,4,3,5
"Social Gathering","39-9049563",4,2,2,3,5
"Social Gathering","78-7792873",2,3,4,5,5
"Social Gathering","00-2237375",2,4,3,1,2
"Social Gathering","74-3453252",1,5,1,2,1
"Social Gathering","81-9093331",4,1,2,1,3
"Social Gathering","65-7822713",3,5,3,5,1
"Social Gathering","51-2822368",5,4,2,4,5
"Social Gathering","04-0238579",4,5,3,2,3
"Social Gathering","46-8860007",2,2,2,1,5
"Social Gathering","51-4261277",2,2,1,5,4
"Social Gathering","06-7998392",2,3,5,5,3
"Social Gathering","72-8404397",3,1,4,3,5
"Social Gathering","12-1566056",5,2,2,2,2
"Social Gathering","90-2258477",5,4,5,2,1
"Social Gathering","84-0486388",3,3,1,1,4
"Social Gathering","10-6107834",1,2,4,3,5
"Social Gathering","34-8295488",3,5,5,2,3
"Social Gathering","95-7739192",5,4,3,2,1
"Social Gathering","12-1103477",2,1,1,3,1
"Social Gathering","36-0112688",5,2,2,5,1
"Social Gathering","21-8218131",1,3,3,5,4
"Social Gathering","04-5823409",1,3,1,4,4
"Social Gathering","65-0329245",1,2,4,2,2
"Social Gathering","58-3950629",3,4,3,3,2
"Social Gathering","07-2616095",2,2,5,3,2
"Social Gathering","02-3152226",4,3,5,5,3
"Social Gathering","52-1754614",3,2,4,4,4
"Social Gathering","14-6594081",3,1,3,2,2
"Social Gathering","77-8334262",3,4,1,2,3
"Social Gathering","39-1062417",3,5,5,2,3
"Social Gathering","55-6119635",1,5,3,4,3
"Social Gathering","59-6322849",3,1,5,1,5
"Social Gathering","33-1679213",4,2,1,5,3
"Social Gathering","21-9986691",2,3,3,2,3
"Social Gathering","37-0701517",3,5,2,3,1
"Social Gathering","09-0347533",1,3,3,1,4
"Social Gathering","84-3489805",2,3,5,4,5
"Social Gathering","91-0191632",3,2,1,2,3
"Social Gathering","69-2536139",3,1,4,2,2
"Social Gathering","37-4093732",1,2,2,4,5
"Social Gathering","75-6347364",1,1,3,1,4
"Social Gathering","53-3238780",5,4,4,5,2
"Social Gathering","05-5262237",5,5,1,1,5
"Social Gathering","29-5879403",3,1,5,5,1
"Social Gathering","81-4804219",5,4,4,2,4
"Social Gathering","31-7463211",1,3,1,2,5
"Social Gathering","84-1039365",5,5,2,3,5
"Social Gathering","27-8496476",2,3,3,4,5
"Social Gathering","14-0356748",2,4,5,2,1
"Social Gathering","25-9674057",4,5,3,5,3
"Social Gathering","58-3954221",1,3,1,4,4
"Social Gathering","29-6584728",1,5,1,2,5
"Social Gathering","44-2995354",2,2,1,4,5
"Social Gathering","87-0815376",1,4,3,5,4
"Social Gathering","22-4706153",1,3,4,4,4
"Social Gathering","58-8914436",5,4,5,1,3
"Social Gathering","99-7779919",4,4,1,1,3
"Social Gathering","00-8196310",3,2,3,2,1
"Social Gathering","74-6977839",5,2,4,4,4
"Social Gathering","42-2087973",3,2,5,2,4
"Social Gathering","28-3021379",4,1,3,3,3
"Social Gathering","33-0620502",5,1,4,2,4
"Social Gathering","93-1293472",1,2,4,1,4
"Social Gathering","04-3829967",2,5,2,4,2
"Social Gathering","31-2500348",2,3,1,4,2
"Social Gathering","92-2142178",5,1,1,1,1
"Social Gathering","00-8409041",3,2,2,3,1
"Social Gathering","52-2037720",1,4,3,3,2
"Social Gathering","79-0089902",3,3,2,2,3
"Social Gathering","20-3571709",1,1,1,2,4
"Social Gathering","09-5773593",4,3,3,3,3
"Social Gathering","21-4178663",1,5,3,5,5
"Social Gathering","88-7465539",3,2,2,1,5
"Social Gathering","62-4047033",4,2,4,3,2
"Social Gathering","50-8032446",5,5,4,4,1
"Social Gathering","78-6863786",3,2,4,1,2
"Social Gathering","46-0649288",2,1,4,1,4
"Social Gathering","91-8366803",3,5,1,5,3
"Social Gathering","70-0108360",3,3,3,5,5
"Social Gathering","74-9981466",4,4,4,3,5
"Social Gathering","97-8972316",3,5,5,1,2
"Social Gathering","71-8914820",2,2,3,5,3
"Social Gathering","04-0470117",3,1,4,3,1
"Social Gathering","81-2761275",4,1,2,4,4
"Social Gathering","04-5355094",3,5,4,4,1
"Social Gathering","29-2531554",1,2,4,3,3
"Social Gathering","27-7850882",1,3,4,3,4
"Social Gathering","71-7348250",5,1,2,1,1
"Social Gathering","30-3185484",1,1,4,4,1
"Social Gathering","83-5077318",5,4,5,4,4
"Social Gathering","01-6687443",2,3,4,5,1
"Social Gathering","81-9084290",5,5,4,2,3
"Social Gathering","28-0038924",4,3,1,1,5
"Social Gathering","91-2380248",3,5,1,1,2
"Social Gathering","64-9612674",2,1,1,4,5
"Social Gathering","42-5375406",4,3,4,4,2
"Social Gathering","75-0970799",1,4,5,3,3
"Social Gathering","16-7082161",4,4,3,2,1
"Social Gathering","64-3173658",3,1,3,2,2
"Social Gathering","76-4046243",3,5,2,5,4
"Social Gathering","84-2375803",4,2,2,3,3
"Social Gathering","05-1478420",3,5,3,1,3
"Social Gathering","30-9346249",5,2,2,3,1
"Social Gathering","11-4488240",1,4,3,5,4
"Social Gathering","87-9093387",2,3,2,1,1
"Social Gathering","39-8810630",1,5,3,5,4
"Social Gathering","28-7037156",2,4,4,2,1
"Social Gathering","60-8065232",4,2,4,3,2
"Social Gathering","67-1380301",4,2,5,1,2
"Social Gathering","16-5457082",5,2,5,5,3
"Social Gathering","61-2471252",1,3,1,5,2
"Social Gathering","50-2314230",1,3,1,1,4
"Social Gathering","87-4889056",1,2,2,3,4
"Social Gathering","36-8695570",3,2,1,2,1
"Social Gathering","57-9554782",3,4,2,1,1
"Social Gathering","83-3045555",4,1,5,1,3
"Social Gathering","64-3786570",5,2,3,2,5
"Social Gathering","80-7891820",5,4,2,4,5
"Social Gathering","85-0378050",2,4,5,3,1
"Social Gathering","33-1365122",2,2,1,4,2
"Social Gathering","48-6455662",3,1,5,5,2
"Social Gathering","62-1431908",3,4,2,2,1
"Social Gathering","67-3816546",2,4,5,4,2
"Social Gathering","20-0667506",2,1,1,2,3
"Social Gathering","70-5589957",5,3,2,3,5
"Social Gathering","74-0958860",5,2,3,1,2
"Social Gathering","46-5052805",3,2,3,4,3
"Social Gathering","34-3951393",4,1,3,3,4
"Social Gathering","23-9603502",2,2,4,2,3
"Social Gathering","16-6241990",1,3,2,4,5
"Social Gathering","07-8872644",4,2,1,5,5
"Social Gathering","13-5350253",2,2,4,5,1
"Social Gathering","07-6731533",3,1,4,3,2
"Social Gathering","66-6546688",4,1,1,2,4
"Social Gathering","93-9026332",3,5,5,4,5
"Social Gathering","65-2153897",4,1,1,2,5
"Social Gathering","90-1345952",4,3,5,4,5
"Social Gathering","94-1555232",2,4,2,5,2
"Social Gathering","69-2184415",2,4,3,1,1
"Social Gathering","73-2557844",1,5,1,2,2
"Social Gathering","86-8071844",1,3,4,3,5
"Social Gathering","34-4562279",5,5,2,2,5
"Social Gathering","14-5172980",4,5,2,1,4
"Social Gathering","00-7259934",3,3,1,1,2
"Social Gathering","66-6283957",3,4,2,5,3
"Social Gathering","31-2739739",4,3,1,2,4
"Social Gathering","68-1091094",4,5,4,2,4
"Social Gathering","57-9386148",5,5,3,3,5
"Social Gathering","97-2108682",3,3,2,4,1
"Social Gathering","85-8218509",4,3,1,2,3
"Social Gathering","28-5261154",5,3,3,5,2
"Social Gathering","66-0748175",5,3,3,5,4
"Social Gathering","87-5368797",4,2,4,1,5
"Social Gathering","05-3968368",2,2,1,5,2
"Social Gathering","58-0316767",1,1,3,2,5
"Social Gathering","92-8207360",3,1,3,2,4
"Social Gathering","64-7265100",5,5,1,2,3
"Social Gathering","34-9331005",2,3,4,1,2
"Social Gathering","36-7964388",4,4,3,3,3
"Social Gathering","30-3218501",2,1,1,1,1
"Social Gathering","92-3743716",3,3,5,4,1
"Social Gathering","38-8176096",1,4,1,1,3
"Social Gathering","45-3688256",5,4,2,5,1
"Social Gathering","08-5685766",1,2,4,4,4
"Social Gathering","59-9465201",3,5,2,2,1
"Social Gathering","63-3272382",1,1,1,3,3
"Social Gathering","08-1540535",1,2,2,1,3
"Social Gathering","02-6015352",3,5,3,3,1
"Social Gathering","34-8248435",2,2,5,3,1
"Social Gathering","71-5095613",4,1,4,3,4
"Social Gathering","60-5236085",2,4,5,4,5
"Social Gathering","63-6631441",3,3,4,2,2
"Social Gathering","32-5265852",1,2,2,2,1
"Social Gathering","68-0897524",3,4,5,2,1
"Social Gathering","90-2748325",3,2,4,2,3
"Social Gathering","03-1031230",5,1,2,3,4
"Social Gathering","87-7580456",4,3,5,4,3
"Social Gathering","84-0813014",1,4,3,2,4
"Social Gathering","78-1914017",3,5,1,1,3
"Social Gathering","34-7106176",2,1,2,1,4
"Social Gathering","49-0376063",5,2,3,4,1
"Sports Gathering","46-5585931",2,5,2,5,3
"Sports Gathering","80-5530372",2,1,4,4,5
"Sports Gathering","41-3089545",2,1,3,5,2
"Sports Gathering","35-3068619",4,5,4,4,3
"Sports Gathering","99-5837648",5,4,4,4,2
"Sports Gathering","06-3104161",1,1,2,4,4
"Sports Gathering","59-4367010",4,5,2,5,2
"Sports Gathering","09-4579770",5,5,5,5,1
"Sports Gathering","11-0362597",5,5,2,3,1
"Sports Gathering","26-3232770",5,1,3,5,2
"Sports Gathering","24-4246236",4,5,2,1,4
"Sports Gathering","27-4555383",4,1,4,5,4
"Sports Gathering","61-1585225",2,2,2,1,5
"Sports Gathering","37-8636180",1,4,3,1,3
"Sports Gathering","12-5826281",5,2,5,3,1
"Sports Gathering","85-3345760",2,4,5,5,2
"Sports Gathering","87-2269577",2,5,4,5,1
"Sports Gathering","91-5299193",4,4,4,4,5
"Sports Gathering","86-1990229",5,1,1,2,5
"Sports Gathering","91-2353623",1,2,3,1,5
"Sports Gathering","85-9288773",2,4,1,2,1
"Sports Gathering","27-6650865",1,2,3,4,4
"Sports Gathering","06-4457062",2,3,4,3,2
"Sports Gathering","46-9599636",2,3,5,1,4
"Sports Gathering","78-6630889",2,3,3,1,3
"Sports Gathering","10-6461973",4,1,3,1,2
"Sports Gathering","50-4761206",1,3,1,1,4
"Sports Gathering","77-3068478",1,1,2,5,4
"Sports Gathering","11-7657598",2,4,4,5,4
"Sports Gathering","28-6501167",5,1,3,2,1
"Sports Gathering","29-3228855",2,4,2,5,3
"Sports Gathering","36-8060784",4,4,4,4,1
"Sports Gathering","06-0918337",1,3,3,2,2
"Sports Gathering","58-3494452",3,3,3,4,3
"Sports Gathering","33-5842974",3,3,1,3,1
"Sports Gathering","22-9687864",2,1,3,5,5
"Sports Gathering","12-1470269",4,3,2,4,4
"Sports Gathering","06-1632027",4,3,4,1,3
"Sports Gathering","67-5738484",1,2,4,4,3
"Sports Gathering","84-8441282",1,5,1,2,1
"Sports Gathering","65-7494389",4,1,1,3,2
"Sports Gathering","63-3551447",5,4,1,5,2
"Sports Gathering","84-9605086",4,3,2,3,5
"Sports Gathering","44-5523175",2,5,4,4,1
"Sports Gathering","59-3133735",2,4,4,5,1
"Sports Gathering","52-6843819",3,5,5,5,2
"Sports Gathering","29-2311785",3,1,5,3,5
"Sports Gathering","52-3367775",2,5,5,2,3
"Sports Gathering","57-1783917",3,4,4,5,5
"Sports Gathering","39-3290518",1,4,2,2,2
"Sports Gathering","48-0461253",1,4,5,2,1
"Sports Gathering","96-0739167",4,5,2,5,4
"Sports Gathering","83-0788844",3,4,5,1,3
"Sports Gathering","87-3284145",2,5,1,2,5
"Sports Gathering","37-6236397",2,5,5,3,1
"Sports Gathering","98-2685975",4,4,1,1,3
"Sports Gathering","03-6633308",4,3,1,4,1
"Sports Gathering","35-7826907",5,1,4,1,5
"Sports Gathering","67-9445229",4,2,5,5,2
"Sports Gathering","20-3607747",3,1,5,2,1
"Sports Gathering","81-3240722",3,4,2,1,5
"Sports Gathering","26-6881860",1,2,2,4,1
"Sports Gathering","19-8006128",2,2,5,4,1
"Sports Gathering","67-2482697",5,3,1,2,5
"Sports Gathering","29-6519196",4,5,4,4,4
"Sports Gathering","66-9196036",2,1,1,5,5
"Sports Gathering","28-5619106",4,3,1,4,3
"Sports Gathering","26-2853113",4,3,3,3,4
"Sports Gathering","47-2897728",2,2,1,3,5
"Sports Gathering","81-4547419",5,1,3,1,2
"Sports Gathering","57-3036118",5,5,4,2,1
"Sports Gathering","44-4224779",2,4,3,3,3
"Sports Gathering","76-5378495",3,4,1,2,2
"Sports Gathering","92-8134186",5,2,3,3,3
"Sports Gathering","83-0281662",1,1,1,4,2
"Sports Gathering","54-0048934",3,2,5,5,3
"Sports Gathering","37-3494521",2,1,5,1,3
"Sports Gathering","68-6889540",2,2,4,1,1
