"Fuel_Type","Asset_Category","Asset","Asset_Type","CountryCode","Date","Business_Region","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Natural Gas","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2021-04-12","North America",100,3595,400000,12,135000,350000,56634,11,1.05,48214,129,3139,43566,150000,14000000,1813,21234,5,2.13,15273,123324,45443,90260,35000000,416000,53423,16002,30000,334,10.8,21323,829,1.7,33750
"Heat","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","CAN","2022-10-16","North America",71,258,250000,13,120000,350000,76855,16,2.68,25714,140,3560,34345,123678,15000000,1660,22345,4,5.4,18774,123324,34124,39676,29000000,423000,12454,15150,2613000,24,11.1,15000,941,5.5,18000
"Cooling","Stationary","230 Burlingame Ave.","Comercial Building","USA","2020-12-14","LATAM",62,3154,400000,5,154000,400000,67688,24,0.24,44000,54,3139,23454,100000,17000000,1140,34543,10,0.59,14158,123324,66544,95821,31023124,454000,12354,85827,2762000,293,15,18608,829,4.2,30800
"FuelOil","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2019-10-21","Middle East",85,2626,350000,19,135000,300000,67688,11,0.22,57857,205,3560,43566,100000,17000000,2109,34543,6,0.45,13695,123324,66544,11332,31023124,434000,12354,70816,33000,244,12,18608,941,0.2,40500
"Diesel","Stationary","140 Mission St","Comercial Building","USA","2020-06-20","AMER",64,797,400000,19,154000,450000,76855,19,0.24,66000,205,3139,34345,123678,14000000,1807,22345,7,0.59,11803,123324,34124,91640,29000000,357000,53423,90883,2578000,74,13.4,15000,829,0.4,46200
"Refrigerant","Stationary","North Longs Peak","Comercial Building","ARG","2021-09-08","South America",83,2250,350000,7,120000,500000,56634,19,0.19,42857,75,3139,23454,150000,15000000,1365,21234,7,0.37,17185,123324,45443,87411,35000000,473000,12454,19979,23000,209,14.9,21323,829,5.7,30000
"Propane","Data Center","*AMER Financed Emissions","Data Center","IRL","2019-05-18","Central Asia",46,1744,250000,27,154000,500000,76855,7,0.01,44000,291,3560,43566,100000,17000000,425,34543,3,0.02,12664,123324,34124,75523,31023124,454000,12354,2429,12000,162,11.9,15000,941,5.3,30800
"Electricity","Stationary","ARL-WQ7 DC 9W","Comercial Building","CHN","2022-12-09","Middle East",34,2486,450000,25,120000,450000,56634,11,3.2,25714,269,3139,23454,123678,15000000,793,22345,6,3.12,15245,123324,45443,67898,29000000,352000,12454,71486,2560000,231,11.5,21323,829,0.9,18000
"Steam","Scope 3","*Business Travel FY21","Scope 3","FRA","2019-10-26","ANZ",43,1130,450000,3,135000,300000,67688,18,3.39,57857,32,3139,34345,150000,14000000,543,21234,5,6.87,12378,123324,66544,40176,35000000,434000,53423,3185,11000,105,11.4,18608,829,1.2,40500
"Steam","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2021-07-14","LATAM",71,3434,350000,4,120000,350000,76855,6,0.22,34286,43,3139,23454,100000,17000000,1863,22345,9,0.45,10243,123324,34124,90304,29000000,386000,12354,91817,2552000,319,12.8,18608,829,0.5,24000
"Cooling","Data Center","Business Travel FY22","Data Center","MAR","2020-08-26","AMER",62,1485,400000,5,154000,400000,56634,13,0.22,55000,54,3560,43566,123678,15000000,1038,34543,4,0.45,16489,123324,45443,25563,31023124,353000,12454,73924,2013000,138,10.3,15000,941,3,38500
"Natural Gas","Stationary","East Longs Peak","Comercial Building","IND","2022-03-10","Southeast Asia",37,872,450000,26,135000,450000,67688,16,4.97,28929,280,3560,34345,150000,14000000,537,21234,10,10.02,13550,123324,66544,10839,35000000,474000,53423,7867,31000,81,14.1,21323,941,3.7,20250
"FuelOil","Stationary","Centre St Tower 8","Comercial Building","ARG","2019-05-29","North America",30,1959,400000,3,120000,500000,76855,10,0.19,25714,32,3560,34345,100000,15000000,432,34543,10,0.37,10097,123324,34124,30883,31023124,435000,12354,81832,30000,182,15,18608,941,4.2,18000
"Electricity","Stationary","9267 Contralia Cowter Ct","Comercial Building","GBR","2021-02-17","Central America",50,323,450000,11,154000,300000,67688,5,5.99,66000,118,3139,23454,123678,14000000,333,22345,8,12.14,17740,123324,45443,63710,29000000,471000,53423,87354,2219000,30,11,21323,829,5.8,46200
"Refrigerant","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","SGP","2020-10-28","Middle East",69,3897,350000,8,135000,400000,56634,30,0.42,38571,86,3139,43566,150000,17000000,1263,21234,8,0.85,13802,123324,66544,94032,35000000,352000,12454,6910,34000,362,14.3,15000,829,2.3,27000
"Diesel","Vehicle","Company Jet #2","Private Jet","GBR","2022-06-17","Southeast Asia",78,1227,400000,8,154000,350000,76855,7,5.99,55000,86,3560,34345,150000,14000000,2209,22345,7,12.14,12844,123324,66544,12216,29000000,430000,12454,16949,2409000,114,13.9,18608,941,4.8,38500
"Propane","Scope 3","Business Travel FY20","Scope 3","BRA","2021-12-14","Central America",64,4198,250000,9,120000,400000,56634,4,1.05,34286,97,3139,43566,123678,17000000,2237,21234,10,2.13,11765,123324,45443,69991,31023124,466000,12354,15346,3397000,390,12.9,15000,829,0.4,24000
"Heat","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2019-03-09","EMEA",90,4747,400000,2,135000,300000,67688,2,2.52,57857,22,3560,23454,100000,15000000,902,34543,6,5.15,13411,123324,34124,62377,35000000,464000,53423,18723,10000,441,12.8,21323,941,5.9,40500
"Heat","Stationary","513 Severing St","Comercial Building","SGP","2020-05-25","APAC",35,4230,300000,19,120000,500000,56634,24,0.42,42857,205,3139,34345,150000,14000000,2039,22345,5,0.85,10011,123324,34124,67395,35000000,443000,12454,97746,2045000,393,10.6,21323,829,5.6,30000
"Diesel","Stationary","217 Xevering St","Comercial Building","USA","2022-06-20","APAC",48,1690,400000,25,135000,350000,76855,1,0.24,28929,269,3560,43566,123678,17000000,1120,34543,3,0.59,16771,123324,66544,10982,29000000,449000,53423,18593,34000,157,11.9,15000,941,5.1,20250
"Steam","Vehicle","Company Shuttle #2","Fleet Vehicle","CAN","2020-03-26","South America",56,2745,400000,14,154000,450000,67688,12,2.68,33000,151,3139,23454,100000,15000000,1582,21234,7,5.4,19831,123324,45443,23263,31023124,438000,12354,85148,14000,255,12.4,18608,829,3.5,23100
"Electricity","Stationary","JLP Square South","Comercial Building","ARG","2022-03-27","Europe",42,678,400000,18,135000,350000,56634,30,0.19,38571,194,3560,23454,100000,17000000,549,21234,7,0.37,18727,123324,34124,26604,35000000,474000,12454,82028,2503000,63,10.3,21323,941,4.4,27000
"FuelOil","Data Center","Value Chain","Data Center","AUS","2019-02-24","APAC",33,861,350000,1,154000,400000,67688,17,4.19,55000,11,3560,34345,123678,14000000,2127,34543,10,8.45,15720,123324,66544,42753,31023124,482000,53423,90185,28000,80,10.5,15000,941,0.2,38500
"Refrigerant","Vehicle","Company Jet #1","Private Jet","JPN","2021-12-12","North America",30,1066,400000,9,120000,300000,76855,27,2.52,51429,97,3560,43566,150000,15000000,1510,22345,6,5.15,12223,123324,45443,23896,29000000,447000,12354,4135,3201000,99,12.3,18608,941,4.9,36000
"Propane","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2019-07-31","Central Asia",33,2497,250000,30,120000,450000,56634,19,2.52,42857,323,3560,34345,123678,14000000,1671,21234,3,5.15,19851,123324,66544,60501,29000000,424000,12454,98103,2885000,232,13.7,15000,941,1.4,30000
"Cooling","Stationary","TX - Marion","Comercial Building","CHN","2022-06-01","APAC",60,4392,350000,18,135000,500000,76855,5,3.2,38571,194,3560,23454,150000,15000000,499,22345,8,3.12,15041,123324,34124,64262,31023124,400000,12354,71514,20000,408,11.2,21323,941,0.5,27000
"Natural Gas","Scope 3","Business Travel FY19","Scope 3","IND","2020-05-20","Southeast Asia",87,4510,350000,1,154000,300000,67688,17,4.97,33000,11,3139,43566,100000,17000000,1697,34543,4,10.02,10985,123324,45443,71350,35000000,436000,53423,9735,12000,419,13.6,18608,829,1.4,23100
"Natural Gas","Vehicle","9948 Contralia Cowter Ct","Fleet Vehicle","USA","2021-01-25","Central America",68,1206,450000,25,135000,450000,56634,29,0.24,57857,269,3139,23454,123678,15000000,1866,34543,6,0.59,15393,123324,66544,68292,29000000,393000,12354,9613,2595000,112,14.6,15000,829,3,40500
"Steam","Stationary","South Longs Peak","Comercial Building","IND","2020-03-06","Southeast Asia",100,1765,400000,21,120000,350000,67688,3,4.97,51429,226,3139,34345,150000,17000000,1045,22345,5,10.02,11564,123324,45443,43107,31023124,457000,12454,1231,2304000,164,14.4,18608,829,1.3,36000
"Diesel","Scope 3","Business Travel FY22","Scope 3","FRA","2019-08-08","AMER",78,4230,350000,2,154000,500000,76855,6,3.39,33000,22,3560,43566,100000,14000000,1064,21234,6,6.87,15444,123324,34124,42374,35000000,402000,53423,19348,28000,393,14.7,21323,941,4.2,23100
"Electricity","Stationary","West Longs Peak","Comercial Building","BRA","2022-05-29","South America",38,1679,450000,14,120000,400000,76855,1,1.05,42857,151,3560,34345,150000,14000000,516,22345,6,2.13,10048,123324,66544,69391,35000000,457000,12354,99116,3459000,156,13.2,18608,941,5.1,30000
"FuelOil","Data Center","Value Chain","Data Center","AUS","2021-10-26","Middle East",75,420,400000,1,135000,400000,67688,10,4.19,38571,11,3139,43566,100000,15000000,1153,34543,4,8.45,19584,123324,45443,53817,31023124,493000,53423,5749,34000,39,10.7,21323,829,5.3,27000
"Refrigerant","Stationary","230 Burlingame Ave.","Comercial Building","USA","2022-01-21","ANZ",70,1582,400000,11,154000,500000,56634,26,0.24,33000,118,3560,23454,123678,17000000,978,21234,3,0.59,16621,123324,34124,80098,29000000,396000,12454,87101,32000,147,14.3,15000,941,1.3,23100
"Heat","Stationary","Straight St Tower 4","Comercial Building","AUS","2019-02-25","AMER",88,3003,250000,2,154000,300000,67688,14,4.19,44000,22,3560,43566,100000,14000000,1563,21234,8,8.45,15072,123324,45443,57858,35000000,374000,53423,18313,3207000,279,11.8,15000,941,5.9,30800
"Propane","Stationary","Centre St Tower 8","Comercial Building","IND","2021-05-07","North America",84,3821,300000,7,120000,450000,56634,8,4.97,42857,75,3139,34345,123678,15000000,2139,34543,3,10.02,14047,123324,66544,84885,29000000,463000,12354,94331,2900000,355,12.2,21323,829,1.4,30000
"Cooling","Stationary","Centre St Tower 4","Comercial Building","USA","2020-11-04","AMER",35,4521,400000,3,135000,350000,76855,6,0.24,57857,32,3139,23454,150000,17000000,1034,22345,3,0.59,19306,123324,34124,52033,31023124,412000,12454,74888,10000,420,12.3,18608,829,2.8,40500
"Steam","Data Center","Freight Hauling - downstream distribution FY21","Data Center","IRL","2020-03-31","Central America",58,2120,400000,28,120000,300000,56634,26,0.01,42857,301,3139,34345,123678,17000000,981,22345,4,0.02,12971,123324,34124,35758,29000000,407000,12354,94154,2062000,197,15,15000,829,4.3,30000
"Propane","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2019-03-18","Middle East",43,4607,350000,8,135000,450000,76855,7,0.22,57857,86,3560,43566,150000,15000000,949,21234,5,0.45,10785,123324,66544,42598,31023124,448000,12454,81753,25000,428,14.2,21323,941,4.7,40500
"Cooling","Scope 3","Business Travel FY18","Scope 3","ARG","2021-12-22","Europe",84,3014,350000,1,154000,400000,67688,5,0.19,33000,11,3139,23454,100000,14000000,461,34543,4,0.37,10385,123324,45443,51061,35000000,406000,53423,19437,3491000,280,11.3,18608,829,0.7,23100
"Refrigerant","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","JPN","2022-12-23","South America",79,4316,250000,9,154000,350000,67688,27,2.52,44000,97,3560,23454,100000,15000000,520,21234,4,5.15,18935,123324,66544,39310,35000000,469000,12354,17780,12000,401,13.5,18608,941,1.3,30800
"Natural Gas","Stationary","JLP Square South","Comercial Building","ARG","2019-09-19","Europe",56,1173,400000,13,135000,500000,76855,20,0.19,38571,140,3139,43566,123678,17000000,408,34543,9,0.37,12522,123324,34124,99755,31023124,352000,12454,5951,11000,109,14.3,15000,829,4.1,27000
"FuelOil","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2020-03-29","EMEA",80,4241,400000,21,120000,350000,56634,7,2.52,42857,226,3560,34345,150000,14000000,983,22345,8,5.15,19274,123324,45443,11745,29000000,483000,53423,16820,2279000,394,10.2,21323,941,5.9,30000
"Diesel","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","SGP","2022-12-25","APAC",43,3595,350000,1,135000,300000,56634,5,0.42,28929,11,3560,43566,100000,14000000,2148,21234,5,0.85,15623,123324,45443,61622,29000000,436000,53423,15067,2276000,334,12.4,21323,941,4.8,20250
"Electricity","Vehicle","9948 Contralia Cowter Ct","Fleet Vehicle","USA","2021-03-29","Central America",68,3972,400000,25,154000,400000,76855,30,0.24,66000,269,3139,34345,150000,17000000,592,22345,9,0.59,14202,123324,34124,36945,31023124,471000,12354,5785,12000,369,11.9,18608,829,5.9,46200
"Heat","Vehicle","Company Shuttle #2","Fleet Vehicle","CHN","2021-07-12","EMEA",31,3810,400000,26,120000,450000,67688,12,3.2,34286,280,3139,23454,123678,15000000,805,34543,10,3.12,18150,123324,66544,45405,35000000,419000,12454,15366,10000,354,12.5,15000,829,2.9,24000
"Natural Gas","Data Center","Business Travel FY19","Data Center","MAR","2019-04-14","LATAM",83,2433,400000,17,135000,500000,76855,26,0.22,57857,183,3560,43566,100000,17000000,1118,21234,5,0.45,14008,123324,66544,88460,35000000,434000,53423,8877,3421000,226,13.4,18608,941,3,40500
"Cooling","Stationary","East Longs Peak","Comercial Building","IND","2020-04-21","Southeast Asia",86,1475,400000,28,154000,450000,56634,29,4.97,33000,301,3139,23454,123678,14000000,1726,34543,10,10.02,16176,123324,45443,74597,31023124,357000,12454,75552,25000,137,12.7,21323,829,5,23100
"Propane","Scope 3","Business Travel FY20","Scope 3","BRA","2022-04-20","Central Asia",88,1098,350000,26,120000,350000,67688,15,1.05,42857,280,3560,34345,150000,15000000,432,22345,5,2.13,19982,123324,34124,90194,29000000,429000,12354,86558,2955000,102,14.9,15000,941,1.9,30000
"Electricity","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2022-07-10","Central Asia",100,614,450000,11,120000,300000,67688,23,2.52,34286,118,3560,43566,100000,17000000,2079,22345,8,5.15,12630,123324,34124,94115,29000000,447000,12454,73975,34000,57,11.2,21323,941,5.6,24000
"Heat","Stationary","513 Severing St","Comercial Building","SGP","2021-01-31","APAC",43,1173,400000,15,154000,500000,76855,14,0.42,55000,161,3139,23454,123678,15000000,567,34543,6,0.85,12661,123324,45443,50961,35000000,449000,12354,16601,3273000,109,11,15000,829,4.7,38500
"Refrigerant","Stationary","9267 Contralia Cowter Ct","Comercial Building","GBR","2020-10-23","Central America",97,4521,250000,26,135000,400000,56634,5,5.99,28929,280,3560,34345,150000,14000000,1869,21234,7,12.14,11593,123324,66544,87829,31023124,394000,53423,9674,28000,420,11.2,18608,941,3.1,20250
"Steam","Stationary","North Longs Peak","Comercial Building","ARG","2019-05-28","South America",75,2293,350000,21,154000,450000,67688,16,0.19,66000,226,3139,23454,100000,14000000,1661,21234,4,0.37,16221,123324,34124,55182,31023124,367000,12354,95920,3243000,213,10.2,18608,829,0.3,46200
"Diesel","Stationary","JLP Square North","Comercial Building","FRA","2020-06-20","Europe",65,2196,400000,9,120000,400000,76855,9,3.39,25714,97,3139,34345,150000,17000000,2259,22345,9,6.87,13480,123324,66544,42217,29000000,489000,53423,84353,10000,204,11.8,15000,829,3.2,18000
"FuelOil","Stationary","81 Rue Mocklie","Comercial Building","FRA","2019-05-09","EMEA",92,4080,350000,23,135000,300000,56634,4,3.39,38571,248,3560,43566,123678,15000000,457,34543,6,6.87,12113,123324,45443,54173,35000000,473000,12454,76717,3207000,379,11.6,21323,941,3.7,27000
"Refrigerant","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2022-09-24","North America",48,3617,250000,29,154000,350000,76855,13,1.05,55000,312,3560,34345,150000,15000000,2256,21234,7,2.13,10402,123324,45443,16382,29000000,455000,53423,19452,2420000,336,12,15000,941,1.6,38500
"Electricity","Scope 3","*AMER Financed Emissions","Scope 3","CAN","2021-03-28","North America",41,2486,450000,28,120000,500000,67688,19,2.68,51429,301,3139,23454,123678,17000000,1344,22345,10,5.4,16280,123324,34124,67092,35000000,355000,12354,16825,19000,231,12.9,18608,829,5,36000
"Natural Gas","Vehicle","Company Jet #2","Private Jet","GBR","2021-03-19","AMER",47,1410,450000,19,135000,300000,56634,24,5.99,38571,205,3139,43566,100000,14000000,2144,34543,9,12.14,13148,123324,66544,41144,31023124,438000,12454,17718,2301000,131,10.6,21323,829,5.8,27000
"Diesel","Stationary","140 Mission St","Comercial Building","USA","2020-12-02","AMER",87,3035,300000,30,120000,400000,67688,22,0.24,25714,323,3560,43566,123678,17000000,1269,22345,6,0.59,19500,123324,34124,39178,29000000,362000,53423,73853,30000,282,12.4,21323,941,2.3,18000
"Propane","Stationary","217 Xevering St","Comercial Building","USA","2019-03-16","APAC",33,301,350000,15,135000,350000,56634,15,0.24,48214,161,3139,23454,100000,14000000,1130,21234,8,0.59,13030,123324,45443,98054,35000000,387000,12354,91859,23000,28,10.7,18608,829,2.7,33750
"Heat","Vehicle","Company Jet #1","Private Jet","CAN","2022-10-24","Central America",50,3940,400000,29,154000,450000,76855,2,2.68,66000,312,3560,34345,150000,15000000,364,34543,4,5.4,19997,123324,66544,47519,31023124,418000,12454,9038,2244000,366,13.1,15000,941,5.4,46200
"FuelOil","Stationary","ARL-WQ7 DC 9W","Comercial Building","BRA","2022-09-04","Middle East",35,560,400000,6,120000,500000,76855,11,1.05,42857,65,3560,43566,100000,15000000,1531,22345,10,2.13,16652,123324,45443,80594,35000000,362000,12354,88184,17000,52,10,21323,941,1.1,30000
"Steam","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2020-08-27","Central Asia",40,829,400000,22,135000,400000,67688,18,0.01,38571,237,3139,23454,150000,17000000,1230,21234,4,0.02,10672,123324,34124,17237,31023124,480000,53423,3053,2849000,77,10,15000,829,3.2,27000
"Cooling","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2019-02-03","LATAM",69,280,400000,26,154000,500000,56634,19,0.22,33000,280,3560,34345,123678,14000000,1042,34543,8,0.45,17749,123324,66544,89704,29000000,500000,12454,70573,16000,26,14.7,18608,941,2.7,23100
"Refrigerant","Stationary","South Longs Peak","Comercial Building","IND","2021-10-29","Southeast Asia",85,1905,350000,7,120000,300000,56634,25,4.97,51429,75,3139,43566,100000,15000000,786,34543,6,10.02,10860,123324,66544,37546,31023124,429000,12454,15257,2539000,177,14.7,15000,829,5.6,36000
"Natural Gas","Stationary","TX - Marion","Comercial Building","CHN","2019-07-03","APAC",100,4284,400000,1,154000,450000,67688,30,3.2,55000,11,3560,34345,123678,17000000,1136,22345,7,3.12,15560,123324,34124,49437,35000000,438000,53423,91070,31000,398,12.6,21323,941,0.2,38500
"FuelOil","Stationary","*Cirrus Tower","Comercial Building","USA","2022-03-27","AMER",55,1227,250000,1,135000,350000,76855,6,0.24,28929,11,3560,23454,150000,14000000,650,21234,5,0.59,17951,123324,45443,75652,29000000,354000,12354,99192,2823000,114,11.5,18608,941,2,20250
"Cooling","Data Center","*Business Travel FY21","Data Center","MAR","2021-06-22","Southeast Asia",61,2691,400000,29,135000,350000,76855,1,0.22,38571,312,3139,23454,123678,17000000,1204,21234,6,0.45,11225,123324,66544,82547,35000000,457000,12354,8078,3040000,250,14.7,15000,829,5,27000
"Heat","Stationary","Billhaus CTAW P4A","Comercial Building","USA","2020-08-15","ANZ",50,3961,350000,24,120000,300000,56634,4,0.24,51429,258,3139,43566,150000,14000000,1757,22345,3,0.59,15867,123324,45443,78944,31023124,398000,12454,85501,35000,368,12,18608,829,2,36000
"Diesel","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2022-12-05","ANZ",50,3563,400000,11,154000,500000,67688,12,0.42,33000,118,3139,34345,100000,15000000,954,34543,3,0.85,14943,123324,34124,54925,29000000,479000,53423,77911,23000,331,13.4,21323,829,4.4,23100
"Steam","Stationary","ARL-VA4 DC 4W","Comercial Building","ARG","2021-05-22","LATAM",85,3423,450000,30,154000,450000,67688,27,0.19,55000,323,3139,43566,100000,15000000,405,34543,7,0.37,19080,123324,45443,17356,29000000,445000,53423,17461,2259000,318,10.3,15000,829,5.2,38500
"Electricity","Stationary","North Longs Peak","Comercial Building","ARG","2019-09-11","South America",87,581,400000,12,135000,400000,56634,14,0.19,38571,129,3139,23454,123678,17000000,2167,22345,9,0.37,17035,123324,34124,66179,35000000,425000,12354,1484,18000,54,10.5,18608,829,1.9,27000
"Propane","Stationary","ARL-VA4 DC 4W","Comercial Building","ARG","2020-10-19","LATAM",98,506,250000,13,120000,500000,76855,15,0.19,51429,140,3560,34345,150000,14000000,628,21234,10,0.37,16140,123324,66544,99464,31023124,433000,12454,70603,2575000,47,14.7,21323,941,2.3,36000
"Cooling","Scope 3","Business Travel FY19","Scope 3","FRA","2022-01-07","EMEA",67,1765,300000,15,120000,450000,67688,12,3.39,25714,161,3560,34345,150000,14000000,2293,21234,3,6.87,17399,123324,34124,41838,29000000,489000,12454,18427,12000,164,10.1,21323,941,5.5,18000
"Natural Gas","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2021-06-08","LATAM",32,4510,350000,11,135000,300000,56634,29,0.22,38571,118,3139,23454,123678,15000000,2264,34543,6,0.45,14199,123324,66544,98951,35000000,368000,12354,87417,2636000,419,10.6,15000,829,5.3,27000
"Refrigerant","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2020-10-03","ANZ",81,603,350000,5,154000,400000,76855,18,0.42,55000,54,3139,43566,100000,17000000,776,22345,4,0.85,17779,123324,45443,44732,31023124,437000,53423,81531,34000,56,12.1,18608,829,0.9,38500
"Propane","Vehicle","Company Jet #1","Private Jet","SGP","2019-01-30","LATAM",77,947,400000,29,135000,350000,56634,8,0.42,57857,312,3560,34345,150000,14000000,1196,34543,10,0.85,16207,123324,66544,92065,35000000,464000,53423,78677,2777000,88,13,18608,941,4.7,40500
"FuelOil","Stationary","Centre St Tower 8","Comercial Building","AUS","2020-09-13","North America",49,3477,400000,4,154000,400000,67688,12,4.19,66000,43,3560,23454,123678,15000000,1289,22345,6,8.45,12982,123324,45443,49333,31023124,366000,12354,78991,2129000,323,14.5,15000,941,3.5,46200
"Steam","Data Center","Business Travel FY20","Data Center","IRL","2019-07-31","ANZ",57,2282,300000,20,120000,500000,76855,18,0.01,34286,215,3139,43566,100000,17000000,1508,21234,10,0.02,19177,123324,34124,81406,29000000,388000,12454,76579,17000,212,13.6,21323,829,1.2,24000
"Electricity","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2021-10-31","Central Asia",64,2809,350000,29,135000,350000,56634,25,0.01,48214,312,3139,34345,123678,14000000,1131,22345,9,0.02,10003,123324,34124,27856,35000000,380000,12454,76653,2577000,261,10.7,18608,829,3.7,33750
"Heat","Stationary","East Longs Peak","Comercial Building","IND","2022-04-02","Southeast Asia",77,334,350000,17,154000,300000,67688,16,4.97,33000,183,3560,43566,150000,15000000,1339,21234,9,10.02,15944,123324,45443,93514,31023124,480000,53423,18779,13000,31,10.6,21323,941,1.7,23100
"Diesel","Stationary","140 Mission St","Comercial Building","USA","2020-03-20","AMER",57,1206,400000,15,120000,450000,76855,22,0.24,25714,161,3560,23454,100000,17000000,581,34543,7,0.59,19522,123324,66544,97530,29000000,491000,12354,7023,2201000,112,14.6,15000,941,3.9,18000
"Steam","Data Center","*Business Travel FY21","Data Center","CHN","2022-02-06","APAC",83,2863,350000,29,120000,450000,67688,23,3.2,51429,312,3560,23454,123678,17000000,1076,34543,8,3.12,15916,123324,66544,46059,31023124,427000,53423,85501,24000,266,11.2,15000,941,2,36000
"Natural Gas","Scope 3","Value Chain","Scope 3","ARG","2021-06-27","South America",76,1302,450000,11,154000,300000,76855,8,0.19,44000,118,3560,43566,100000,14000000,1386,22345,5,0.37,14733,123324,45443,10060,29000000,427000,12454,18197,3137000,121,12,18608,941,1.8,30800
"Heat","Stationary","JLP Square North","Comercial Building","FRA","2019-03-22","Europe",57,818,250000,1,135000,500000,56634,29,3.39,48214,11,3139,34345,150000,15000000,1629,21234,3,6.87,10843,123324,34124,39605,35000000,364000,12354,91847,10000,76,12,21323,829,1.4,33750
"Diesel","Stationary","Billhaus CTAW P4A","Comercial Building","AUS","2020-07-30","ANZ",89,1378,350000,12,154000,400000,67688,5,4.19,44000,129,3560,43566,123678,14000000,1861,22345,6,8.45,18161,123324,66544,95476,31023124,405000,12354,96219,2963000,128,10,18608,941,1.3,30800
"Propane","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","GBR","2021-03-09","Europe",51,1862,400000,27,135000,350000,56634,3,5.99,48214,291,3139,34345,100000,17000000,1614,21234,10,12.14,15429,123324,34124,16137,35000000,482000,12454,3212,29000,173,13.7,15000,829,2.8,33750
"Electricity","Stationary","TX - Marion","Comercial Building","CHN","2019-06-23","APAC",53,4585,450000,27,120000,450000,76855,30,3.2,25714,291,3139,23454,150000,15000000,986,34543,4,3.12,13230,123324,45443,26726,29000000,477000,53423,85179,3475000,426,11.3,21323,829,2.9,18000
"Refrigerant","Stationary","81 Rue Mocklie","Comercial Building","FRA","2022-05-09","EMEA",62,161,250000,3,135000,500000,76855,9,3.39,57857,32,3560,43566,100000,17000000,1652,21234,3,6.87,14985,123324,34124,28906,31023124,375000,53423,70589,12000,15,11.6,21323,941,2.5,40500
"FuelOil","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2022-10-02","Middle East",70,2067,350000,21,154000,400000,67688,27,0.22,33000,226,3560,23454,150000,14000000,646,22345,6,0.45,15023,123324,66544,77608,29000000,457000,12454,74091,2302000,192,11.5,15000,941,2.5,23100
"Cooling","Stationary","Straight St Tower 4","Comercial Building","AUS","2021-10-21","AMER",44,2906,400000,21,120000,350000,56634,30,4.19,51429,226,3139,34345,123678,15000000,1954,34543,7,8.45,15213,123324,45443,90491,35000000,475000,12354,96221,34000,270,13.4,18608,829,1.4,36000
"Steam","Data Center","Freight Hauling - downstream distribution FY21","Data Center","USA","2019-03-08","Central Asia",45,1625,450000,30,154000,300000,67688,27,0.24,44000,323,3560,43566,150000,17000000,1985,21234,6,0.59,19734,123324,45443,93589,29000000,404000,53423,3542,2175000,151,12.5,15000,941,2.6,30800
"Heat","Stationary","South Longs Peak","Comercial Building","IND","2020-12-13","Southeast Asia",86,3983,300000,11,120000,500000,76855,26,4.97,42857,118,3139,34345,123678,14000000,614,22345,9,10.02,13797,123324,66544,16694,31023124,438000,12354,4666,29000,370,14.3,18608,829,5.7,30000
