"IndustrySegment","Period","PeriodStartDate","RevenueBucket","Revenue"
"Coatings & Inks","Four Months Ago","2021-05-06","3m - 3.5m",3281001
"Specialty Materials","Three Months Ago","2021-06-17","2.5m - 3m",2826001
"Paper & Packaging","Current Month","2021-09-09","2m - 2.5m",2411001
"Specialty Materials","Rest of the Records","2018-04-18","4m - 4.5m",4354001
"Paper & Packaging","Rest of the Records","2018-08-26","3.5m - 4m",3946001
"Textiles","Two Months Ago","2021-07-08","2.5m - 3m",2603001
"Coatings & Inks","One Month Ago","2021-08-17","2m - 2.5m",2441001
"Specialty Materials","Rest of the Records","2019-02-23","1m - 1.5m",1267000
"Paper & Packaging","Rest of the Records","2020-09-23","3m - 3.5m",3022001
"Coatings & Inks","Rest of the Records","2020-07-02","4m - 4.5m",4136001
"Textiles","Rest of the Records","2018-02-24","2m - 2.5m",2247001
"Coatings & Inks","Rest of the Records","2019-06-27","1m - 1.5m",1473000
"Textiles","Rest of the Records","2020-06-21","4.5m - 5m",4645000
"Specialty Materials","Rest of the Records","2019-11-10","3m - 3.5m",3256001
"Paper & Packaging","Rest of the Records","2021-04-02","3.5m - 4m",3642001
"Paper & Packaging","Rest of the Records","2019-07-21","4m - 4.5m",4361001
"Textiles","Rest of the Records","2019-05-17","2m - 2.5m",2326001
"Coatings & Inks","Rest of the Records","2018-11-06","2m - 2.5m",2175001
"Specialty Materials","Rest of the Records","2020-03-11","2.5m - 3m",2781001
"Paper & Packaging","Rest of the Records","2021-02-12","1m - 1.5m",1237000
"Specialty Materials","Rest of the Records","2018-05-16","2m - 2.5m",2003001
"Textiles","Rest of the Records","2020-05-18","4.5m - 5m",4977000
"Coatings & Inks","Rest of the Records","2019-02-10","3.5m - 4m",3782001
"Coatings & Inks","Rest of the Records","2018-03-21","1.5m - 2m",1969001
"Paper & Packaging","Rest of the Records","2020-02-20","1.5m - 2m",1511001
"Specialty Materials","Rest of the Records","2018-05-21","3.5m - 4m",3747001
"Textiles","Rest of the Records","2021-02-05","1.5m - 2m",1823001
"Textiles","Rest of the Records","2017-10-08","4m - 4.5m",4309001
"Coatings & Inks","Rest of the Records","2019-01-26","3.5m - 4m",3892001
"Paper & Packaging","Rest of the Records","2017-08-16","3m - 3.5m",3059001
"Specialty Materials","Rest of the Records","2018-07-06","4.5m - 5m",4993000
"Specialty Materials","Rest of the Records","2018-02-12","2.5m - 3m",2655001
"Textiles","Rest of the Records","2021-04-20","1.5m - 2m",1548001
"Coatings & Inks","Rest of the Records","2018-02-09","4.5m - 5m",4629000
"Paper & Packaging","Rest of the Records","2018-03-23","2m - 2.5m",2398001
"Paper & Packaging","Rest of the Records","2019-06-22","3m - 3.5m",3196001
"Coatings & Inks","Rest of the Records","2020-08-28","4m - 4.5m",4139001
"Specialty Materials","Rest of the Records","2020-10-10","1m - 1.5m",1348000
"Textiles","Rest of the Records","2019-10-25","4m - 4.5m",4064001
"Paper & Packaging","Rest of the Records","2020-01-10","1m - 1.5m",1225000
"Coatings & Inks","Rest of the Records","2019-06-05","3m - 3.5m",3341001
"Specialty Materials","Rest of the Records","2020-05-06","3m - 3.5m",3331001
"Textiles","Rest of the Records","2018-03-24","4.5m - 5m",4587000
"Specialty Materials","Rest of the Records","2018-09-08","2.5m - 3m",2912001
"Textiles","Rest of the Records","2020-04-27","1.5m - 2m",1508001
"Paper & Packaging","Rest of the Records","2020-03-15","2m - 2.5m",2491001
"Coatings & Inks","Rest of the Records","2020-03-20","1m - 1.5m",1161000
"Coatings & Inks","Rest of the Records","2021-02-09","2m - 2.5m",2413001
"Specialty Materials","Rest of the Records","2018-11-18","3.5m - 4m",3981001
"Textiles","Rest of the Records","2019-11-03","3m - 3.5m",3322001
"Paper & Packaging","Rest of the Records","2020-08-02","3.5m - 4m",3601001
"Coatings & Inks","Rest of the Records","2019-05-15","2.5m - 3m",2524001
"Paper & Packaging","Rest of the Records","2019-05-25","4m - 4.5m",4191001
"Textiles","Rest of the Records","2018-04-11","4.5m - 5m",4675000
"Specialty Materials","Rest of the Records","2018-06-27","3.5m - 4m",3666001
"Paper & Packaging","Rest of the Records","2019-03-20","2m - 2.5m",2157001
"Textiles","Rest of the Records","2018-01-19","1.5m - 2m",1815001
"Specialty Materials","Rest of the Records","2020-09-21","3m - 3.5m",3363001
"Coatings & Inks","Rest of the Records","2019-04-19","3.5m - 4m",3991001
"Specialty Materials","One Month Ago","2021-08-08","2.5m - 3m",2894001
"Textiles","Four Months Ago","2021-05-20","4m - 4.5m",4272001
"Coatings & Inks","Two Months Ago","2021-07-15","2m - 2.5m",2139001
"Paper & Packaging","Current Month","2021-09-26","1m - 1.5m",1138000
"Paper & Packaging","Three Months Ago","2021-06-25","2m - 2.5m",2422001
"Coatings & Inks","Rest of the Records","2020-11-10","4m - 4.5m",4156001
"Specialty Materials","Rest of the Records","2020-02-19","4.5m - 5m",4898000
"Textiles","Rest of the Records","2020-07-25","1.5m - 2m",1823001
"Textiles","Rest of the Records","2017-08-06","3.5m - 4m",3561001
"Paper & Packaging","Rest of the Records","2019-01-31","1m - 1.5m",1475000
"Coatings & Inks","Rest of the Records","2018-06-20","2.5m - 3m",2947001
"Specialty Materials","Rest of the Records","2017-05-08","3.5m - 4m",3597001
"Paper & Packaging","Rest of the Records","2019-09-13","2.5m - 3m",2673001
"Coatings & Inks","Rest of the Records","2018-04-13","1m - 1.5m",1486000
"Specialty Materials","Rest of the Records","2018-12-21","1m - 1.5m",1308000
"Textiles","Rest of the Records","2020-12-22","4.5m - 5m",4503000
"Specialty Materials","Rest of the Records","2020-02-20","2m - 2.5m",2059001
"Textiles","Rest of the Records","2017-11-27","3m - 3.5m",3075001
"Paper & Packaging","Rest of the Records","2018-10-11","4m - 4.5m",4106001
"Coatings & Inks","Rest of the Records","2018-06-30","1.5m - 2m",1772001
"Textiles","Rest of the Records","2017-12-10","3m - 3.5m",3111001
"Specialty Materials","Rest of the Records","2020-12-02","2.5m - 3m",2889001
"Paper & Packaging","Rest of the Records","2018-02-28","1.5m - 2m",1794001
"Coatings & Inks","Rest of the Records","2020-11-17","3m - 3.5m",3485001
"Specialty Materials","Rest of the Records","2018-10-05","1m - 1.5m",1391000
"Paper & Packaging","Rest of the Records","2020-04-24","4m - 4.5m",4264001
"Textiles","Rest of the Records","2018-03-22","4.5m - 5m",4542000
"Coatings & Inks","Rest of the Records","2021-03-24","2m - 2.5m",2490001
"Textiles","Rest of the Records","2018-06-16","3.5m - 4m",3755001
"Paper & Packaging","Rest of the Records","2021-01-07","1.5m - 2m",1706001
"Specialty Materials","Rest of the Records","2020-05-10","3.5m - 4m",3602001
"Coatings & Inks","Rest of the Records","2021-01-12","3m - 3.5m",3407001
"Specialty Materials","Rest of the Records","2020-11-08","3m - 3.5m",3261001
"Coatings & Inks","Rest of the Records","2020-10-20","3.5m - 4m",3918001
"Paper & Packaging","Rest of the Records","2017-11-21","1m - 1.5m",1096000
"Textiles","Rest of the Records","2021-02-27","2m - 2.5m",2207001
"Textiles","Rest of the Records","2018-10-08","2.5m - 3m",2589001
"Paper & Packaging","Rest of the Records","2017-07-22","2.5m - 3m",2782001
"Coatings & Inks","Rest of the Records","2020-10-26","1.5m - 2m",1560001
"Specialty Materials","Rest of the Records","2020-07-15","4m - 4.5m",4469001
"Paper & Packaging","Rest of the Records","2020-02-05","3m - 3.5m",3189001
"Coatings & Inks","Rest of the Records","2017-12-16","1m - 1.5m",1330000
"Specialty Materials","Rest of the Records","2018-04-26","4.5m - 5m",4738000
"Textiles","Rest of the Records","2019-08-11","3.5m - 4m",3668001
"Paper & Packaging","Rest of the Records","2019-07-23","2m - 2.5m",2037001
"Specialty Materials","Rest of the Records","2021-01-27","1.5m - 2m",1974001
"Coatings & Inks","Rest of the Records","2020-07-18","4.5m - 5m",4731000
"Textiles","Rest of the Records","2017-09-09","3m - 3.5m",3316001
"Paper & Packaging","Rest of the Records","2017-05-20","2.5m - 3m",2532001
"Textiles","Rest of the Records","2020-02-27","1m - 1.5m",1389000
"Specialty Materials","Rest of the Records","2021-01-27","3.5m - 4m",3778001
"Coatings & Inks","Rest of the Records","2018-01-26","4.5m - 5m",4587000
"Specialty Materials","Rest of the Records","2018-12-18","4.5m - 5m",4655000
"Textiles","Rest of the Records","2019-04-14","1.5m - 2m",1759001
"Coatings & Inks","Rest of the Records","2019-05-01","2.5m - 3m",2704001
"Paper & Packaging","Rest of the Records","2019-02-22","2m - 2.5m",2095001
"Paper & Packaging","Rest of the Records","2017-09-08","3m - 3.5m",3163001
"Specialty Materials","Rest of the Records","2018-06-07","1m - 1.5m",1056000
"Coatings & Inks","Rest of the Records","2019-01-17","4m - 4.5m",4409001
"Textiles","Three Months Ago","2021-06-08","4m - 4.5m",4074001
"Specialty Materials","Four Months Ago","2021-05-06","3.5m - 4m",3943001
"Paper & Packaging","Rest of the Records","2019-07-19","2m - 2.5m",2401001
"Textiles","Rest of the Records","2019-03-19","4.5m - 5m",4525000
"Coatings & Inks","One Month Ago","2021-08-14","2m - 2.5m",2415001
"Specialty Materials","Rest of the Records","2020-04-24","4m - 4.5m",4424001
"Textiles","Rest of the Records","2019-04-06","1.5m - 2m",1836001
"Paper & Packaging","Two Months Ago","2021-07-11","3m - 3.5m",3033001
"Coatings & Inks","Current Month","2021-09-27","2.5m - 3m",2624001
"Specialty Materials","Rest of the Records","2020-01-17","2.5m - 3m",2824001
"Textiles","Rest of the Records","2021-02-02","1m - 1.5m",1382000
"Paper & Packaging","Rest of the Records","2018-04-23","4.5m - 5m",4670000
"Coatings & Inks","Rest of the Records","2019-08-26","3.5m - 4m",3921001
"Specialty Materials","Rest of the Records","2020-11-16","4m - 4.5m",4300001
"Paper & Packaging","Rest of the Records","2017-06-01","2m - 2.5m",2338001
"Textiles","Rest of the Records","2018-03-11","3m - 3.5m",3250001
"Coatings & Inks","Rest of the Records","2018-12-26","3m - 3.5m",3156001
"Textiles","Rest of the Records","2018-03-29","3.5m - 4m",3879001
"Paper & Packaging","Rest of the Records","2020-07-13","1m - 1.5m",1047000
"Specialty Materials","Rest of the Records","2019-08-11","4m - 4.5m",4165001
"Coatings & Inks","Rest of the Records","2020-08-03","2.5m - 3m",2726001
"Specialty Materials","Rest of the Records","2019-04-03","1.5m - 2m",1650001
"Textiles","Rest of the Records","2019-05-15","3.5m - 4m",3814001
"Coatings & Inks","Rest of the Records","2021-04-25","2m - 2.5m",2009001
"Paper & Packaging","Rest of the Records","2018-01-10","4.5m - 5m",4700000
"Paper & Packaging","Rest of the Records","2020-12-28","3m - 3.5m",3193001
"Coatings & Inks","Rest of the Records","2020-03-15","1m - 1.5m",1411000
"Textiles","Rest of the Records","2017-12-07","1.5m - 2m",1998001
"Specialty Materials","Rest of the Records","2020-04-19","2.5m - 3m",2583001
"Paper & Packaging","Rest of the Records","2021-04-25","3.5m - 4m",3790001
"Textiles","Rest of the Records","2019-03-15","1m - 1.5m",1089000
"Specialty Materials","Rest of the Records","2017-05-01","2m - 2.5m",2252001
"Coatings & Inks","Rest of the Records","2019-07-18","1.5m - 2m",1846001
"Paper & Packaging","Rest of the Records","2021-03-12","4m - 4.5m",4353001
"Specialty Materials","Rest of the Records","2020-10-16","4.5m - 5m",4784000
"Textiles","Rest of the Records","2021-01-24","3m - 3.5m",3294001
"Coatings & Inks","Rest of the Records","2017-09-11","4.5m - 5m",4945000
"Coatings & Inks","Rest of the Records","2020-01-21","3.5m - 4m",3975001
"Specialty Materials","Rest of the Records","2021-01-14","2m - 2.5m",2022001
"Textiles","Rest of the Records","2020-07-06","2.5m - 3m",2824001
"Paper & Packaging","Rest of the Records","2019-12-23","3.5m - 4m",3838001
"Paper & Packaging","Rest of the Records","2018-11-28","1m - 1.5m",1016000
"Coatings & Inks","Rest of the Records","2017-07-27","3m - 3.5m",3001001
"Specialty Materials","Rest of the Records","2017-09-29","3m - 3.5m",3375001
"Textiles","Rest of the Records","2019-08-23","2.5m - 3m",2963001
"Coatings & Inks","Rest of the Records","2018-09-30","4m - 4.5m",4065001
"Textiles","Rest of the Records","2019-08-31","2.5m - 3m",2740001
"Specialty Materials","Rest of the Records","2019-07-19","3.5m - 4m",3526001
"Paper & Packaging","Rest of the Records","2019-12-30","4m - 4.5m",4396001
"Paper & Packaging","Rest of the Records","2020-06-21","1.5m - 2m",1782001
"Coatings & Inks","Rest of the Records","2020-05-23","2.5m - 3m",2957001
"Textiles","Rest of the Records","2018-05-25","1.5m - 2m",1592001
"Specialty Materials","Rest of the Records","2017-09-18","4.5m - 5m",4794000
"Specialty Materials","Rest of the Records","2017-11-14","3m - 3.5m",3366001
"Paper & Packaging","Rest of the Records","2017-08-11","4m - 4.5m",4080001
"Coatings & Inks","Rest of the Records","2017-11-12","1.5m - 2m",1549001
"Textiles","Rest of the Records","2020-02-22","4.5m - 5m",4809000
"Paper & Packaging","Rest of the Records","2018-02-22","3.5m - 4m",3912001
"Textiles","Rest of the Records","2017-09-10","1m - 1.5m",1177000
"Coatings & Inks","Three Months Ago","2021-06-30","2.5m - 3m",2653001
"Specialty Materials","Rest of the Records","2018-03-28","2.5m - 3m",2606001
"Specialty Materials","Four Months Ago","2021-05-20","2m - 2.5m",2461001
"Paper & Packaging","Rest of the Records","2017-05-19","2m - 2.5m",2421001
"Textiles","Current Month","2021-09-24","1.5m - 2m",1723001
"Coatings & Inks","One Month Ago","2021-08-17","2m - 2.5m",2483001
"Specialty Materials","Two Months Ago","2021-07-02","3.5m - 4m",3923001
"Paper & Packaging","Rest of the Records","2020-05-13","1m - 1.5m",1115000
"Textiles","Rest of the Records","2019-04-03","2m - 2.5m",2154001
"Coatings & Inks","Rest of the Records","2019-11-01","2m - 2.5m",2348001
"Textiles","Rest of the Records","2020-11-05","4m - 4.5m",4433001
"Paper & Packaging","Rest of the Records","2021-04-30","3m - 3.5m",3315001
"Specialty Materials","Rest of the Records","2018-02-23","3m - 3.5m",3155001
"Coatings & Inks","Rest of the Records","2018-07-06","3m - 3.5m",3326001
"Specialty Materials","Rest of the Records","2020-01-18","2.5m - 3m",2682001
"Coatings & Inks","Rest of the Records","2020-09-28","4m - 4.5m",4052001
"Paper & Packaging","Rest of the Records","2019-03-11","1m - 1.5m",1203000
"Textiles","Rest of the Records","2018-11-05","1.5m - 2m",1920001
"Coatings & Inks","Rest of the Records","2017-09-11","3.5m - 4m",3766001
"Textiles","Rest of the Records","2021-04-26","4.5m - 5m",4957000
"Paper & Packaging","Rest of the Records","2019-10-19","2m - 2.5m",2164001
"Specialty Materials","Rest of the Records","2021-02-16","2.5m - 3m",2557001
"Textiles","Rest of the Records","2018-11-18","4m - 4.5m",4412001
"Specialty Materials","Rest of the Records","2020-04-16","3.5m - 4m",3744001
"Paper & Packaging","Rest of the Records","2019-05-09","1.5m - 2m",1581001
"Coatings & Inks","Rest of the Records","2020-05-04","4.5m - 5m",4893000
"Coatings & Inks","Rest of the Records","2019-06-10","1m - 1.5m",1409000
"Specialty Materials","Rest of the Records","2020-06-24","3m - 3.5m",3429001
"Paper & Packaging","Rest of the Records","2020-01-11","4m - 4.5m",4331001
"Textiles","Rest of the Records","2017-09-15","3.5m - 4m",3790001
"Paper & Packaging","Rest of the Records","2018-11-23","1m - 1.5m",1447000
"Specialty Materials","Rest of the Records","2017-09-09","3m - 3.5m",3431001
"Coatings & Inks","Rest of the Records","2019-06-27","2m - 2.5m",2265001
"Textiles","Rest of the Records","2021-01-08","2.5m - 3m",2682001
"Paper & Packaging","Rest of the Records","2020-02-25","2m - 2.5m",2428001
"Specialty Materials","Rest of the Records","2020-04-14","1.5m - 2m",1576001
"Textiles","Rest of the Records","2020-12-09","4.5m - 5m",4869000
"Coatings & Inks","Rest of the Records","2017-05-06","1m - 1.5m",1316000
"Textiles","Rest of the Records","2020-12-14","1m - 1.5m",1210000
"Specialty Materials","Rest of the Records","2019-03-06","4m - 4.5m",4212001
"Coatings & Inks","Rest of the Records","2019-07-07","1.5m - 2m",1556001
"Paper & Packaging","Rest of the Records","2017-05-04","4.5m - 5m",4905000
"Textiles","Rest of the Records","2017-07-23","4.5m - 5m",4844000
"Paper & Packaging","Rest of the Records","2017-10-20","2.5m - 3m",2506001
"Specialty Materials","Rest of the Records","2018-03-01","3.5m - 4m",3643001
"Coatings & Inks","Rest of the Records","2020-05-03","3m - 3.5m",3057001
"Specialty Materials","Rest of the Records","2019-04-24","3m - 3.5m",3303001
"Paper & Packaging","Rest of the Records","2018-12-06","1.5m - 2m",1521001
"Textiles","Rest of the Records","2018-12-21","1m - 1.5m",1325000
"Coatings & Inks","Rest of the Records","2017-12-22","2m - 2.5m",2092001
"Specialty Materials","Rest of the Records","2019-11-07","3m - 3.5m",3473001
"Paper & Packaging","Rest of the Records","2017-08-05","2m - 2.5m",2134001
"Coatings & Inks","Rest of the Records","2020-12-04","4m - 4.5m",4380001
"Textiles","Rest of the Records","2020-12-20","4m - 4.5m",4455001
"Paper & Packaging","Rest of the Records","2020-09-02","2m - 2.5m",2487001
"Textiles","Rest of the Records","2019-01-02","2.5m - 3m",2814001
"Coatings & Inks","Rest of the Records","2017-08-31","4.5m - 5m",4756000
"Specialty Materials","Rest of the Records","2020-05-21","3.5m - 4m",3686001
"Textiles","Rest of the Records","2017-05-26","4.5m - 5m",4773000
"Specialty Materials","Two Months Ago","2021-07-01","4m - 4.5m",4342001
"Coatings & Inks","Rest of the Records","2020-05-11","2.5m - 3m",2920001
"Paper & Packaging","Current Month","2021-09-23","3.5m - 4m",3971001
"Coatings & Inks","Four Months Ago","2021-05-26","3m - 3.5m",3330001
"Paper & Packaging","Three Months Ago","2021-06-11","3m - 3.5m",3101001
"Textiles","One Month Ago","2021-08-18","1m - 1.5m",1380000
"Specialty Materials","Rest of the Records","2018-08-30","2.5m - 3m",2697001
"Specialty Materials","Rest of the Records","2021-03-13","3.5m - 4m",3584001
"Paper & Packaging","Rest of the Records","2021-01-03","2m - 2.5m",2362001
"Coatings & Inks","Rest of the Records","2018-02-27","3.5m - 4m",3531001
"Textiles","Rest of the Records","2021-04-19","3m - 3.5m",3471001
"Coatings & Inks","Rest of the Records","2018-12-11","1m - 1.5m",1465000
"Textiles","Rest of the Records","2018-11-26","1.5m - 2m",1881001
"Specialty Materials","Rest of the Records","2020-07-23","1m - 1.5m",1469000
"Paper & Packaging","Rest of the Records","2018-01-20","4m - 4.5m",4091001
"Specialty Materials","Rest of the Records","2017-09-09","1.5m - 2m",1794001
"Paper & Packaging","Rest of the Records","2019-03-13","2m - 2.5m",2025001
"Textiles","Rest of the Records","2021-03-09","3m - 3.5m",3209001
"Coatings & Inks","Rest of the Records","2018-03-07","4m - 4.5m",4446001
"Coatings & Inks","Rest of the Records","2017-12-25","1.5m - 2m",1972001
"Textiles","Rest of the Records","2019-02-19","4.5m - 5m",4834000
"Specialty Materials","Rest of the Records","2018-03-02","3.5m - 4m",3522001
"Paper & Packaging","Rest of the Records","2021-02-15","2.5m - 3m",2610001
"Textiles","Rest of the Records","2018-07-27","1m - 1.5m",1088000
"Paper & Packaging","Rest of the Records","2019-06-27","4.5m - 5m",4571000
"Specialty Materials","Rest of the Records","2017-09-02","1.5m - 2m",1771001
"Coatings & Inks","Rest of the Records","2017-11-19","2m - 2.5m",2407001
"Specialty Materials","Rest of the Records","2019-02-16","4m - 4.5m",4281001
"Coatings & Inks","Rest of the Records","2017-09-28","4.5m - 5m",4924000
"Textiles","Rest of the Records","2018-04-27","4.5m - 5m",4587000
"Paper & Packaging","Rest of the Records","2019-06-05","3m - 3.5m",3242001
"Specialty Materials","Rest of the Records","2019-04-12","2.5m - 3m",2954001
"Textiles","Rest of the Records","2021-04-01","2m - 2.5m",2404001
"Paper & Packaging","Rest of the Records","2021-02-04","1m - 1.5m",1085000
"Coatings & Inks","Rest of the Records","2017-11-14","2.5m - 3m",2616001
"Coatings & Inks","Rest of the Records","2020-09-26","3m - 3.5m",3449001
"Textiles","Rest of the Records","2018-02-19","4m - 4.5m",4067001
"Specialty Materials","Rest of the Records","2019-09-28","3m - 3.5m",3317001
"Paper & Packaging","Rest of the Records","2020-10-24","3.5m - 4m",3763001
"Textiles","Rest of the Records","2017-10-17","3.5m - 4m",3624001
"Specialty Materials","Rest of the Records","2018-08-05","2.5m - 3m",2801001
"Coatings & Inks","Rest of the Records","2020-12-23","3.5m - 4m",3527001
"Paper & Packaging","Rest of the Records","2019-03-04","3.5m - 4m",3774001
"Specialty Materials","Rest of the Records","2018-03-13","2m - 2.5m",2232001
"Textiles","Rest of the Records","2019-12-05","4.5m - 5m",4921000
"Coatings & Inks","Rest of the Records","2018-05-01","2m - 2.5m",2137001
"Paper & Packaging","Rest of the Records","2018-07-16","1m - 1.5m",1424000
"Textiles","Rest of the Records","2018-07-29","4m - 4.5m",4421001
"Specialty Materials","Rest of the Records","2020-10-25","1.5m - 2m",1920001
"Paper & Packaging","Rest of the Records","2019-03-11","4.5m - 5m",4912000
"Coatings & Inks","Rest of the Records","2018-07-12","1m - 1.5m",1393000
"Specialty Materials","Rest of the Records","2020-04-29","3m - 3.5m",3198001
"Coatings & Inks","Rest of the Records","2021-03-12","3m - 3.5m",3000001
"Paper & Packaging","Rest of the Records","2021-04-25","3.5m - 4m",3836001
"Textiles","Rest of the Records","2020-02-18","2.5m - 3m",2639001
"Coatings & Inks","Rest of the Records","2017-08-07","4m - 4.5m",4046001
"Specialty Materials","Rest of the Records","2018-09-08","3m - 3.5m",3461001
"Paper & Packaging","Rest of the Records","2019-09-26","1m - 1.5m",1027000
"Textiles","Rest of the Records","2020-06-10","4m - 4.5m",4330001
"Coatings & Inks","Four Months Ago","2021-05-10","3m - 3.5m",3111001
"Paper & Packaging","Current Month","2021-09-07","3.5m - 4m",3666001
"Specialty Materials","Rest of the Records","2019-06-28","2m - 2.5m",2340001
"Textiles","Rest of the Records","2019-08-29","2m - 2.5m",2395001
"Paper & Packaging","Two Months Ago","2021-07-07","2.5m - 3m",2898001
"Specialty Materials","Three Months Ago","2021-06-26","3m - 3.5m",3021001
"Textiles","Rest of the Records","2017-06-07","4.5m - 5m",4820000
"Coatings & Inks","Rest of the Records","2020-10-06","1.5m - 2m",1835001
"Specialty Materials","One Month Ago","2021-08-09","1.5m - 2m",1507001
"Textiles","Rest of the Records","2017-05-11","3.5m - 4m",3861001
"Coatings & Inks","Rest of the Records","2018-03-11","3.5m - 4m",3683001
"Paper & Packaging","Rest of the Records","2017-05-18","1m - 1.5m",1487000
"Coatings & Inks","Rest of the Records","2019-09-13","2.5m - 3m",2689001
"Specialty Materials","Rest of the Records","2019-09-18","1.5m - 2m",1783001
"Textiles","Rest of the Records","2020-10-07","1.5m - 2m",1877001
"Paper & Packaging","Rest of the Records","2020-09-03","3m - 3.5m",3096001
"Coatings & Inks","Rest of the Records","2017-05-30","3m - 3.5m",3162001
"Paper & Packaging","Rest of the Records","2021-04-12","2.5m - 3m",2597001
"Specialty Materials","Rest of the Records","2018-04-15","4m - 4.5m",4059001
"Textiles","Rest of the Records","2017-07-30","1.5m - 2m",1627001
"Coatings & Inks","Rest of the Records","2018-10-02","1m - 1.5m",1399000
"Paper & Packaging","Rest of the Records","2019-03-11","3.5m - 4m",3519001
"Textiles","Rest of the Records","2018-01-27","2m - 2.5m",2267001
"Specialty Materials","Rest of the Records","2020-07-04","4m - 4.5m",4262001
"Textiles","Rest of the Records","2019-09-08","4.5m - 5m",4701000
"Coatings & Inks","Rest of the Records","2020-05-03","2m - 2.5m",2042001
"Specialty Materials","Rest of the Records","2017-08-28","3m - 3.5m",3006001
"Paper & Packaging","Rest of the Records","2020-09-01","2.5m - 3m",2872001
"Coatings & Inks","Rest of the Records","2019-02-10","1.5m - 2m",1508001
"Textiles","Rest of the Records","2019-04-28","4.5m - 5m",4621000
"Specialty Materials","Rest of the Records","2021-03-03","3.5m - 4m",3830001
"Paper & Packaging","Rest of the Records","2019-03-13","2m - 2.5m",2163001
"Paper & Packaging","Rest of the Records","2018-05-16","4m - 4.5m",4258001
"Specialty Materials","Rest of the Records","2018-09-21","3m - 3.5m",3132001
"Textiles","Rest of the Records","2020-09-23","1m - 1.5m",1412000
"Coatings & Inks","Rest of the Records","2019-04-11","2.5m - 3m",2875001
"Coatings & Inks","Rest of the Records","2019-04-18","4m - 4.5m",4235001
"Paper & Packaging","Rest of the Records","2020-03-05","4.5m - 5m",4515000
"Specialty Materials","Rest of the Records","2020-11-12","2m - 2.5m",2063001
"Textiles","Rest of the Records","2020-08-31","2.5m - 3m",2505001
"Specialty Materials","Rest of the Records","2018-01-21","3.5m - 4m",3505001
"Paper & Packaging","Rest of the Records","2018-02-08","4m - 4.5m",4144001
"Coatings & Inks","Rest of the Records","2017-12-19","3m - 3.5m",3396001
"Textiles","Rest of the Records","2018-07-20","1.5m - 2m",1967001
"Coatings & Inks","Rest of the Records","2020-04-19","4.5m - 5m",4689000
"Paper & Packaging","Rest of the Records","2018-06-25","1.5m - 2m",1768001
"Specialty Materials","Rest of the Records","2021-02-05","3m - 3.5m",3011001
"Textiles","Rest of the Records","2019-07-21","1m - 1.5m",1254000
"Coatings & Inks","Rest of the Records","2020-09-08","3.5m - 4m",3712001
"Specialty Materials","Rest of the Records","2020-01-24","4.5m - 5m",4551000
"Textiles","Rest of the Records","2017-12-02","2.5m - 3m",2601001
"Paper & Packaging","Rest of the Records","2018-03-15","1m - 1.5m",1209000
"Textiles","Rest of the Records","2019-09-20","3.5m - 4m",3775001
"Paper & Packaging","Rest of the Records","2017-11-22","4m - 4.5m",4210001
"Coatings & Inks","Rest of the Records","2020-02-13","4.5m - 5m",4986000
"Specialty Materials","Rest of the Records","2019-06-03","3m - 3.5m",3194001
"Paper & Packaging","Rest of the Records","2020-08-06","1.5m - 2m",1560001
"Specialty Materials","Rest of the Records","2018-04-25","2m - 2.5m",2363001
"Coatings & Inks","Three Months Ago","2021-06-06","3m - 3.5m",3188001
"Textiles","Rest of the Records","2020-09-01","3.5m - 4m",3778001
"Coatings & Inks","Four Months Ago","2021-05-21","3m - 3.5m",3291001
"Textiles","Rest of the Records","2017-07-09","4.5m - 5m",4743000
"Paper & Packaging","One Month Ago","2021-08-28","2m - 2.5m",2270001
"Specialty Materials","Two Months Ago","2021-07-09","1m - 1.5m",1133000
"Paper & Packaging","Rest of the Records","2018-06-18","1.5m - 2m",1599001
"Textiles","Rest of the Records","2017-09-18","3m - 3.5m",3022001
"Coatings & Inks","Rest of the Records","2020-12-18","2m - 2.5m",2126001
"Specialty Materials","Current Month","2021-09-30","4m - 4.5m",4398001
"Coatings & Inks","Rest of the Records","2019-05-22","2.5m - 3m",2667001
"Specialty Materials","Rest of the Records","2020-01-26","1m - 1.5m",1218000
"Paper & Packaging","Rest of the Records","2019-10-10","3.5m - 4m",3931001
"Textiles","Rest of the Records","2019-10-21","3m - 3.5m",3190001
"Textiles","Rest of the Records","2019-03-03","2.5m - 3m",2913001
"Specialty Materials","Rest of the Records","2018-07-11","2m - 2.5m",2231001
"Paper & Packaging","Rest of the Records","2018-08-12","1m - 1.5m",1133000
"Coatings & Inks","Rest of the Records","2019-05-20","1.5m - 2m",1523001
"Paper & Packaging","Rest of the Records","2017-10-13","2.5m - 3m",2678001
"Textiles","Rest of the Records","2020-09-03","1.5m - 2m",1743001
"Specialty Materials","Rest of the Records","2019-04-02","4m - 4.5m",4092001
"Coatings & Inks","Rest of the Records","2018-06-12","4m - 4.5m",4133001
"Specialty Materials","Rest of the Records","2018-02-02","3m - 3.5m",3248001
"Textiles","Rest of the Records","2019-04-15","2m - 2.5m",2039001
"Coatings & Inks","Rest of the Records","2018-07-11","1m - 1.5m",1487000
"Paper & Packaging","Rest of the Records","2018-10-13","4.5m - 5m",4691000
"Specialty Materials","Rest of the Records","2018-09-06","4.5m - 5m",4840000
