"Period","CommercialSegment","PeriodStartDate","RevenueBucket","Revenue"
"Q2","Follower","2021-05-04","4m - 4.5m",4383001
"Q1","Innovator","2021-02-07","3m - 3.5m",3070000
"Rest of years","Follower","2017-08-03","4m - 4.5m",4072001
"Q2","Commodity","2021-06-22","3m - 3.5m",3312000
"Q3","Innovator","2021-09-05","3.5m - 4m",3825001
"Rest of years","Distribution","2017-10-03","4m - 4.5m",4279001
"Previous Year","Commodity","2020-12-04","3m - 3.5m",3318000
"Q3","Innovator","2021-07-31","3.5m - 4m",3814001
"Rest of years","Follower","2019-09-20","4.5m - 5m",4659001
"Q2","Distribution","2021-04-06","4m - 4.5m",4472001
"Rest of years","Distribution","2019-02-01","3.5m - 4m",3908001
"Q2","Follower","2021-06-20","4m - 4.5m",4287001
"Q3","Commodity","2021-08-30","3m - 3.5m",3303000
"Q1","Innovator","2021-02-27","4m - 4.5m",4204001
"Q2","Distribution","2021-05-15","3m - 3.5m",3465000
"Q3","Follower","2021-08-24","3m - 3.5m",3052000
"Rest of years","Commodity","2017-01-10","4m - 4.5m",4048001
"Q3","Innovator","2021-07-29","3.5m - 4m",3647001
"Rest of years","Follower","2017-12-23","3m - 3.5m",3313000
"Q2","Innovator","2021-06-22","3m - 3.5m",3363000
"Q1","Commodity","2021-01-14","4m - 4.5m",4379001
"Rest of years","Distribution","2018-06-29","4m - 4.5m",4327001
"Q2","Commodity","2021-04-11","4.5m - 5m",4955001
"Previous Year","Distribution","2020-08-22","4m - 4.5m",4047001
"Q3","Innovator","2021-09-01","3.5m - 4m",3935001
"Q3","Follower","2021-07-25","3m - 3.5m",3273000
"Q2","Commodity","2021-05-19","4m - 4.5m",4099001
"Rest of years","Follower","2017-04-15","3.5m - 4m",3636001
"Rest of years","Distribution","2018-07-12","3m - 3.5m",3304000
"Q3","Innovator","2021-07-03","3.5m - 4m",3774001
"Previous Year","Distribution","2020-01-17","3m - 3.5m",3435000
"Q2","Follower","2021-05-20","4m - 4.5m",4133001
"Q3","Innovator","2021-08-31","3.5m - 4m",3600001
"Q2","Commodity","2021-06-08","3m - 3.5m",3134000
"Rest of years","Follower","2017-05-09","4m - 4.5m",4113001
"Q1","Commodity","2021-02-22","3m - 3.5m",3445000
"Q2","Innovator","2021-06-30","3m - 3.5m",3398000
"Rest of years","Distribution","2018-06-20","4m - 4.5m",4348001
"Q3","Distribution","2021-07-13","3m - 3.5m",3196000
"Q2","Follower","2021-04-15","4m - 4.5m",4304001
"Q1","Commodity","2021-02-22","4.5m - 5m",4584001
"Rest of years","Innovator","2017-01-14","3m - 3.5m",3088000
"Previous Year","Innovator","2020-09-20","4m - 4.5m",4443001
"Q2","Follower","2021-06-21","3.5m - 4m",3618001
"Q3","Commodity","2021-08-24","3m - 3.5m",3191000
"Rest of years","Distribution","2018-09-13","3m - 3.5m",3394000
"Q3","Commodity","2021-07-05","4m - 4.5m",4042001
"Q3","Follower","2021-07-24","4m - 4.5m",4074001
"Q2","Distribution","2021-04-17","3m - 3.5m",3095000
"Rest of years","Innovator","2018-05-22","4m - 4.5m",4356001
"Q2","Innovator","2021-05-10","3m - 3.5m",3470000
"Q3","Distribution","2021-07-10","4m - 4.5m",4018001
"Rest of years","Follower","2017-02-21","4m - 4.5m",4021001
"Previous Year","Commodity","2020-06-03","3m - 3.5m",3450000
"Q2","Distribution","2021-04-26","4m - 4.5m",4277001
"Rest of years","Commodity","2018-02-03","4m - 4.5m",4157001
"Q3","Innovator","2021-08-25","3.5m - 4m",3738001
"Q1","Follower","2021-01-18","3m - 3.5m",3289000
"Q2","Distribution","2021-04-17","3m - 3.5m",3011000
"Rest of years","Follower","2017-09-27","4.5m - 5m",4917001
"Q3","Commodity","2021-09-05","3.5m - 4m",3619001
"Q2","Innovator","2021-04-16","3m - 3.5m",3369000
"Q1","Innovator","2021-01-12","3.5m - 4m",3712001
"Previous Year","Follower","2020-10-17","4m - 4.5m",4077001
"Rest of years","Distribution","2018-12-04","3m - 3.5m",3171000
"Rest of years","Commodity","2019-06-28","4m - 4.5m",4011001
"Q3","Distribution","2021-09-07","3m - 3.5m",3241000
"Q3","Follower","2021-08-31","4m - 4.5m",4321001
"Q2","Commodity","2021-04-17","3m - 3.5m",3222000
"Rest of years","Innovator","2017-10-23","3m - 3.5m",3207000
"Q3","Distribution","2021-08-30","4m - 4.5m",4077001
"Q2","Follower","2021-05-09","3m - 3.5m",3390000
"Previous Year","Innovator","2020-05-10","4m - 4.5m",4459001
"Q2","Commodity","2021-05-21","4m - 4.5m",4405001
"Q1","Innovator","2021-03-24","4m - 4.5m",4250001
"Q3","Follower","2021-08-14","4m - 4.5m",4229001
"Q2","Distribution","2021-04-28","3m - 3.5m",3044000
"Q3","Commodity","2021-07-30","4m - 4.5m",4311001
"Rest of years","Commodity","2017-07-23","4.5m - 5m",4908001
"Rest of years","Follower","2017-06-19","3m - 3.5m",3272000
"Rest of years","Innovator","2019-02-02","3.5m - 4m",3764001
"Q2","Distribution","2021-05-05","4m - 4.5m",4401001
"Q3","Follower","2021-07-27","3.5m - 4m",3978001
"Previous Year","Distribution","2020-04-27","3m - 3.5m",3394000
"Rest of years","Innovator","2017-08-21","4m - 4.5m",4194001
"Q3","Commodity","2021-07-05","3m - 3.5m",3470000
"Q2","Innovator","2021-06-17","3m - 3.5m",3400000
"Q2","Commodity","2021-04-19","4m - 4.5m",4206001
"Rest of years","Follower","2018-02-23","4m - 4.5m",4175001
"Q1","Distribution","2021-02-15","3m - 3.5m",3500000
"Q3","Distribution","2021-07-07","4m - 4.5m",4374001
"Q2","Follower","2021-06-01","4m - 4.5m",4236001
"Q3","Commodity","2021-07-16","3m - 3.5m",3021000
"Rest of years","Innovator","2019-03-25","4m - 4.5m",4200001
"Previous Year","Innovator","2020-01-22","4m - 4.5m",4288001
"Q3","Distribution","2021-07-11","3.5m - 4m",3519001
"Q2","Commodity","2021-05-22","4.5m - 5m",4992001
"Rest of years","Follower","2017-04-16","4m - 4.5m",4335001
"Q3","Commodity","2021-07-17","3m - 3.5m",3396000
"Rest of years","Innovator","2018-05-12","3.5m - 4m",3542001
"Q1","Follower","2021-01-04","3m - 3.5m",3315000
"Q2","Distribution","2021-05-24","4m - 4.5m",4422001
"Q3","Distribution","2021-07-30","4m - 4.5m",4407001
"Q2","Commodity","2021-04-28","3m - 3.5m",3405000
"Rest of years","Follower","2019-01-30","3m - 3.5m",3172000
"Q3","Innovator","2021-08-26","3.5m - 4m",3587001
"Q1","Innovator","2021-01-22","3m - 3.5m",3473000
"Rest of years","Distribution","2018-07-16","4m - 4.5m",4451001
"Q2","Commodity","2021-06-17","3.5m - 4m",3760001
"Q2","Follower","2021-06-11","3m - 3.5m",3101000
"Previous Year","Follower","2020-08-25","4m - 4.5m",4165001
"Q3","Distribution","2021-08-08","3m - 3.5m",3073000
"Rest of years","Innovator","2018-08-16","3m - 3.5m",3481000
"Q2","Commodity","2021-04-10","4m - 4.5m",4452001
"Q3","Innovator","2021-09-27","3.5m - 4m",3779001
"Rest of years","Follower","2017-05-15","4.5m - 5m",4695001
"Q1","Commodity","2021-03-30","3m - 3.5m",3174000
"Q3","Distribution","2021-08-14","4m - 4.5m",4314001
"Rest of years","Commodity","2019-01-06","3m - 3.5m",3368000
"Previous Year","Innovator","2020-07-01","4m - 4.5m",4469001
"Rest of years","Distribution","2019-11-12","4m - 4.5m",4464001
"Q3","Follower","2021-08-22","4m - 4.5m",4420001
"Q2","Distribution","2021-04-17","3m - 3.5m",3052000
"Q2","Commodity","2021-05-07","3.5m - 4m",3885001
"Q2","Innovator","2021-06-11","3m - 3.5m",3043000
"Rest of years","Follower","2019-10-29","4m - 4.5m",4327001
"Q3","Innovator","2021-08-22","3.5m - 4m",3919001
"Q3","Distribution","2021-08-10","3m - 3.5m",3419000
"Rest of years","Commodity","2017-12-18","4m - 4.5m",4058001
"Q1","Follower","2021-03-31","4m - 4.5m",4090001
"Previous Year","Follower","2020-10-21","3m - 3.5m",3447000
"Rest of years","Commodity","2017-10-30","4m - 4.5m",4076001
"Q2","Innovator","2021-04-29","3m - 3.5m",3066000
"Q3","Distribution","2021-07-25","4.5m - 5m",4637001
"Q2","Follower","2021-05-15","3m - 3.5m",3140000
"Rest of years","Commodity","2017-10-23","4m - 4.5m",4010001
"Q3","Distribution","2021-07-22","3m - 3.5m",3189000
"Q2","Innovator","2021-04-25","3m - 3.5m",3232000
"Previous Year","Distribution","2020-09-01","4m - 4.5m",4264001
"Rest of years","Commodity","2019-10-29","3.5m - 4m",3762001
"Q1","Follower","2021-02-01","3m - 3.5m",3182000
"Q2","Innovator","2021-05-16","3m - 3.5m",3188000
"Q3","Distribution","2021-08-26","4m - 4.5m",4468001
"Q2","Follower","2021-06-13","3m - 3.5m",3170000
"Rest of years","Commodity","2017-08-04","3m - 3.5m",3255000
"Q3","Innovator","2021-08-31","3.5m - 4m",3977001
"Q2","Innovator","2021-04-20","3m - 3.5m",3310000
"Q3","Follower","2021-07-15","4m - 4.5m",4286001
"Rest of years","Commodity","2018-06-22","4m - 4.5m",4134001
"Rest of years","Distribution","2019-02-12","4m - 4.5m",4315001
"Q2","Innovator","2021-05-23","3m - 3.5m",3412000
"Q3","Distribution","2021-09-18","3m - 3.5m",3311000
"Q1","Commodity","2021-02-27","3m - 3.5m",3327000
"Previous Year","Follower","2020-07-17","4m - 4.5m",4378001
"Rest of years","Innovator","2018-06-10","4m - 4.5m",4301001
"Q2","Follower","2021-05-19","4.5m - 5m",4736001
"Q3","Distribution","2021-09-28","3m - 3.5m",3176000
"Rest of years","Commodity","2017-01-22","3.5m - 4m",3758001
"Q2","Follower","2021-04-27","4m - 4.5m",4473001
"Q3","Distribution","2021-07-15","4m - 4.5m",4458001
"Previous Year","Innovator","2020-11-15","4m - 4.5m",4123001
"Q3","Commodity","2021-08-12","3m - 3.5m",3476000
"Q1","Commodity","2021-03-29","4m - 4.5m",4104001
"Q2","Follower","2021-06-17","3m - 3.5m",3288000
"Q2","Distribution","2021-04-11","4m - 4.5m",4430001
"Q3","Innovator","2021-09-04","3.5m - 4m",3834001
"Rest of years","Innovator","2018-02-10","4.5m - 5m",4971001
"Rest of years","Follower","2017-12-17","3m - 3.5m",3326000
"Q2","Distribution","2021-04-18","4m - 4.5m",4111001
"Rest of years","Commodity","2018-10-14","3m - 3.5m",3295000
"Q3","Follower","2021-09-06","4m - 4.5m",4339001
"Q1","Distribution","2021-03-21","3m - 3.5m",3255000
"Q3","Commodity","2021-07-31","3.5m - 4m",3879001
"Previous Year","Innovator","2020-03-11","4m - 4.5m",4153001
"Rest of years","Commodity","2019-03-17","4m - 4.5m",4067001
"Rest of years","Innovator","2019-06-05","3m - 3.5m",3404000
"Q2","Distribution","2021-06-18","3m - 3.5m",3417000
"Q2","Follower","2021-04-20","4.5m - 5m",4741001
"Q3","Commodity","2021-09-19","3m - 3.5m",3161000
"Q2","Innovator","2021-06-09","3m - 3.5m",3498000
"Q3","Follower","2021-07-13","4m - 4.5m",4208001
"Rest of years","Distribution","2017-08-29","4m - 4.5m",4120001
"Previous Year","Follower","2020-08-29","3m - 3.5m",3050000
"Q3","Innovator","2021-08-27","3.5m - 4m",3914001
"Rest of years","Commodity","2017-05-31","4m - 4.5m",4108001
"Q2","Distribution","2021-04-03","3m - 3.5m",3057000
"Q2","Distribution","2021-04-26","4m - 4.5m",4103001
"Q3","Innovator","2021-09-03","3.5m - 4m",3722001
"Rest of years","Commodity","2017-06-03","4.5m - 5m",4838001
"Q1","Follower","2021-01-24","3.5m - 4m",3672001
"Q3","Distribution","2021-08-11","3m - 3.5m",3224000
"Rest of years","Follower","2017-12-12","3m - 3.5m",3401000
"Q2","Commodity","2021-06-21","4m - 4.5m",4369001
"Rest of years","Innovator","2017-02-11","3.5m - 4m",3999001
"Previous Year","Commodity","2020-01-23","4m - 4.5m",4284001
"Q3","Innovator","2021-08-03","3.5m - 4m",3755001
"Q1","Follower","2021-02-23","4m - 4.5m",4442001
"Q2","Distribution","2021-04-18","3m - 3.5m",3296000
"Q3","Follower","2021-07-19","3m - 3.5m",3235000
"Q2","Distribution","2021-05-21","4m - 4.5m",4423001
"Rest of years","Innovator","2019-07-27","4m - 4.5m",4207001
"Q3","Commodity","2021-07-04","4m - 4.5m",4419001
"Rest of years","Innovator","2018-10-05","4m - 4.5m",4440001
"Q2","Distribution","2021-04-01","3m - 3.5m",3315000
"Q3","Follower","2021-09-12","4m - 4.5m",4310001
"Rest of years","Commodity","2019-08-28","3m - 3.5m",3355000
"Q2","Innovator","2021-06-20","3m - 3.5m",3409000
"Q1","Follower","2021-03-12","4m - 4.5m",4022001
"Previous Year","Commodity","2020-10-12","4.5m - 5m",4522001
"Q2","Distribution","2021-05-23","4m - 4.5m",4080001
"Q3","Follower","2021-09-26","3.5m - 4m",3637001
"Rest of years","Innovator","2018-08-18","4m - 4.5m",4306001
"Rest of years","Commodity","2019-05-12","3m - 3.5m",3030000
"Q2","Distribution","2021-04-07","4m - 4.5m",4037001
"Q3","Commodity","2021-07-10","4m - 4.5m",4208001
"Q2","Distribution","2021-06-23","3m - 3.5m",3336000
"Q1","Innovator","2021-03-18","3.5m - 4m",3710001
"Previous Year","Follower","2020-11-17","3m - 3.5m",3066000
"Rest of years","Innovator","2017-10-05","3m - 3.5m",3090000
"Rest of years","Commodity","2017-12-19","4m - 4.5m",4149001
"Q3","Distribution","2021-07-18","3m - 3.5m",3343000
"Q2","Follower","2021-05-09","3.5m - 4m",3657001
"Q3","Follower","2021-09-16","3m - 3.5m",3232000
"Rest of years","Distribution","2017-10-29","4m - 4.5m",4145001
"Q2","Commodity","2021-04-23","3m - 3.5m",3265000
"Q3","Innovator","2021-09-10","3.5m - 4m",3929001
"Q1","Innovator","2021-01-15","4m - 4.5m",4490001
"Q3","Commodity","2021-09-22","4m - 4.5m",4129001
"Q2","Follower","2021-05-28","4m - 4.5m",4088001
"Rest of years","Distribution","2019-03-16","3m - 3.5m",3434000
"Q3","Commodity","2021-08-05","4.5m - 5m",4974001
"Rest of years","Distribution","2017-07-28","4m - 4.5m",4048001
"Previous Year","Follower","2020-06-12","4m - 4.5m",4297001
"Q2","Innovator","2021-06-02","3m - 3.5m",3158000
"Q2","Innovator","2021-04-09","3m - 3.5m",3448000
"Q3","Follower","2021-07-05","3m - 3.5m",3330000
"Rest of years","Distribution","2018-06-04","4m - 4.5m",4319001
"Previous Year","Commodity","2020-08-08","3.5m - 4m",3918001
"Q2","Innovator","2021-05-16","3m - 3.5m",3364000
"Q3","Distribution","2021-07-28","3m - 3.5m",3169000
"Rest of years","Commodity","2019-10-02","4m - 4.5m",4265001
"Q2","Follower","2021-04-12","3m - 3.5m",3202000
"Q1","Innovator","2021-03-10","4m - 4.5m",4363001
"Q3","Follower","2021-08-29","3m - 3.5m",3386000
"Rest of years","Commodity","2018-09-03","4m - 4.5m",4191001
"Q3","Distribution","2021-07-20","4.5m - 5m",4509001
"Rest of years","Commodity","2017-08-06","3m - 3.5m",3250000
"Q2","Distribution","2021-05-04","4m - 4.5m",4349001
"Q3","Follower","2021-09-09","3m - 3.5m",3015000
"Previous Year","Innovator","2020-12-10","4m - 4.5m",4481001
"Rest of years","Innovator","2018-05-24","3.5m - 4m",3833001
"Q1","Distribution","2021-01-26","4m - 4.5m",4165001
"Rest of years","Follower","2017-09-13","4m - 4.5m",4282001
"Q3","Commodity","2021-09-05","3m - 3.5m",3453000
"Q2","Innovator","2021-05-04","3m - 3.5m",3152000
"Q2","Follower","2021-04-18","3.5m - 4m",3817001
"Rest of years","Distribution","2018-03-02","4m - 4.5m",4497001
"Q2","Commodity","2021-04-21","4m - 4.5m",4011001
"Q3","Distribution","2021-08-06","3m - 3.5m",3003000
"Q2","Commodity","2021-05-24","3m - 3.5m",3089000
"Previous Year","Innovator","2020-10-20","4m - 4.5m",4128001
"Q3","Follower","2021-08-20","4m - 4.5m",4477001
"Rest of years","Follower","2017-12-18","4.5m - 5m",4876001
"Q1","Commodity","2021-01-06","3m - 3.5m",3346000
"Q3","Distribution","2021-09-27","3m - 3.5m",3338000
"Rest of years","Innovator","2019-09-18","4m - 4.5m",4171001
"Q2","Follower","2021-06-13","4m - 4.5m",4159001
"Q2","Innovator","2021-06-26","3m - 3.5m",3138000
"Q3","Distribution","2021-08-25","4m - 4.5m",4149001
"Rest of years","Commodity","2017-12-06","4m - 4.5m",4271001
"Rest of years","Distribution","2017-06-13","3.5m - 4m",3902001
"Q1","Commodity","2021-01-24","3m - 3.5m",3500000
"Q2","Follower","2021-04-21","4m - 4.5m",4452001
"Q3","Innovator","2021-09-21","3.5m - 4m",3758001
"Previous Year","Innovator","2020-02-15","4m - 4.5m",4349001
"Q2","Commodity","2021-05-22","4m - 4.5m",4304001
"Q3","Distribution","2021-09-27","3m - 3.5m",3463000
"Rest of years","Follower","2018-05-23","3m - 3.5m",3391000
"Rest of years","Follower","2017-10-15","4m - 4.5m",4488001
"Q3","Innovator","2021-07-07","3.5m - 4m",3515001
"Q2","Distribution","2021-06-03","3m - 3.5m",3205000
"Rest of years","Commodity","2017-10-29","4m - 4.5m",4170001
"Q3","Innovator","2021-09-04","3.5m - 4m",3952001
"Q2","Distribution","2021-04-09","4.5m - 5m",4816001
"Previous Year","Follower","2020-11-20","4m - 4.5m",4461001
"Rest of years","Commodity","2017-12-26","3m - 3.5m",3331000
"Q3","Distribution","2021-09-03","3m - 3.5m",3163000
"Q1","Follower","2021-02-10","3.5m - 4m",3658001
"Q2","Commodity","2021-06-25","3m - 3.5m",3386000
"Rest of years","Innovator","2018-11-10","3m - 3.5m",3485000
"Q3","Commodity","2021-08-07","4m - 4.5m",4363001
"Q2","Follower","2021-05-25","4m - 4.5m",4490001
"Q1","Distribution","2021-03-06","3m - 3.5m",3142000
"Previous Year","Innovator","2020-10-18","4m - 4.5m",4429001
"Q2","Innovator","2021-04-16","3m - 3.5m",3494000
"Rest of years","Commodity","2019-07-20","4m - 4.5m",4222001
"Rest of years","Follower","2017-08-30","3m - 3.5m",3302000
"Q3","Distribution","2021-09-04","4m - 4.5m",4056001
"Q3","Innovator","2021-09-06","3.5m - 4m",3988001
"Q2","Commodity","2021-06-16","4m - 4.5m",4482001
"Rest of years","Distribution","2017-06-11","4.5m - 5m",4769001
"Q2","Follower","2021-04-05","4m - 4.5m",4465001
"Q3","Distribution","2021-08-10","3.5m - 4m",3878001
"Q2","Innovator","2021-04-18","3m - 3.5m",3118000
"Q3","Follower","2021-07-30","3m - 3.5m",3006000
"Previous Year","Commodity","2020-05-26","4m - 4.5m",4445001
"Rest of years","Innovator","2017-06-27","3m - 3.5m",3105000
"Q2","Commodity","2021-06-09","3m - 3.5m",3126000
"Q1","Follower","2021-03-05","4m - 4.5m",4314001
"Rest of years","Distribution","2018-02-27","3m - 3.5m",3261000
"Q3","Commodity","2021-08-28","4m - 4.5m",4149001
"Q3","Distribution","2021-07-16","3m - 3.5m",3390000
"Rest of years","Follower","2017-07-21","3m - 3.5m",3436000
"Q2","Innovator","2021-05-24","3m - 3.5m",3348000
"Q2","Distribution","2021-05-27","4m - 4.5m",4379001
"Previous Year","Innovator","2020-03-09","4m - 4.5m",4288001
"Rest of years","Follower","2018-07-04","3m - 3.5m",3113000
"Q3","Commodity","2021-07-21","4m - 4.5m",4462001
"Q1","Distribution","2021-02-15","3m - 3.5m",3453000
"Q2","Commodity","2021-04-09","4.5m - 5m",4546001
"Rest of years","Follower","2018-12-28","4m - 4.5m",4185001
"Q3","Innovator","2021-09-18","3.5m - 4m",3624001
"Rest of years","Innovator","2017-05-14","4m - 4.5m",4275001
"Q2","Distribution","2021-04-16","3.5m - 4m",3824001
"Q3","Commodity","2021-07-12","3m - 3.5m",3436000
"Q3","Follower","2021-08-29","4m - 4.5m",4483001
"Q1","Innovator","2021-02-03","4m - 4.5m",4252001
"Previous Year","Distribution","2020-11-26","3m - 3.5m",3357000
"Q2","Follower","2021-06-20","4m - 4.5m",4030001
"Rest of years","Commodity","2019-05-11","3m - 3.5m",3207000
"Q3","Follower","2021-07-15","4m - 4.5m",4196001
"Q2","Commodity","2021-05-21","4m - 4.5m",4457001
"Rest of years","Distribution","2019-09-20","3m - 3.5m",3423000
"Q3","Innovator","2021-09-25","3.5m - 4m",3658001
"Q2","Follower","2021-05-03","3.5m - 4m",3546001
"Rest of years","Innovator","2018-02-14","3.5m - 4m",3936001
"Rest of years","Commodity","2017-06-04","4m - 4.5m",4087001
"Previous Year","Distribution","2020-03-19","4.5m - 5m",4576001
"Q3","Distribution","2021-09-05","4m - 4.5m",4106001
"Q2","Follower","2021-06-26","3m - 3.5m",3074000
"Rest of years","Innovator","2017-08-19","4m - 4.5m",4416001
"Q3","Commodity","2021-08-08","3m - 3.5m",3202000
"Q2","Distribution","2021-06-19","3m - 3.5m",3415000
"Q1","Innovator","2021-01-21","3m - 3.5m",3344000
"Q2","Commodity","2021-04-15","4m - 4.5m",4273001
"Q3","Follower","2021-09-29","3m - 3.5m",3280000
"Rest of years","Commodity","2019-03-31","4m - 4.5m",4028001
"Previous Year","Follower","2020-11-24","4m - 4.5m",4003001
"Q2","Distribution","2021-06-23","3m - 3.5m",3483000
"Rest of years","Innovator","2018-07-17","3m - 3.5m",3332000
"Q1","Follower","2021-01-20","4m - 4.5m",4178001
"Rest of years","Commodity","2017-02-22","3.5m - 4m",3992001
"Q2","Distribution","2021-06-04","3m - 3.5m",3049000
"Q3","Innovator","2021-08-08","3.5m - 4m",3717001
"Q3","Innovator","2021-08-03","3.5m - 4m",3855001
"Rest of years","Follower","2018-05-22","4m - 4.5m",4018001
"Q2","Commodity","2021-04-11","4m - 4.5m",4090001
"Q3","Distribution","2021-08-14","3m - 3.5m",3222000
"Q3","Innovator","2021-09-29","3.5m - 4m",3681001
"Q2","Follower","2021-05-29","4m - 4.5m",4053001
"Previous Year","Distribution","2020-04-04","4.5m - 5m",4661001
"Rest of years","Commodity","2017-04-17","3m - 3.5m",3077000
"Q3","Commodity","2021-07-27","3m - 3.5m",3194000
"Q1","Follower","2021-01-09","4m - 4.5m",4487001
"Rest of years","Innovator","2017-07-02","4m - 4.5m",4189001
"Q2","Distribution","2021-05-02","4m - 4.5m",4295001
"Q2","Commodity","2021-06-07","3m - 3.5m",3360000
"Rest of years","Innovator","2017-11-20","3.5m - 4m",3633001
"Q3","Distribution","2021-09-30","3.5m - 4m",3633001
"Q1","Follower","2021-01-22","3m - 3.5m",3423000
"Previous Year","Commodity","2020-03-25","4m - 4.5m",4135001
"Rest of years","Innovator","2018-09-21","4m - 4.5m",4043001
"Q3","Distribution","2021-08-23","4m - 4.5m",4002001
"Q3","Follower","2021-07-17","4m - 4.5m",4211001
"Q2","Distribution","2021-05-23","3m - 3.5m",3028000
"Rest of years","Innovator","2019-12-05","3m - 3.5m",3472000
"Q2","Commodity","2021-05-20","4.5m - 5m",4745001
"Rest of years","Follower","2018-04-29","4m - 4.5m",4325001
"Q3","Commodity","2021-09-19","3m - 3.5m",3468000
"Q2","Distribution","2021-05-26","4m - 4.5m",4470001
"Q2","Innovator","2021-04-26","3m - 3.5m",3132000
"Rest of years","Follower","2017-08-31","3m - 3.5m",3217000
"Previous Year","Distribution","2020-03-04","3m - 3.5m",3330000
"Q1","Commodity","2021-02-14","4m - 4.5m",4064001
"Rest of years","Follower","2017-05-03","3.5m - 4m",3963001
"Q3","Innovator","2021-08-19","3.5m - 4m",3744001
"Q3","Commodity","2021-07-28","3m - 3.5m",3069000
"Q2","Distribution","2021-04-24","4m - 4.5m",4492001
"Rest of years","Innovator","2017-12-21","3m - 3.5m",3454000
"Q2","Follower","2021-05-20","3m - 3.5m",3161000
"Q3","Commodity","2021-07-01","4m - 4.5m",4015001
"Q2","Innovator","2021-04-25","3m - 3.5m",3065000
"Q3","Distribution","2021-07-24","3m - 3.5m",3210000
"Q1","Follower","2021-03-01","4m - 4.5m",4429001
"Previous Year","Innovator","2020-04-12","4m - 4.5m",4059001
"Rest of years","Commodity","2018-03-02","4.5m - 5m",4589001
"Rest of years","Distribution","2019-01-15","3m - 3.5m",3415000
"Q3","Follower","2021-07-04","4m - 4.5m",4170001
"Q2","Innovator","2021-05-08","3m - 3.5m",3392000
"Q3","Follower","2021-07-23","4m - 4.5m",4067001
"Rest of years","Distribution","2017-09-10","3.5m - 4m",3675001
"Q2","Commodity","2021-04-25","3m - 3.5m",3079000
"Q3","Commodity","2021-08-28","3m - 3.5m",3161000
"Previous Year","Follower","2020-07-14","4m - 4.5m",4432001
"Q1","Distribution","2021-01-08","4m - 4.5m",4275001
"Q2","Innovator","2021-05-28","3m - 3.5m",3428000
"Rest of years","Commodity","2019-08-07","3m - 3.5m",3403000
"Q3","Follower","2021-07-22","4m - 4.5m",4097001
"Rest of years","Innovator","2018-01-16","4m - 4.5m",4379001
"Q2","Distribution","2021-06-24","3m - 3.5m",3092000
"Q2","Commodity","2021-05-04","4m - 4.5m",4480001
"Rest of years","Follower","2019-03-23","3m - 3.5m",3441000
"Q3","Distribution","2021-08-01","4m - 4.5m",4382001
"Rest of years","Innovator","2019-02-24","4m - 4.5m",4373001
"Q1","Distribution","2021-01-16","4.5m - 5m",4827001
"Q2","Commodity","2021-04-12","3.5m - 4m",3621001
"Q3","Innovator","2021-09-06","3.5m - 4m",3756001
"Previous Year","Follower","2020-06-16","3m - 3.5m",3087000
"Q2","Distribution","2021-06-07","3m - 3.5m",3353000
"Rest of years","Follower","2017-09-29","4m - 4.5m",4044001
"Q3","Commodity","2021-07-24","4m - 4.5m",4310001
"Q3","Innovator","2021-09-09","3.5m - 4m",3872001
"Rest of years","Follower","2017-10-19","4m - 4.5m",4061001
"Q2","Commodity","2021-04-16","4m - 4.5m",4187001
"Q2","Innovator","2021-06-21","3m - 3.5m",3388000
"Q3","Distribution","2021-09-07","3m - 3.5m",3406000
"Q1","Commodity","2021-01-04","3m - 3.5m",3103000
"Previous Year","Follower","2020-09-01","4m - 4.5m",4080001
"Q2","Distribution","2021-05-16","3m - 3.5m",3370000
"Q3","Innovator","2021-07-25","3.5m - 4m",3509001
"Rest of years","Innovator","2017-05-16","3m - 3.5m",3406000
"Rest of years","Follower","2018-02-16","4m - 4.5m",4038001
"Rest of years","Distribution","2018-10-23","3m - 3.5m",3117000
"Q3","Commodity","2021-09-14","4m - 4.5m",4085001
"Q2","Follower","2021-06-28","3.5m - 4m",3589001
"Q2","Distribution","2021-06-22","4.5m - 5m",4970001
"Previous Year","Innovator","2020-12-05","4m - 4.5m",4073001
"Q1","Commodity","2021-01-29","3m - 3.5m",3036000
"Q3","Follower","2021-09-13","4m - 4.5m",4115001
"Q2","Commodity","2021-04-09","4m - 4.5m",4218001
"Rest of years","Distribution","2018-07-02","3m - 3.5m",3208000
"Q3","Innovator","2021-08-24","3.5m - 4m",3666001
"Rest of years","Commodity","2017-12-11","4m - 4.5m",4098001
"Rest of years","Follower","2019-10-26","3m - 3.5m",3282000
"Q3","Distribution","2021-07-11","4m - 4.5m",4150001
"Q2","Innovator","2021-06-29","3m - 3.5m",3095000
"Q3","Distribution","2021-08-04","3m - 3.5m",3302000
"Rest of years","Follower","2018-06-26","4.5m - 5m",4550001
"Previous Year","Innovator","2020-10-26","4m - 4.5m",4208001
"Q2","Commodity","2021-04-18","3m - 3.5m",3292000
"Q3","Innovator","2021-09-21","3.5m - 4m",3969001
"Rest of years","Follower","2018-08-14","4m - 4.5m",4374001
"Q2","Distribution","2021-06-16","3m - 3.5m",3320000
"Q1","Commodity","2021-03-12","3.5m - 4m",3520001
"Q2","Commodity","2021-05-15","4m - 4.5m",4320001
"Q3","Distribution","2021-09-03","4m - 4.5m",4337001
"Rest of years","Innovator","2018-08-21","4m - 4.5m",4381001
"Q1","Follower","2021-02-27","3m - 3.5m",3371000
